 	le	bateau	a	accosté	là-bas	au	port	</S>
a66	0.524674	0.222117	0.0805833	0.0421446	0.0366687	0.0423855	0.0286504	0.0227769
a87	0.571592	0.188636	0.0683416	0.0374761	0.0352411	0.0292546	0.0259025	0.0435559
a40	0.52817	0.153153	0.0672006	0.0484464	0.0428572	0.0382764	0.0441486	0.0777473
a36	0.496414	0.113747	0.100679	0.0931804	0.0770275	0.0471905	0.0337102	0.0380508
a11	0.397331	0.195519	0.164848	0.0878389	0.049608	0.0326592	0.0359235	0.0362728
a90	0.251028	0.174726	0.215384	0.186316	0.0828327	0.0371253	0.0287194	0.0238687
a25	0.215224	0.192363	0.236493	0.184802	0.102794	0.0353169	0.0179361	0.0150703
a98	0.105329	0.155581	0.257349	0.226507	0.133638	0.0628423	0.0303892	0.028366
a79	0.0708433	0.170415	0.288603	0.233179	0.120551	0.0581316	0.0288009	0.0294763
a37	0.0668289	0.142263	0.268633	0.228109	0.14225	0.0734711	0.0375279	0.0409166
a56	0.0737725	0.0927118	0.180542	0.196893	0.210421	0.120159	0.0619648	0.0635358
a43	0.0565398	0.0560891	0.086764	0.0955533	0.199054	0.228006	0.144681	0.133313
a11	0.0197318	0.0211524	0.0368002	0.0573845	0.162695	0.284247	0.228138	0.189851
a21	0.0110232	0.0127735	0.0198078	0.0326301	0.105446	0.283562	0.315375	0.219383
a12	0.00384112	0.00475055	0.00687	0.0114499	0.0316879	0.152429	0.360471	0.4285
a96	0.00169692	0.00233629	0.0031886	0.00532822	0.0201909	0.125894	0.376922	0.464444
a21	0.00104885	0.00179654	0.00305573	0.00502952	0.0185258	0.0942425	0.343611	0.53269
a47	0.000774315	0.0014183	0.00185456	0.00278239	0.00870983	0.0514316	0.262242	0.670787
a88	0.000775709	0.00169518	0.00252656	0.00384412	0.0126568	0.052346	0.230605	0.695551
a93	0.000209458	0.000470762	0.000652053	0.00103383	0.00310614	0.0184041	0.165264	0.81086
a70	0.000152263	0.000411566	0.000578087	0.000935254	0.00310729	0.0189578	0.162783	0.813074
a4	0.000166775	0.000473186	0.000634618	0.00104532	0.00377322	0.0251037	0.186319	0.782484
a13	0.000323299	0.000882285	0.0012062	0.00193939	0.00664211	0.0379201	0.224699	0.726388
a38	0.0031672	0.00534501	0.007305	0.0107947	0.0224621	0.0724669	0.258056	0.620403
a83	0.00510298	0.00671678	0.00865036	0.0128278	0.0226015	0.0714909	0.276553	0.596057
a9	0.00189771	0.00328657	0.00521697	0.00817813	0.0185086	0.0661201	0.255743	0.641049
a99	0.0236381	0.0237732	0.0200312	0.0238415	0.0343492	0.0824258	0.239962	0.551979
a87	0.11401	0.057426	0.039981	0.0413404	0.046935	0.0824465	0.195394	0.422467
a23	0.315462	0.114597	0.0512663	0.0421296	0.0457528	0.0757225	0.129087	0.225983
a87	0.144425	0.0867912	0.0434479	0.033774	0.0276835	0.0575097	0.137904	0.468465
</S>	0.010135	0.011304	0.00972795	0.00999276	0.00885724	0.0302715	0.161241	0.75847
