 	il	a	payé	cinq	cabris	au	chef	pour	l'	adultère	</S>
a23	0.20518	0.160281	0.113797	0.0671106	0.0500264	0.0702021	0.0937508	0.0832216	0.0535072	0.0526056	0.0503172
a30	0.115	0.118095	0.136799	0.14801	0.117091	0.103197	0.0890656	0.0491129	0.038414	0.0363414	0.0488744
a20	0.102383	0.0954654	0.105671	0.124592	0.0894637	0.0974541	0.118424	0.0768812	0.0541168	0.0529385	0.0826108
a30	0.254231	0.176436	0.137464	0.115712	0.078439	0.0825659	0.058589	0.0380498	0.0271623	0.0174083	0.0139428
a94	0.189845	0.150505	0.166612	0.118978	0.0890022	0.0951106	0.0955459	0.0523554	0.025188	0.0103013	0.00655724
a11	0.18009	0.144698	0.162291	0.127517	0.100808	0.104986	0.0981352	0.0452933	0.0197633	0.00901934	0.0073991
a10	0.13242	0.117111	0.119029	0.124353	0.127411	0.138072	0.12387	0.0628582	0.0268549	0.0140696	0.0139523
a94	0.095101	0.0790854	0.0735486	0.0968394	0.123794	0.153533	0.158897	0.109821	0.0535159	0.0275884	0.0282772
a76	0.113738	0.0871389	0.0732903	0.0976562	0.123348	0.144207	0.144948	0.111744	0.0572987	0.0243401	0.0222902
a90	0.152578	0.130022	0.126414	0.11627	0.11624	0.120358	0.101036	0.0566696	0.0361692	0.0241964	0.0200458
a25	0.155968	0.130318	0.112175	0.108626	0.116769	0.123751	0.1041	0.0623028	0.0377287	0.0254748	0.0227857
a79	0.101086	0.0801751	0.0605911	0.0872348	0.124831	0.150359	0.148501	0.100472	0.0628746	0.0439604	0.0399137
a90	0.0791691	0.0670699	0.0568252	0.0813772	0.121885	0.151249	0.152207	0.101298	0.0731326	0.0596593	0.0561276
a98	0.0855852	0.0720659	0.0561527	0.0700476	0.106866	0.140596	0.150685	0.117374	0.0820462	0.0609913	0.0575896
a61	0.0481288	0.0449178	0.036637	0.0496116	0.0840963	0.117005	0.139316	0.133393	0.122626	0.112789	0.111479
a41	0.0278516	0.0218286	0.0190832	0.0223343	0.042958	0.0736401	0.117974	0.17508	0.191125	0.160305	0.147821
a14	0.0218644	0.0192441	0.0195592	0.0247421	0.0415599	0.0610133	0.0935016	0.143407	0.183863	0.191117	0.200128
a35	0.0251634	0.0248984	0.0268334	0.0316957	0.0431001	0.0570127	0.0786883	0.127869	0.17679	0.195452	0.212497
a76	0.019655	0.0161516	0.0164893	0.0220588	0.0322228	0.0417451	0.0610327	0.104775	0.168787	0.235127	0.281956
a94	0.0122086	0.0114365	0.0117717	0.0154576	0.022953	0.030389	0.0437424	0.0849532	0.160384	0.265099	0.341605
a32	0.00579469	0.00470376	0.00529807	0.00883929	0.0164186	0.023683	0.040952	0.082028	0.158771	0.27742	0.376092
a75	0.00322559	0.00225633	0.00258993	0.00409241	0.00872508	0.0127784	0.0234042	0.0492436	0.117193	0.279139	0.497353
a14	0.00409282	0.00269762	0.00228436	0.00351808	0.00697696	0.0106524	0.0199589	0.0471972	0.115827	0.294389	0.492405
a35	0.00443502	0.00363799	0.0038036	0.00530012	0.00750387	0.0100071	0.0166267	0.0407754	0.10077	0.294047	0.513093
a57	0.00191762	0.00117992	0.00117748	0.00171557	0.00318081	0.00487209	0.00971879	0.0215745	0.0638899	0.266505	0.624269
a38	0.00158623	0.000924804	0.00107312	0.00128837	0.00188695	0.00301943	0.00569475	0.0154961	0.0557704	0.267243	0.646017
a14	0.00110899	0.000611434	0.000607704	0.000815682	0.00159776	0.00268702	0.00512025	0.0148689	0.0564815	0.255875	0.660225
a35	0.00140697	0.00103162	0.00113381	0.00166408	0.00269647	0.00370057	0.00735919	0.0226597	0.0711219	0.273369	0.613857
a98	0.000856867	0.000505425	0.000501017	0.000680991	0.00115174	0.00172852	0.00388114	0.0121271	0.050038	0.264117	0.664412
a83	0.00145061	0.000973021	0.000864707	0.00123075	0.00208516	0.0031185	0.00639044	0.0193194	0.0688336	0.2896	0.606134
a9	0.00211051	0.0012572	0.00112238	0.00146014	0.00227771	0.00393513	0.00799448	0.0195914	0.0600535	0.268178	0.632019
a87	0.0040785	0.00201672	0.00150208	0.0016283	0.00194622	0.00325667	0.0064946	0.021049	0.0757428	0.287198	0.595087
a23	0.00377562	0.00241932	0.00169604	0.00153268	0.00150993	0.00234241	0.00504528	0.0292037	0.0998487	0.286035	0.566591
a38	0.0155684	0.0110879	0.0105243	0.0071632	0.00631529	0.00830769	0.0158305	0.0634953	0.142224	0.282431	0.437053
a94	0.00227015	0.00150966	0.00156437	0.00200036	0.00349447	0.00765327	0.0195392	0.0685279	0.137519	0.280059	0.475862
a76	0.00133117	0.000994413	0.000998203	0.00128622	0.00205729	0.00433297	0.0111763	0.03844	0.107429	0.294284	0.537671
a90	0.00158783	0.00100709	0.000980281	0.00108922	0.00153057	0.00233921	0.00467015	0.0201247	0.0746663	0.281834	0.610171
a38	0.000962014	0.000660257	0.000698943	0.000871168	0.00131832	0.00211853	0.00411957	0.015339	0.0615731	0.269044	0.643295
a76	0.00115353	0.000749447	0.000753778	0.000997614	0.00134485	0.00226824	0.00463453	0.0148342	0.0610212	0.269585	0.642658
a32	0.00133007	0.000978083	0.000909093	0.00116849	0.00171581	0.00255742	0.00418237	0.0149236	0.0555603	0.259316	0.657359
a24	0.00155987	0.000943743	0.000902901	0.00111508	0.00134849	0.00214772	0.00413811	0.0118917	0.0478648	0.255641	0.672446
a9	0.0034163	0.00192852	0.00185713	0.00179212	0.00156296	0.002032	0.0037204	0.00875369	0.0374487	0.208781	0.728707
a87	0.00705062	0.0038334	0.00283948	0.00260292	0.00228173	0.00290563	0.00514519	0.015306	0.0593174	0.242617	0.656101
</S>	0.0125846	0.00678457	0.00445565	0.00327317	0.00231671	0.00273402	0.00494893	0.0236031	0.0832816	0.254991	0.601027
