 	les	cabris	broutent	les	feuilles	de	manioc	dans	notre	champ	</S>
a10	0.34149	0.201855	0.179449	0.10993	0.0606672	0.0365383	0.0243973	0.0180962	0.0113768	0.00849765	0.00770334
a3	0.208881	0.117347	0.123136	0.0975563	0.0811421	0.0780443	0.0812088	0.0635636	0.0505555	0.0506259	0.0479389
a97	0.192245	0.136691	0.137158	0.0990176	0.0846698	0.0680447	0.065035	0.0536271	0.0486008	0.0557347	0.0591762
a40	0.179871	0.142472	0.148746	0.112288	0.102952	0.0791336	0.0707844	0.0518125	0.0408094	0.0386164	0.0325145
a15	0.212452	0.136996	0.139245	0.124872	0.107866	0.084162	0.0624874	0.0444145	0.0333014	0.0261486	0.0280557
a7	0.332753	0.251529	0.130155	0.0804867	0.0402842	0.032865	0.0288481	0.0269304	0.0252943	0.0224594	0.0283956
a90	0.27954	0.229651	0.141182	0.0797155	0.0417518	0.0354272	0.0357435	0.037507	0.0358322	0.0371547	0.0464947
a56	0.235789	0.226204	0.146098	0.0976605	0.0595648	0.0454656	0.0395724	0.0373721	0.0331076	0.0350998	0.0440662
a11	0.19368	0.196919	0.145328	0.109047	0.0776594	0.0582914	0.0494435	0.0424665	0.0382538	0.0407197	0.0481914
a98	0.144483	0.171673	0.142678	0.113546	0.0853752	0.0652845	0.0562466	0.0477802	0.0480105	0.055337	0.0695854
a85	0.151548	0.162723	0.120469	0.0989741	0.0738418	0.0665256	0.0668504	0.0625591	0.0559802	0.0633974	0.077131
a6	0.116832	0.142385	0.12137	0.109482	0.0867893	0.0788642	0.076339	0.0691181	0.059786	0.0648981	0.0741356
a75	0.0580285	0.0816101	0.0925325	0.0982017	0.094919	0.100633	0.106684	0.097292	0.0843329	0.0889836	0.096783
a85	0.0381041	0.0550036	0.0698156	0.0779893	0.0843479	0.0980061	0.112357	0.117806	0.113955	0.117249	0.115366
a5	0.0250926	0.0427584	0.0592909	0.0680554	0.0676694	0.074599	0.0859906	0.0993964	0.122526	0.157603	0.197019
a0	0.0190256	0.0297554	0.051153	0.0661728	0.0872749	0.10066	0.110199	0.106877	0.112851	0.134532	0.181499
a75	0.00948388	0.013912	0.0248374	0.0371581	0.0609601	0.0875276	0.117566	0.131696	0.151438	0.160542	0.204878
a92	0.00451124	0.00694806	0.0118036	0.0187179	0.0323735	0.0505518	0.0744925	0.108598	0.169388	0.228895	0.29372
a79	0.00324846	0.00532182	0.00958344	0.0158024	0.0288308	0.0482309	0.0755583	0.1143	0.177622	0.229378	0.292124
a44	0.00148899	0.00283372	0.00610617	0.0114767	0.023698	0.0423613	0.0707995	0.117809	0.196667	0.2394	0.287359
a75	0.00131105	0.00213905	0.00420379	0.00779259	0.0168466	0.0299141	0.0493046	0.0932729	0.185092	0.253644	0.35648
a5	0.000589515	0.000999158	0.00214748	0.00405979	0.00923423	0.0178857	0.0338525	0.0785422	0.193485	0.286713	0.372491
a37	0.000624058	0.000882185	0.00163825	0.00286631	0.00624027	0.0122157	0.0238367	0.0613791	0.175268	0.293374	0.421676
a61	0.000737856	0.00112097	0.00199012	0.00330156	0.00597999	0.0114165	0.0234488	0.0547544	0.152364	0.289297	0.455589
a0	0.000723626	0.00108709	0.0018696	0.00288146	0.00508378	0.00954877	0.0196038	0.0475345	0.14921	0.292174	0.470284
a9	0.000589942	0.000847242	0.00146469	0.00235491	0.00360974	0.00773064	0.0198644	0.0478076	0.13262	0.280467	0.502644
a97	0.00534309	0.00636546	0.00891249	0.0128893	0.0187472	0.0319202	0.0577339	0.0776038	0.138985	0.247108	0.394391
a38	0.0433336	0.0359479	0.0423911	0.0489109	0.0696596	0.0751145	0.0857597	0.0858677	0.114826	0.166163	0.232026
a27	0.00789742	0.00637931	0.00738617	0.010327	0.018358	0.0294228	0.0557544	0.0806145	0.160742	0.287335	0.335783
a97	0.00545898	0.00466252	0.00617247	0.00846683	0.0167579	0.0282161	0.0563862	0.0886014	0.177292	0.291287	0.316699
a38	0.00848584	0.00692213	0.00953964	0.0121517	0.0239039	0.0385365	0.0713423	0.103895	0.182547	0.273672	0.269004
</S>	0.00335228	0.00314242	0.00394788	0.00567281	0.0105731	0.0198839	0.0436095	0.0904703	0.187071	0.28776	0.344516
