 	elle	lui	donne	un	coup	de	bâton	</S>
a23	0.249859	0.296228	0.199954	0.0502974	0.0376499	0.0369294	0.0569726	0.0721094
a87	0.236376	0.183244	0.170842	0.105025	0.0957754	0.0792502	0.0606055	0.068882
a23	0.284961	0.184448	0.144385	0.0934084	0.0853874	0.0757131	0.0609517	0.0707463
a20	0.278759	0.211548	0.133715	0.0557458	0.050853	0.0520964	0.0768562	0.140426
a4	0.266308	0.223566	0.151957	0.0809947	0.0738757	0.0785387	0.0714923	0.053267
a13	0.21363	0.226623	0.231928	0.143971	0.108338	0.0456347	0.0183144	0.0115606
a53	0.158273	0.176116	0.206921	0.187535	0.151411	0.0688948	0.0296279	0.0212207
a94	0.150946	0.17562	0.173525	0.16695	0.134941	0.0892879	0.0614474	0.0472826
a32	0.160501	0.189853	0.182288	0.147328	0.120481	0.0879139	0.0631231	0.0485122
a24	0.164526	0.18049	0.164676	0.149379	0.120846	0.0998554	0.0713726	0.0488549
a94	0.155802	0.153011	0.113467	0.113203	0.0968374	0.118061	0.139795	0.109824
a41	0.150284	0.15334	0.12719	0.130967	0.102424	0.124305	0.120645	0.0908449
a94	0.156411	0.153869	0.107347	0.109541	0.0874993	0.121796	0.143658	0.119879
a57	0.134047	0.1157	0.0669129	0.077884	0.0647733	0.116872	0.193952	0.229859
a9	0.0840053	0.0620757	0.0287254	0.0336895	0.0314687	0.0792418	0.231954	0.44884
a10	0.0547434	0.0377977	0.0192385	0.0219838	0.0238981	0.0614267	0.201601	0.579311
a76	0.0423969	0.0298353	0.0141992	0.0146175	0.0168634	0.0500676	0.192371	0.639649
a20	0.0179035	0.0150015	0.00841981	0.0114159	0.0126126	0.0470144	0.227862	0.65977
a84	0.0214996	0.0184889	0.00908618	0.0107696	0.0113364	0.0390519	0.201572	0.688196
a87	0.0074192	0.00530334	0.00301414	0.00398612	0.00580554	0.0235749	0.146332	0.804564
</S>	0.0114207	0.00888	0.00665091	0.0123516	0.0211228	0.0661931	0.247083	0.626298
