 	le	notable	est	passé	dans	ce	village	hier	</S>
a66	0.355298	0.212504	0.148616	0.116688	0.0711154	0.0452021	0.0213535	0.016216	0.0130057
a87	0.325452	0.183148	0.144171	0.126715	0.0762731	0.0451269	0.0286848	0.0328688	0.037561
a23	0.47549	0.258262	0.119225	0.0561828	0.0225559	0.013366	0.0108364	0.0150507	0.0290311
a99	0.441086	0.22411	0.0998204	0.061824	0.0346942	0.0258012	0.0235808	0.031011	0.0580721
a53	0.35368	0.205257	0.109545	0.0629818	0.0350946	0.0286383	0.036264	0.0570833	0.111456
a79	0.411624	0.209605	0.124047	0.0709466	0.040969	0.0318451	0.0271139	0.0342103	0.0496386
a37	0.21999	0.180725	0.182659	0.15463	0.0989813	0.0484722	0.0301176	0.0349756	0.0494489
a5	0.125301	0.160317	0.200443	0.217002	0.143763	0.0673242	0.0327106	0.024501	0.0286384
a47	0.0941462	0.136531	0.185655	0.220966	0.161145	0.0840484	0.0422811	0.0338034	0.0414232
a36	0.0881028	0.128303	0.172574	0.220095	0.160635	0.0887652	0.0486145	0.0439316	0.0489793
a12	0.0632897	0.106597	0.143225	0.181403	0.170103	0.110347	0.0730313	0.0695599	0.0824451
a61	0.0427512	0.0770847	0.132443	0.194542	0.180753	0.132449	0.0866556	0.0728721	0.0804495
a62	0.0252429	0.0480857	0.0974843	0.184375	0.211538	0.169036	0.106437	0.0777235	0.080077
a88	0.0227121	0.0421717	0.0854334	0.16532	0.229888	0.198416	0.105054	0.0712228	0.0797831
a71	0.0103988	0.0179484	0.0377144	0.090566	0.178793	0.255713	0.200807	0.11219	0.0958695
a93	0.0204863	0.0318347	0.0494212	0.0720352	0.146276	0.239818	0.191779	0.111446	0.136904
a56	0.0234614	0.0341464	0.0574043	0.0954459	0.157979	0.228739	0.187984	0.11083	0.10401
a21	0.0115988	0.015878	0.0287211	0.0569095	0.107633	0.200423	0.216914	0.171329	0.190595
a85	0.00706166	0.00909603	0.0144306	0.0297127	0.0618388	0.142743	0.231902	0.226371	0.276844
a47	0.00261604	0.00362583	0.00634859	0.0141735	0.0344993	0.0945451	0.18611	0.24124	0.416842
a36	0.000799049	0.001045	0.00184031	0.00440454	0.0155719	0.0681702	0.21031	0.295493	0.402366
a90	0.00192943	0.00190423	0.00263674	0.00422552	0.0104498	0.0382136	0.147279	0.271731	0.521631
a69	0.000980648	0.000995065	0.00166312	0.0028024	0.00758902	0.0320104	0.141807	0.309228	0.502924
a7	0.000486135	0.000498848	0.000840605	0.00149844	0.00485653	0.0207969	0.0962486	0.262395	0.612379
a84	0.000904879	0.000696877	0.000756378	0.000999319	0.00242449	0.0083009	0.0555952	0.228395	0.701927
a57	0.0220582	0.0129122	0.0152755	0.0219653	0.0365361	0.0579544	0.136531	0.280436	0.416332
a87	0.163016	0.0737866	0.0504918	0.0454115	0.0558146	0.0743929	0.12656	0.18667	0.223856
a23	0.262293	0.149023	0.103216	0.06808	0.0501043	0.0454488	0.066979	0.119294	0.135563
a87	0.165458	0.0909808	0.0556888	0.0358455	0.0364554	0.042943	0.0958937	0.200371	0.276364
</S>	0.0175299	0.0127575	0.0114109	0.0117996	0.0209426	0.0341825	0.102473	0.249757	0.539147
