 	elle	était	au	bord	des	larmes	</S>
a23	0.479929	0.244448	0.10765	0.0486209	0.0291563	0.0307532	0.0594436
a79	0.379509	0.207735	0.120053	0.0898061	0.0702787	0.0593435	0.0732749
a15	0.254794	0.150962	0.111374	0.0960895	0.109162	0.109241	0.168377
a92	0.379401	0.253853	0.173283	0.0885843	0.056626	0.027566	0.0206861
a21	0.311438	0.312179	0.213144	0.0883326	0.0423827	0.0183009	0.0142237
a61	0.305899	0.290557	0.208809	0.0980865	0.0518214	0.023859	0.0209678
a27	0.284773	0.266283	0.198555	0.112497	0.0638433	0.0371694	0.0368792
a21	0.128705	0.11784	0.115599	0.159009	0.182838	0.155637	0.140372
a75	0.153871	0.136991	0.134298	0.169909	0.165919	0.128476	0.110535
a56	0.0377959	0.0433362	0.0687846	0.146393	0.22672	0.247892	0.229078
a34	0.0257579	0.0242152	0.036743	0.100321	0.217475	0.337039	0.258449
a21	0.0183548	0.0218788	0.034816	0.082172	0.188833	0.327564	0.326382
a41	0.0213393	0.0232239	0.0325661	0.0679878	0.144182	0.31914	0.39156
a36	0.00819447	0.0102198	0.0191205	0.0519494	0.121211	0.340567	0.448737
a2	0.00759158	0.00959916	0.016506	0.039167	0.101343	0.26202	0.563774
a57	0.013705	0.0142039	0.0235072	0.0412347	0.0914874	0.201193	0.614669
a87	0.178435	0.119274	0.103649	0.108332	0.110964	0.143743	0.235602
a23	0.303345	0.19125	0.12178	0.0900783	0.0760867	0.0896884	0.127771
a87	0.102666	0.0695185	0.0758725	0.124173	0.182363	0.242163	0.203245
</S>	0.00736532	0.00774682	0.0174638	0.0631559	0.17623	0.36023	0.367808
