 	la	manière	de	rugir	du	lion	me	fait	peur	</S>
a66	0.216039	0.204065	0.152679	0.14785	0.118797	0.0679749	0.0303559	0.0223526	0.0203651	0.0195213
a87	0.384843	0.316407	0.161722	0.0386782	0.0273457	0.029396	0.0117311	0.0096833	0.00961782	0.010576
a23	0.314351	0.314817	0.187102	0.0940495	0.0316416	0.0223961	0.0132989	0.0083789	0.00678203	0.00718268
a50	0.214847	0.287859	0.173007	0.0948009	0.0577032	0.0632682	0.0450485	0.0261888	0.0183461	0.0189303
a96	0.190594	0.211412	0.160591	0.134055	0.0836646	0.0872048	0.0440892	0.0296976	0.0276115	0.0310804
a61	0.284295	0.259636	0.255187	0.12419	0.0281919	0.0222467	0.00949327	0.00624567	0.00505083	0.00546423
a43	0.165189	0.255175	0.317409	0.199794	0.0294731	0.0191895	0.00583673	0.00320094	0.00228776	0.00244522
a0	0.131806	0.239099	0.305427	0.245684	0.0353394	0.0269389	0.0066227	0.0035698	0.00254212	0.00297046
a75	0.141312	0.210182	0.242191	0.263411	0.046838	0.0493224	0.0168497	0.0102552	0.0083256	0.0113122
a56	0.0921827	0.242135	0.349165	0.205361	0.049049	0.0354068	0.0110279	0.00625458	0.00438588	0.00503148
a37	0.123619	0.234975	0.267782	0.229798	0.0538665	0.048026	0.0183475	0.00948589	0.00666248	0.00743761
a21	0.110897	0.207646	0.26311	0.232029	0.066205	0.0522725	0.0243985	0.0158419	0.0132455	0.0143544
a85	0.0859034	0.13247	0.201923	0.25384	0.0917965	0.0672495	0.0570247	0.0399632	0.0350316	0.0347976
a98	0.0339817	0.0524693	0.107117	0.208746	0.106577	0.0851235	0.112993	0.0984008	0.094208	0.100383
a92	0.0182361	0.0222959	0.0455693	0.196209	0.19757	0.139225	0.129714	0.0893652	0.0785753	0.083241
a79	0.0179192	0.0242236	0.0451018	0.1572	0.137641	0.11728	0.144836	0.123581	0.11778	0.114437
a44	0.0105074	0.0128037	0.026132	0.1069	0.161343	0.134284	0.17152	0.144145	0.12553	0.106835
a56	0.00632938	0.00709087	0.0121686	0.0468018	0.129353	0.150405	0.225972	0.159489	0.135353	0.127038
a96	0.00284121	0.00318815	0.00504397	0.0191486	0.0865377	0.114209	0.22132	0.189435	0.184573	0.173704
a93	0.00237655	0.0024754	0.00408754	0.0100361	0.0366895	0.0627322	0.223293	0.204791	0.219292	0.234227
a56	0.000959152	0.000939718	0.00142654	0.0044793	0.0287779	0.052294	0.202084	0.224461	0.254943	0.229636
a21	0.00085316	0.000728577	0.00103208	0.00225547	0.0113452	0.0230336	0.155195	0.214217	0.30302	0.288319
a5	0.000928975	0.000820856	0.000949073	0.00158101	0.00602951	0.01241	0.116088	0.19024	0.327605	0.343347
a23	0.000531088	0.000486594	0.000737669	0.00175203	0.00700338	0.013696	0.100836	0.185484	0.330323	0.35915
a21	0.000115937	0.000120542	0.000172989	0.000570392	0.00413702	0.0108544	0.049706	0.106943	0.330605	0.496775
a75	0.000161202	0.000141226	0.00019325	0.000638325	0.00378603	0.0086792	0.0720847	0.15309	0.341446	0.41978
a79	0.000134905	0.000114078	0.000175408	0.000665115	0.00379412	0.0088188	0.0699861	0.148786	0.337034	0.430491
a90	7.15173e-05	7.09722e-05	0.000102654	0.000400853	0.00340784	0.00715751	0.0530008	0.115147	0.312002	0.508639
a79	0.000138974	9.97622e-05	0.000121142	0.000420071	0.00320604	0.00863161	0.0539581	0.116021	0.315732	0.501671
a94	0.0001615	0.000126679	0.000151419	0.000419869	0.00271101	0.00629317	0.0323459	0.0823097	0.300977	0.574503
a44	0.000459561	0.00027946	0.000282653	0.000844238	0.00410281	0.0102944	0.0308904	0.0802763	0.28873	0.58384
a58	0.000443177	0.000294941	0.000304592	0.000950792	0.00457134	0.010303	0.0265219	0.0677797	0.273383	0.615448
a82	0.00776986	0.00459994	0.00518192	0.00762961	0.0168906	0.0355127	0.0557506	0.101957	0.279029	0.485678
a87	0.0764653	0.0655581	0.058516	0.0648713	0.0695253	0.0668522	0.0700097	0.102974	0.185935	0.239293
a23	0.298573	0.269869	0.137787	0.069795	0.0478492	0.0294104	0.0207089	0.0288735	0.0474579	0.0496761
a87	0.0520587	0.0497948	0.0256067	0.0147925	0.0280455	0.0367959	0.0952646	0.158191	0.260857	0.278593
a23	0.0190365	0.0166284	0.0109595	0.00958739	0.0225409	0.0389686	0.0982555	0.135469	0.280873	0.367682
a99	0.0219846	0.0246259	0.0169756	0.0163372	0.0403728	0.0572372	0.112133	0.1427	0.253682	0.313951
a26	0.0206725	0.0286644	0.0211042	0.0305985	0.0530095	0.0691719	0.0998324	0.131612	0.234463	0.310871
</S>	0.0130509	0.0194586	0.0148169	0.0299472	0.0473825	0.0680755	0.0998427	0.138423	0.241628	0.327374
