 	cette	chose	m'	appartient	</S>
a66	0.531125	0.189316	0.122499	0.100659	0.0564011
a87	0.371076	0.311063	0.18003	0.0978061	0.040025
a23	0.447147	0.367373	0.109038	0.0496738	0.0267688
a87	0.48696	0.393642	0.0828927	0.0233522	0.0131527
a23	0.551691	0.361194	0.0628408	0.0161942	0.00807982
a50	0.502219	0.379866	0.075809	0.0251513	0.0169551
a62	0.366777	0.401921	0.115463	0.0627066	0.0531324
a47	0.269055	0.513302	0.112994	0.0575896	0.0470588
a62	0.206674	0.473472	0.15281	0.089387	0.0776571
a21	0.206614	0.417465	0.16294	0.112318	0.100663
a12	0.216414	0.405166	0.149128	0.112632	0.11666
a62	0.21883	0.358967	0.158138	0.128374	0.135691
a21	0.16578	0.215768	0.188475	0.195419	0.234557
a85	0.183088	0.183224	0.214483	0.220658	0.198547
a37	0.0877229	0.0738683	0.170736	0.27692	0.390753
a75	0.0424584	0.0315415	0.106122	0.252607	0.567271
a47	0.017972	0.0151052	0.109397	0.294538	0.562988
a36	0.0128627	0.0083428	0.057163	0.222116	0.699515
a2	0.0170208	0.0181883	0.0683519	0.226287	0.670152
a57	0.116061	0.09612	0.116282	0.221392	0.450144
a87	0.315587	0.257971	0.115025	0.128419	0.182998
a23	0.251141	0.248707	0.157087	0.167123	0.175943
a87	0.150712	0.113786	0.169399	0.23165	0.334454
</S>	0.05439	0.0388875	0.115181	0.25672	0.534821
