 	la	liane	otsu	est	facile	à	déchirer	</S>
a66	0.247649	0.284747	0.213018	0.118899	0.0721037	0.0331917	0.019062	0.01133
a87	0.290108	0.279731	0.216284	0.122936	0.0426476	0.0211827	0.0142918	0.0128186
a23	0.428425	0.278344	0.154687	0.0551628	0.0231037	0.0220615	0.0194152	0.0188002
a79	0.46423	0.217319	0.163606	0.0466637	0.0208132	0.0193917	0.0259964	0.0419799
a4	0.35003	0.238813	0.213035	0.0666264	0.0275053	0.0231395	0.0373873	0.0434638
a13	0.242569	0.233866	0.356575	0.112677	0.0283557	0.0112888	0.00837185	0.00629768
a38	0.194163	0.176921	0.296159	0.185677	0.0680962	0.0373858	0.0244734	0.017125
a90	0.137967	0.121976	0.244118	0.214212	0.118686	0.0808607	0.0524138	0.0297658
a44	0.120662	0.114487	0.218867	0.215404	0.131273	0.0905348	0.067309	0.0414635
a75	0.0787904	0.0771614	0.15285	0.231832	0.157221	0.117083	0.106333	0.0787285
a92	0.0509217	0.0534589	0.107411	0.250986	0.203001	0.137575	0.115398	0.0812482
a56	0.0547334	0.051424	0.0934952	0.248664	0.198674	0.146309	0.121501	0.0852002
a75	0.0706449	0.0675754	0.0845276	0.199138	0.194777	0.142609	0.131806	0.108923
a85	0.0287977	0.0258457	0.0335581	0.122823	0.185032	0.193252	0.215083	0.195608
a5	0.0149275	0.0138637	0.0183745	0.0744166	0.15516	0.187174	0.251287	0.284798
a23	0.0182816	0.0165261	0.0184804	0.0577332	0.135811	0.171717	0.243881	0.33757
a21	0.0103421	0.00777627	0.00856558	0.0290567	0.103607	0.167578	0.261944	0.41113
a12	0.00514793	0.0038754	0.0040591	0.0147918	0.0798319	0.17233	0.278736	0.441228
a62	0.00206907	0.00119294	0.000993909	0.00416561	0.0406416	0.160282	0.329383	0.461272
a88	0.00584591	0.00322634	0.00269655	0.00829242	0.0548341	0.164786	0.364045	0.396274
a54	0.00176759	0.00131101	0.00108008	0.00358385	0.0307095	0.128247	0.351019	0.482282
a47	0.000375151	0.000284491	0.000270049	0.00143115	0.0109646	0.0690038	0.286402	0.631269
a0	0.000224137	0.000194846	0.000166012	0.000895782	0.0095119	0.071367	0.279881	0.637759
a47	0.00233457	0.00259743	0.00209992	0.00554037	0.0242944	0.0883329	0.296124	0.578676
a36	0.0283462	0.0258338	0.0213963	0.023228	0.0426795	0.133979	0.299278	0.425259
a2	0.075087	0.0578809	0.0524995	0.0418867	0.0585571	0.131032	0.237959	0.345098
a40	0.123719	0.0838051	0.0809072	0.0468748	0.0558567	0.0924449	0.183428	0.332965
a36	0.00805868	0.00646053	0.00609934	0.0106174	0.0268476	0.107824	0.31687	0.517222
a2	0.00147135	0.000981902	0.00103675	0.0024779	0.0087479	0.0386916	0.196371	0.750222
a57	0.00626201	0.0048158	0.00426524	0.00529393	0.0113998	0.0526783	0.194982	0.720303
a87	0.0755707	0.042499	0.0301445	0.0219541	0.0284969	0.0786135	0.197931	0.524791
a23	0.187953	0.114502	0.0607758	0.0277043	0.0358298	0.0884607	0.190058	0.294717
a87	0.0724599	0.0385843	0.0229872	0.0170383	0.0200121	0.126257	0.290335	0.412326
a97	0.00856519	0.00385957	0.00224432	0.0038506	0.0128844	0.094274	0.281486	0.592836
</S>	0.0408938	0.0266069	0.0159798	0.0169071	0.0266754	0.10421	0.237799	0.530927
