 	il	a	augmenté	ses	cultures	</S>
a23	0.366572	0.161744	0.0834094	0.0831846	0.137218	0.167872
a85	0.369891	0.150417	0.0937327	0.0908088	0.122885	0.172266
a87	0.27782	0.198062	0.162875	0.148523	0.105247	0.107473
a23	0.377786	0.220434	0.143267	0.0891614	0.0686505	0.1007
a87	0.213025	0.170455	0.162009	0.171262	0.130728	0.152522
a23	0.184507	0.155594	0.156553	0.154824	0.144505	0.204017
a99	0.11039	0.104616	0.125446	0.18527	0.211391	0.262887
a13	0.270865	0.236002	0.177926	0.120414	0.0809867	0.113806
a20	0.263421	0.248225	0.192072	0.125559	0.083534	0.087189
a30	0.309567	0.257622	0.165562	0.108785	0.0864661	0.0719984
a57	0.300437	0.277526	0.200832	0.107268	0.0650201	0.0489176
a40	0.278834	0.274217	0.21254	0.11333	0.0676402	0.0534383
a30	0.285375	0.276089	0.201749	0.112997	0.0685044	0.055286
a35	0.248433	0.265373	0.233227	0.127726	0.070403	0.0548382
a98	0.246035	0.268424	0.231188	0.127983	0.0708156	0.0555536
a24	0.164593	0.207567	0.227114	0.163959	0.121432	0.115334
a41	0.117637	0.14348	0.190476	0.209608	0.180105	0.158694
a35	0.090696	0.104722	0.154207	0.22067	0.22569	0.204014
a32	0.058212	0.0620999	0.0904135	0.179409	0.301704	0.308161
a75	0.0347556	0.0345591	0.0500479	0.118483	0.330099	0.432055
a41	0.0275006	0.0284846	0.0433307	0.10585	0.322332	0.472502
a35	0.0114615	0.0162394	0.0334178	0.106851	0.348529	0.483501
a2	0.0182725	0.023432	0.0423649	0.10056	0.324943	0.490428
a53	0.0103091	0.0109788	0.01945	0.0536045	0.250816	0.654842
a94	0.00599938	0.00825634	0.0210344	0.0896992	0.300194	0.574817
a76	0.00530769	0.00628784	0.0163247	0.0711635	0.281386	0.61953
a73	0.0110923	0.0150921	0.0344725	0.108396	0.297194	0.533753
a76	0.00871913	0.0099679	0.0227203	0.0778366	0.277682	0.603074
a69	0.0219886	0.0255438	0.0540688	0.148558	0.283379	0.466462
a58	0.0104123	0.012078	0.0280418	0.0852344	0.279741	0.584492
a84	0.00673783	0.00667507	0.0172835	0.0897652	0.321169	0.558369
a87	0.00458034	0.00490579	0.0125735	0.0817404	0.302873	0.593327
</S>	0.0252977	0.035427	0.0646327	0.178377	0.295029	0.401236
