 	maman	se	réjouit	de	son	enfant	</S>
a66	0.371497	0.27286	0.133604	0.0766574	0.0707685	0.0408718	0.033741
a87	0.368531	0.254279	0.176301	0.0919167	0.0604602	0.0270191	0.0214942
a23	0.487306	0.288236	0.154591	0.0313719	0.0163934	0.00994328	0.0121585
a99	0.50377	0.220545	0.164718	0.0491363	0.0228587	0.0184746	0.0204973
a83	0.366317	0.20183	0.201122	0.0850258	0.0512185	0.044382	0.0501058
a54	0.238232	0.238456	0.241002	0.0983128	0.0668935	0.0599421	0.0571613
a5	0.185019	0.229674	0.234592	0.131769	0.0851839	0.0743488	0.0594128
a96	0.102886	0.142108	0.24787	0.203075	0.129523	0.0970158	0.0775226
a90	0.0995858	0.127955	0.191743	0.18033	0.142513	0.129433	0.128442
a4	0.0841951	0.118148	0.193286	0.188772	0.148194	0.13688	0.130526
a53	0.0855925	0.111043	0.166805	0.184447	0.154841	0.144902	0.152369
a44	0.0793	0.107113	0.153678	0.187558	0.16125	0.145376	0.165724
a70	0.0535037	0.0705244	0.0967851	0.1733	0.185945	0.18106	0.238881
a44	0.0425845	0.0545324	0.069392	0.161532	0.192821	0.199078	0.28006
a4	0.0342439	0.0499491	0.0705297	0.163268	0.211764	0.209793	0.260453
a58	0.0160827	0.0200439	0.025377	0.102389	0.198179	0.246212	0.391716
a26	0.00654247	0.00717997	0.00902729	0.0353375	0.119941	0.24961	0.572362
a82	0.00431642	0.0037827	0.00435744	0.0157368	0.0707336	0.209817	0.691256
a10	0.00901145	0.00559092	0.0059308	0.0138171	0.0553504	0.190268	0.720031
a87	0.0763132	0.0419885	0.0400228	0.0506177	0.101917	0.189958	0.499183
a23	0.298179	0.207621	0.137588	0.066371	0.0775852	0.0847853	0.127871
a87	0.267477	0.141342	0.0782707	0.0575161	0.095873	0.153475	0.206046
a85	0.166109	0.0951595	0.0493971	0.0479501	0.104398	0.232947	0.304039
</S>	0.223747	0.125411	0.0589934	0.0456111	0.0895819	0.186873	0.269784
