 	ce	malade	du	sida	n'	a	personne	pour	s'	occuper	de	lui	</S>
a66	0.2188	0.178267	0.152008	0.0836599	0.0543189	0.0688136	0.077247	0.0550819	0.0438297	0.0257218	0.0155143	0.0132187	0.0135199
a10	0.313403	0.185217	0.1536	0.161863	0.0650381	0.028633	0.015759	0.0133655	0.0118071	0.00933643	0.0075087	0.0115574	0.0229112
a87	0.375544	0.249169	0.172943	0.104272	0.0331443	0.016256	0.00977575	0.00762588	0.00665794	0.00385609	0.00324318	0.00539643	0.0121162
a23	0.295881	0.256622	0.198544	0.130743	0.0435817	0.0178162	0.00939575	0.00691247	0.00663029	0.00503169	0.00500605	0.00773338	0.0161023
a30	0.301732	0.237217	0.181725	0.123358	0.0437128	0.0174437	0.0104752	0.00878284	0.00997629	0.00966801	0.0104716	0.0154696	0.0299689
a93	0.270225	0.221471	0.196012	0.141383	0.0573593	0.023504	0.0131817	0.00866784	0.00841698	0.00927491	0.0106335	0.0152259	0.0246446
a34	0.191803	0.218132	0.250909	0.154909	0.0651347	0.0349752	0.0231226	0.0133971	0.00995702	0.00703066	0.00796358	0.00952009	0.0131463
a47	0.147655	0.186353	0.235001	0.201116	0.101541	0.0533471	0.0297835	0.0145424	0.00875271	0.00508407	0.00494909	0.00532172	0.00655426
a21	0.0962918	0.136786	0.199149	0.241401	0.157734	0.0736204	0.0367275	0.0176789	0.011085	0.00650031	0.00595929	0.00699836	0.0100688
a12	0.0663201	0.0859323	0.137443	0.233729	0.209373	0.12248	0.0706707	0.0332788	0.0176794	0.00684162	0.00483334	0.0049618	0.00645791
a43	0.0665939	0.0823998	0.118728	0.190056	0.21161	0.142804	0.0876951	0.0437274	0.0244342	0.00944442	0.00657669	0.0068855	0.00904523
a0	0.0314705	0.0391128	0.0673241	0.13673	0.207315	0.185747	0.141116	0.0868008	0.051339	0.0166437	0.0104837	0.0110634	0.0148528
a75	0.0322599	0.0283236	0.0375557	0.0582024	0.116848	0.176281	0.182689	0.146181	0.0987008	0.0353895	0.0238181	0.0266639	0.0370878
a25	0.0115188	0.0131246	0.0210208	0.035434	0.0858307	0.164912	0.195872	0.16968	0.120631	0.0561278	0.0427658	0.0399142	0.0431684
a44	0.0072588	0.00835966	0.012009	0.0164937	0.0413329	0.105261	0.173438	0.233727	0.173207	0.0702198	0.0529077	0.0518541	0.0539318
a93	0.0195816	0.0178157	0.0204023	0.024741	0.0465968	0.0978069	0.149812	0.184727	0.160062	0.0808779	0.0552799	0.0634084	0.0788894
a69	0.0164659	0.0155022	0.0194295	0.022205	0.0390767	0.0790341	0.138494	0.177481	0.165377	0.103124	0.0723051	0.0706295	0.080875
a58	0.00708089	0.0062839	0.00814243	0.00936912	0.0186402	0.0435318	0.0969497	0.163361	0.184907	0.137445	0.104376	0.10427	0.115643
a82	0.0100881	0.00925252	0.00946759	0.00789294	0.0127959	0.0269887	0.0626482	0.113108	0.15714	0.18802	0.12665	0.122904	0.153043
a87	0.0213373	0.0203314	0.0222916	0.0234267	0.0301928	0.0435095	0.0796214	0.125804	0.154556	0.138684	0.0858137	0.099039	0.155393
a40	0.0359757	0.0321492	0.0357489	0.0513379	0.0513041	0.0562445	0.0780551	0.102716	0.115667	0.0876938	0.0856548	0.103211	0.164242
a6	0.0054263	0.00481637	0.00632376	0.0103423	0.0161022	0.0226591	0.030648	0.0441069	0.0522798	0.0702355	0.132868	0.237786	0.366405
a37	0.00194592	0.00194185	0.00249853	0.00317435	0.00533062	0.01027	0.0225366	0.0538648	0.090389	0.136156	0.163945	0.216368	0.291579
a96	0.0019893	0.0017615	0.00225978	0.00242416	0.00450259	0.00953273	0.0207903	0.0442921	0.0739055	0.107426	0.175363	0.248657	0.307096
a66	0.0027789	0.00254729	0.00341697	0.00300017	0.00596115	0.0136644	0.028133	0.0518635	0.0807208	0.112146	0.174022	0.234893	0.286852
a75	0.000965351	0.000908895	0.00111555	0.00102339	0.00170964	0.00343523	0.00783946	0.0164948	0.0319803	0.0741712	0.169882	0.29933	0.391143
a98	0.000941637	0.000758698	0.000902917	0.00100096	0.00194695	0.00396481	0.00766431	0.0189404	0.0428712	0.101101	0.187866	0.271904	0.360137
a79	0.000521397	0.000420563	0.000458219	0.000451545	0.00093693	0.0020751	0.00470972	0.0150844	0.0336064	0.07374	0.157311	0.295546	0.415138
a90	0.000348681	0.000265527	0.000296017	0.000370721	0.000848842	0.00210607	0.00515187	0.0157286	0.0331337	0.0705088	0.149763	0.280964	0.440514
