 	il	a	des	cheveux	tout	blancs	</S>
a23	0.443785	0.356024	0.108171	0.0441667	0.0243067	0.0115568	0.0119899
a87	0.351929	0.279218	0.156931	0.0836585	0.050171	0.0337514	0.0443411
a23	0.275334	0.206187	0.147628	0.117402	0.0791438	0.0716452	0.102661
a79	0.2533	0.176274	0.101911	0.0777438	0.0895253	0.101834	0.199412
a20	0.311388	0.183531	0.0754489	0.0677107	0.111562	0.118793	0.131566
a44	0.350222	0.30465	0.14583	0.0826068	0.055914	0.0354975	0.0252787
a11	0.294826	0.293438	0.201935	0.106855	0.0528065	0.0288493	0.02129
a24	0.26256	0.254086	0.203039	0.123931	0.0713421	0.0457969	0.0392448
a32	0.255587	0.233076	0.168203	0.123179	0.0958226	0.070034	0.054098
a90	0.241408	0.210789	0.167858	0.120581	0.108712	0.0838809	0.0667717
a94	0.237302	0.235091	0.214346	0.129101	0.0837741	0.0546409	0.0457452
a41	0.199528	0.198239	0.189472	0.135756	0.117328	0.0872757	0.0724006
a27	0.135039	0.123663	0.114749	0.120476	0.170347	0.16803	0.167696
a11	0.0672993	0.0663057	0.0828657	0.105121	0.19716	0.200409	0.280839
a94	0.0550833	0.0452073	0.0483831	0.076177	0.181966	0.240051	0.353132
a57	0.0327303	0.02418	0.0226887	0.0539159	0.177988	0.29636	0.392137
a82	0.016459	0.0100945	0.0088672	0.0228836	0.105928	0.266906	0.568861
a10	0.017012	0.0119685	0.0118949	0.0254919	0.0830641	0.222661	0.627908
a11	0.0149925	0.0114696	0.0118812	0.0260878	0.0784998	0.227493	0.629576
a53	0.0125887	0.00843748	0.00676005	0.0156141	0.0641749	0.178569	0.713856
a4	0.00523781	0.00362394	0.00383734	0.0130763	0.064936	0.203513	0.705775
a13	0.00597119	0.00443033	0.00600281	0.0188976	0.0721998	0.225563	0.666935
a99	0.00546524	0.00430148	0.00571801	0.0172355	0.0622901	0.19044	0.71455
a87	0.00609607	0.0058921	0.00846581	0.0219473	0.0676001	0.187121	0.702877
</S>	0.00456	0.00529191	0.00939431	0.0237916	0.0741104	0.218765	0.664086
