 	ce	jeune	garçon-ci	recherche	une	carafe	en	porcelaine	pour	la	dot	</S>
a66	0.308444	0.208396	0.107617	0.0402592	0.0267188	0.0432479	0.0447298	0.0462118	0.0373554	0.0422905	0.0461927	0.0485368
a87	0.343819	0.17848	0.116464	0.0507217	0.0313944	0.0303153	0.0255828	0.0405565	0.0384694	0.0409677	0.0462488	0.0569805
a23	0.502991	0.25081	0.0922694	0.0336464	0.021765	0.0155201	0.0101686	0.00984007	0.0102015	0.0106276	0.0162524	0.0259074
a83	0.403102	0.213902	0.110488	0.0528412	0.0293724	0.0186053	0.0103786	0.0152137	0.0203618	0.0257669	0.0341595	0.0658087
a54	0.21961	0.155265	0.0860869	0.0493855	0.046425	0.0420301	0.0296972	0.038841	0.0429086	0.0680316	0.0892466	0.132472
a6	0.213136	0.197751	0.143541	0.0698362	0.046445	0.0272917	0.0239304	0.027432	0.0419214	0.0611806	0.0627911	0.0847441
a37	0.147779	0.150896	0.139294	0.061776	0.0288051	0.0201975	0.0205675	0.0278315	0.0464303	0.082859	0.102452	0.171112
a96	0.244486	0.195388	0.17221	0.0893024	0.0445642	0.0299291	0.0287906	0.0287407	0.0285525	0.0360484	0.0396322	0.0623554
a83	0.214818	0.195536	0.210233	0.115481	0.0727628	0.0504163	0.0337433	0.0233122	0.0178017	0.0184325	0.0203656	0.0270976
a75	0.163221	0.18343	0.230619	0.12445	0.0778708	0.0586856	0.0392135	0.0261394	0.0207242	0.0213721	0.0245232	0.0297516
a79	0.0429598	0.0628705	0.178527	0.179818	0.149278	0.0782835	0.0634988	0.0463002	0.0392474	0.0428895	0.049465	0.0668633
a90	0.0258539	0.0423141	0.14685	0.208727	0.218536	0.0995666	0.0688627	0.0393158	0.0305441	0.0316998	0.0381269	0.0496027
a79	0.0184964	0.0348452	0.141441	0.183077	0.202261	0.109191	0.07884	0.0459673	0.0356861	0.0392757	0.0500574	0.0608622
a98	0.0134727	0.0250381	0.108118	0.147714	0.190842	0.125241	0.0950653	0.0553256	0.0467639	0.050147	0.0650354	0.0772364
a47	0.00787942	0.0158898	0.0645482	0.100118	0.1627	0.126608	0.101803	0.0726548	0.0713067	0.0752464	0.090097	0.111149
a36	0.0125236	0.0221816	0.0613707	0.100795	0.152046	0.124698	0.109298	0.0721677	0.0569536	0.0603115	0.0855765	0.142078
a0	0.0137178	0.0188466	0.051772	0.0777617	0.103167	0.118199	0.0981717	0.0606323	0.0445809	0.060181	0.117614	0.235356
a56	0.0207556	0.0240333	0.0599081	0.0796066	0.114351	0.148213	0.110744	0.0710817	0.0432794	0.0482092	0.0932863	0.186532
a25	0.0211243	0.0242488	0.054843	0.0763059	0.10083	0.136057	0.116463	0.088581	0.0669017	0.063136	0.0956432	0.155867
a7	0.0176626	0.0156513	0.0307121	0.043003	0.0602024	0.0788519	0.0737249	0.0801851	0.0803779	0.0948882	0.162604	0.262137
a90	0.0279759	0.0261457	0.0499017	0.0644016	0.0761522	0.0710442	0.0601525	0.0688915	0.075775	0.0927068	0.14724	0.239613
a94	0.00691	0.00921966	0.0264441	0.0384838	0.0601251	0.0736269	0.0696734	0.0742139	0.0887608	0.109523	0.183444	0.259575
a96	0.0042932	0.00482201	0.0138982	0.0237686	0.0413167	0.0389901	0.0345039	0.0424743	0.0682485	0.116788	0.244314	0.366582
a31	0.00635994	0.00647933	0.0137173	0.0194605	0.0382663	0.0412932	0.03345	0.0388099	0.0596452	0.108978	0.243813	0.389727
a62	0.00650107	0.00621759	0.0103241	0.0120635	0.0250928	0.0397821	0.0308437	0.0411089	0.0652692	0.122352	0.250641	0.389804
a88	0.00491656	0.00484224	0.00822122	0.00812643	0.0156507	0.0247952	0.0182044	0.0261399	0.0502872	0.117854	0.2734	0.447562
a83	0.00401813	0.00355886	0.00602896	0.00485295	0.00976844	0.0152554	0.0115175	0.0212897	0.0457011	0.115816	0.288155	0.474039
a75	0.00199081	0.00187786	0.00343154	0.00374523	0.00834092	0.0118129	0.00831829	0.0135616	0.0305559	0.0902549	0.286088	0.540022
a90	0.000805583	0.00086581	0.00196702	0.00379673	0.00810258	0.00847217	0.0060167	0.00920292	0.0214542	0.076218	0.264032	0.599066
a69	0.000973391	0.00107698	0.00226588	0.00301709	0.00608917	0.00895198	0.00646968	0.0108269	0.0276148	0.0876819	0.300012	0.54502
a4	0.000610301	0.00066261	0.00147005	0.00266375	0.0056294	0.00782918	0.00598827	0.00964874	0.0236301	0.0757464	0.293905	0.572216
a57	0.000831927	0.000919481	0.00184426	0.00338517	0.00714817	0.01103	0.00866549	0.0128345	0.0293466	0.0854196	0.2951	0.543475
a82	0.00803819	0.00539703	0.00587423	0.00628673	0.008101	0.00886096	0.00975632	0.0175294	0.0467004	0.117872	0.292636	0.472947
a87	0.0998798	0.0513594	0.0337	0.0272224	0.0249659	0.0207122	0.0319654	0.039074	0.08078	0.119041	0.194715	0.276585
a23	0.113022	0.0827219	0.0577464	0.0413083	0.0346391	0.0278855	0.0469165	0.049071	0.0746524	0.104235	0.158953	0.208849
a87	0.0356123	0.0227754	0.0240838	0.0163954	0.0117332	0.00545174	0.00799031	0.0116177	0.0509704	0.149447	0.327324	0.336599
a23	0.0264128	0.0153258	0.0152867	0.0117025	0.0123072	0.00702327	0.00971644	0.0109017	0.0320135	0.0967887	0.288424	0.474098
</S>	0.0204332	0.0186887	0.0276715	0.0159207	0.0114726	0.00651367	0.00839434	0.011188	0.0458109	0.123223	0.30996	0.400723
