 	la	femme	prépare	la	bouillie	</S>
a37	0.210479	0.127462	0.108158	0.144723	0.165931	0.243247
a85	0.148905	0.118182	0.111389	0.133346	0.178065	0.310113
a37	0.346991	0.204195	0.119964	0.107433	0.100628	0.120788
a54	0.457956	0.253724	0.0988047	0.0729518	0.05687	0.0596942
a15	0.259677	0.20638	0.163172	0.148107	0.120038	0.102625
a7	0.143033	0.145839	0.179558	0.195867	0.192585	0.143118
a84	0.106215	0.127805	0.161586	0.186419	0.245639	0.172337
a54	0.0476845	0.0718142	0.112293	0.157653	0.254646	0.355909
a44	0.0503954	0.0757906	0.165765	0.240524	0.275763	0.191762
a26	0.0426585	0.0668016	0.145249	0.223285	0.30976	0.212245
a54	0.0155456	0.0241186	0.051632	0.10831	0.292464	0.50793
a44	0.0288829	0.0397621	0.104041	0.192259	0.329353	0.305702
a57	0.0181469	0.0270165	0.0855234	0.184663	0.365581	0.319069
a53	0.0133129	0.0202897	0.0412878	0.0981677	0.299759	0.527183
a15	0.0399743	0.0457329	0.100002	0.188788	0.275316	0.350187
a44	0.0118663	0.0205593	0.0685855	0.15677	0.30138	0.440838
a82	0.00991537	0.0162231	0.0463731	0.127299	0.305186	0.495004
a87	0.0121996	0.0194247	0.0370874	0.116474	0.340481	0.474334
a23	0.0854768	0.0833963	0.117983	0.181929	0.233039	0.298175
a87	0.10677	0.115395	0.164886	0.196467	0.248287	0.168196
</S>	0.0516035	0.0704269	0.138592	0.199283	0.298822	0.241273
