 	le	paon	congolais	a	de	longues	plumes	</S>
a66	0.202813	0.179419	0.193602	0.160914	0.156455	0.0616978	0.0275085	0.0175899
a87	0.420979	0.151354	0.123076	0.119489	0.0989382	0.0372755	0.0284349	0.0204538
a23	0.501081	0.302272	0.129438	0.0381581	0.0142514	0.00498471	0.00428499	0.0055288
a13	0.481671	0.290472	0.151787	0.0426934	0.0144798	0.00658708	0.00581348	0.00649547
a44	0.367064	0.183118	0.247226	0.103681	0.0350067	0.0193743	0.0205515	0.0239784
a34	0.226242	0.13617	0.262661	0.209057	0.0884856	0.0324974	0.0246047	0.0202818
a75	0.143797	0.112551	0.328209	0.262372	0.091373	0.0293086	0.0180623	0.0143278
a92	0.0652903	0.0624189	0.262957	0.279659	0.19277	0.0757916	0.036666	0.0244467
a37	0.0676266	0.0733599	0.243694	0.259423	0.200766	0.0839324	0.0428503	0.0283474
a90	0.0711481	0.0898971	0.264223	0.288152	0.175826	0.0579183	0.0296906	0.0231449
a98	0.0736731	0.0953967	0.224972	0.241101	0.202429	0.0768332	0.0476555	0.0379397
a92	0.033526	0.0516382	0.150663	0.210094	0.198879	0.127467	0.119178	0.108555
a79	0.0665763	0.0905935	0.237303	0.228854	0.188314	0.0824537	0.0573456	0.0485597
a5	0.0433953	0.0684309	0.192145	0.197697	0.193468	0.116505	0.10575	0.0826086
a21	0.0301896	0.0431399	0.205177	0.218026	0.213799	0.124204	0.0919511	0.073513
a5	0.0149605	0.0219202	0.109361	0.117767	0.168778	0.151142	0.204441	0.21163
a36	0.0092809	0.0125885	0.0529625	0.0639237	0.131367	0.17664	0.265347	0.287891
a75	0.0100181	0.0137739	0.0203689	0.0244003	0.0567704	0.119325	0.282925	0.472419
a85	0.00259473	0.00309405	0.00805503	0.0137671	0.0436678	0.118135	0.274962	0.535724
a37	0.00158501	0.0017511	0.00524184	0.00951696	0.0310344	0.0973044	0.279612	0.573954
a85	0.00304911	0.00319847	0.00284387	0.0027831	0.00637989	0.0305905	0.221487	0.729668
a37	0.000506554	0.000447889	0.000663004	0.000970824	0.00403142	0.0305555	0.192894	0.769931
a85	0.00284819	0.00207649	0.00171837	0.00165487	0.00412215	0.032915	0.233635	0.72103
a47	0.000508721	0.000375131	0.000325815	0.000435791	0.00253754	0.0264207	0.188019	0.781378
a36	0.000490077	0.000306503	0.000232016	0.0003774	0.00255784	0.0223466	0.182062	0.791628
a2	0.0370077	0.0107917	0.00756421	0.00929931	0.0193043	0.0647995	0.287701	0.563532
a57	0.179382	0.0580546	0.0474554	0.0653111	0.0717762	0.10959	0.174996	0.293434
a87	0.288395	0.0616547	0.0701857	0.0900144	0.0832085	0.0877293	0.130945	0.187867
a23	0.281834	0.0845885	0.0762851	0.0681939	0.10075	0.121181	0.129702	0.137466
a10	0.0949095	0.0342358	0.0233013	0.0223851	0.039282	0.0836823	0.246502	0.455702
a87	0.0202308	0.00518126	0.00676855	0.0162348	0.0456402	0.0856535	0.264887	0.555404
a23	0.0276011	0.00753888	0.00709169	0.0128368	0.0326682	0.0541876	0.222145	0.635931
a87	0.0278214	0.00861019	0.0110934	0.0240092	0.0646814	0.0918851	0.248042	0.523857
</S>	0.0155781	0.00478141	0.0064337	0.0107739	0.0263221	0.0560436	0.234926	0.645142
