 	la	bile	est	amère	</S>
a66	0.540993	0.164943	0.0972659	0.109695	0.0871028
a97	0.214326	0.266987	0.239999	0.161791	0.116897
a62	0.409313	0.25417	0.142375	0.118021	0.0761213
a47	0.659608	0.213327	0.0835469	0.0323227	0.011196
a12	0.599711	0.229498	0.102202	0.0471714	0.021417
a21	0.497087	0.278636	0.153925	0.045054	0.0252982
a47	0.423719	0.280105	0.193111	0.0612723	0.0417927
a21	0.30262	0.212623	0.256547	0.129096	0.0991141
a85	0.195328	0.183187	0.271048	0.185707	0.16473
a6	0.154789	0.147065	0.225584	0.215691	0.256872
a5	0.052174	0.0712002	0.180838	0.312308	0.383479
a18	0.0194281	0.0408788	0.119893	0.330006	0.489794
a82	0.00293934	0.00812778	0.0401715	0.290474	0.658288
a87	0.00570863	0.0101191	0.0317208	0.228671	0.723781
a23	0.116008	0.10389	0.115356	0.258619	0.406127
a87	0.0415951	0.0416728	0.0521904	0.257338	0.607204
a23	0.00847272	0.014936	0.0503587	0.311708	0.614525
a99	0.00782662	0.015423	0.0481958	0.30443	0.624125
a97	0.0217102	0.0433136	0.102346	0.310839	0.521791
</S>	0.0165196	0.0307406	0.0592656	0.247608	0.645866
