 	les	aubergines	sont	cuites	</S>
a66	0.354346	0.231505	0.213756	0.113128	0.0872652
a82	0.121845	0.204973	0.235407	0.284957	0.152818
a9	0.35319	0.194529	0.154246	0.184566	0.113469
a11	0.41067	0.191304	0.157612	0.1436	0.0968133
a75	0.514919	0.200187	0.154175	0.0786595	0.0520599
a5	0.544591	0.241788	0.137153	0.0464563	0.0300111
a61	0.574144	0.228716	0.105871	0.0586418	0.0326274
a21	0.52758	0.224028	0.118114	0.0795186	0.0507587
a47	0.515389	0.231287	0.128802	0.0822158	0.0423064
a31	0.364669	0.245612	0.186029	0.125342	0.0783484
a0	0.229036	0.215749	0.214293	0.188264	0.152658
a75	0.109931	0.138493	0.170415	0.256897	0.324264
a25	0.129427	0.179319	0.213332	0.230652	0.247271
a56	0.0733858	0.126009	0.190524	0.219404	0.390677
a75	0.0816987	0.141274	0.209163	0.214464	0.3534
a24	0.0498206	0.0847155	0.15412	0.183379	0.527965
a21	0.00662174	0.017154	0.0444049	0.14364	0.78818
a85	0.0208587	0.0356379	0.070709	0.149628	0.723167
a36	0.0118589	0.0206418	0.0399814	0.127689	0.799829
a37	0.0201324	0.0436949	0.0856251	0.202028	0.648519
a27	0.0194816	0.0429552	0.0845321	0.21357	0.639461
a18	0.0935317	0.15106	0.200867	0.217349	0.337192
a38	0.12581	0.140277	0.169863	0.217123	0.346927
a82	0.0539505	0.081059	0.120296	0.240726	0.503969
a9	0.144203	0.121092	0.137831	0.189566	0.407307
a3	0.245733	0.146152	0.155341	0.148382	0.304393
a99	0.177106	0.108765	0.139209	0.160757	0.414162
a3	0.114827	0.0878099	0.102799	0.206225	0.488339
a99	0.0850459	0.0990081	0.119504	0.204726	0.491716
a97	0.125562	0.12576	0.13526	0.182569	0.430849
</S>	0.105317	0.118468	0.134047	0.194642	0.447526
