 	il	ne	sent	pas	cette	odeur	</S>
a23	0.233571	0.210432	0.156735	0.144027	0.121708	0.0786346	0.0548916
a53	0.189147	0.153472	0.143207	0.13616	0.155489	0.1335	0.0890242
a15	0.40183	0.222674	0.143537	0.105106	0.0658652	0.0359266	0.0250614
a41	0.442573	0.281747	0.142222	0.0599292	0.037064	0.0218658	0.0145999
a37	0.319758	0.301352	0.197437	0.0817901	0.049228	0.0315767	0.0188579
a12	0.303276	0.345786	0.195806	0.0612715	0.0411283	0.0312299	0.0215024
a66	0.278271	0.341965	0.20176	0.0678989	0.04485	0.0362824	0.0289736
a9	0.240017	0.317909	0.199837	0.0838485	0.0571733	0.0521848	0.0490305
a11	0.149298	0.181247	0.142484	0.110225	0.107157	0.127269	0.182321
a75	0.153179	0.175845	0.136134	0.101199	0.102053	0.127952	0.203638
a56	0.12742	0.146592	0.167973	0.151868	0.137386	0.132112	0.136649
a75	0.0877745	0.110335	0.155263	0.181589	0.165581	0.151373	0.148085
a25	0.0876323	0.0863605	0.0998056	0.13729	0.166208	0.195729	0.226974
a90	0.0690215	0.0708317	0.098099	0.154403	0.187794	0.223107	0.196744
a4	0.0663915	0.0582766	0.0797769	0.136227	0.185455	0.223944	0.249929
a90	0.0252454	0.0223095	0.0360884	0.0751696	0.146205	0.287054	0.407928
a25	0.0370392	0.0271741	0.0382944	0.0830889	0.161127	0.279202	0.374074
a44	0.0146186	0.0111267	0.0187804	0.046601	0.113783	0.305142	0.489948
a75	0.00297344	0.00226378	0.00555574	0.0198783	0.0743734	0.290742	0.604213
a41	0.0051961	0.0036769	0.0085846	0.0285275	0.0968328	0.314663	0.542519
a27	0.00212546	0.00175327	0.00470172	0.0202012	0.0838688	0.314427	0.572923
a75	0.00404317	0.00421105	0.0103038	0.0413901	0.123034	0.244601	0.572417
a73	0.0038203	0.00293609	0.00742011	0.0257837	0.0902604	0.267578	0.602201
a2	0.00199375	0.00193509	0.00475852	0.0225383	0.0946105	0.268092	0.606072
a57	0.00735937	0.00636777	0.0119138	0.039416	0.105207	0.237544	0.592192
a87	0.076613	0.0591863	0.0756939	0.115243	0.179955	0.228088	0.265221
a23	0.0793991	0.0573189	0.0580427	0.0996984	0.195362	0.269824	0.240355
a87	0.0815594	0.0482582	0.0464087	0.0740277	0.139489	0.290024	0.320233
a10	0.0224107	0.0174253	0.0249236	0.0721217	0.151494	0.323215	0.38841
a87	0.0616479	0.0451712	0.0494138	0.0862994	0.139024	0.278086	0.340357
</S>	0.0505303	0.0393681	0.0511635	0.0956118	0.15055	0.279707	0.333069
