 	pendant	la	pêche	au	panier	on	attrappe	des	ibalii	</S>
a87	0.296385	0.24618	0.129623	0.142524	0.0913013	0.0524129	0.0169023	0.00897752	0.00790528	0.00778934
a23	0.493002	0.179976	0.0521116	0.0375102	0.0380037	0.0481373	0.0470733	0.039874	0.0315747	0.0327369
a20	0.138191	0.15564	0.133155	0.104488	0.0645145	0.0408589	0.0374477	0.0643778	0.0916358	0.169691
a47	0.305191	0.238963	0.121297	0.0925186	0.064138	0.0640557	0.047603	0.0239798	0.0217192	0.020534
a26	0.244069	0.259249	0.174885	0.120577	0.0704027	0.0569109	0.0330148	0.0143508	0.0125331	0.0140083
a38	0.284726	0.238878	0.202471	0.10288	0.0461081	0.0360853	0.0316172	0.0171621	0.0156304	0.0244417
a24	0.199051	0.187807	0.182702	0.122261	0.0593969	0.0507113	0.05514	0.0387121	0.0392824	0.0649365
a31	0.223677	0.246693	0.223894	0.142099	0.0626991	0.0339753	0.0196141	0.0139012	0.0135589	0.019889
a88	0.169304	0.223887	0.240797	0.168798	0.0812387	0.0465635	0.0245786	0.0147298	0.0127455	0.0173582
a66	0.101255	0.127934	0.196947	0.175784	0.123188	0.0943703	0.0624069	0.0414742	0.0313186	0.0453215
a98	0.0685504	0.0928506	0.155052	0.165696	0.140436	0.118719	0.0876047	0.0612268	0.0456399	0.0642246
a85	0.0793557	0.0821168	0.130735	0.167314	0.192357	0.122998	0.064873	0.0513939	0.0497607	0.0590957
a12	0.0967587	0.102431	0.143509	0.164327	0.141822	0.0982883	0.0691734	0.0561675	0.0610049	0.0665186
a47	0.118428	0.101867	0.119093	0.137507	0.124553	0.0960845	0.0751833	0.0679716	0.0749753	0.084336
a96	0.0995782	0.0795931	0.0959212	0.116644	0.132197	0.117852	0.0856958	0.0743809	0.0873544	0.110784
a62	0.0813433	0.0635955	0.0727974	0.0714274	0.0901499	0.129039	0.139435	0.109855	0.107635	0.134722
a88	0.0498276	0.045721	0.0551895	0.0548188	0.0782433	0.135745	0.167955	0.138173	0.131299	0.143027
a9	0.0210799	0.0210722	0.0300162	0.0383287	0.0549532	0.104168	0.175819	0.15918	0.197892	0.19749
a38	0.00463954	0.00573447	0.00797245	0.0167068	0.0269235	0.0613066	0.123701	0.167881	0.288854	0.296281
a90	0.00366413	0.0029137	0.00376498	0.00618486	0.0117376	0.0416494	0.123654	0.172464	0.319167	0.3148
a69	0.00151203	0.000923404	0.00115316	0.00161819	0.0051409	0.0334625	0.127682	0.190268	0.303149	0.335091
a58	0.000532999	0.000272512	0.000436588	0.00115131	0.00507089	0.024246	0.0782356	0.161149	0.328731	0.400175
a82	0.00236438	0.000888302	0.000753003	0.00110311	0.00364927	0.015891	0.0541553	0.156963	0.36264	0.401593
a87	0.114232	0.0401644	0.0245516	0.0170263	0.0242394	0.037065	0.0725149	0.136161	0.244353	0.289692
a23	0.212931	0.158405	0.119129	0.100603	0.0563149	0.0518204	0.0590983	0.0708663	0.0787183	0.0921135
a87	0.0106711	0.00975033	0.00896911	0.013059	0.0215906	0.0598557	0.169633	0.2471	0.244565	0.214806
a23	0.00266679	0.00220511	0.00235756	0.00446942	0.0109365	0.0338268	0.11254	0.199919	0.30135	0.329728
a97	0.00136352	0.00135009	0.00182577	0.00410551	0.011703	0.0366625	0.141923	0.233284	0.275725	0.292058
</S>	0.00206526	0.00230317	0.0036424	0.00843475	0.0167449	0.0335176	0.0876186	0.161994	0.290536	0.393143
