 	je	garde	rancune	contre	les	habitants	de	ce	village	qui	ont	refusé	de	m'	emmener	à	l'	hopital	lorsque	j'	étais	malade	</S>
a66	0.0924101	0.129601	0.160503	0.124589	0.0900501	0.0589095	0.05421	0.0337306	0.0298457	0.027216	0.0249522	0.0240554	0.0220151	0.0247781	0.0268765	0.0168532	0.0124671	0.0119502	0.0112674	0.00810757	0.00598328	0.00474624	0.00488294
a87	0.272207	0.227728	0.195033	0.0901046	0.0429823	0.0157671	0.0178074	0.0120989	0.00960688	0.00963825	0.00812311	0.00678797	0.00549246	0.00563279	0.00808016	0.00713207	0.00810518	0.0109358	0.0127616	0.0119984	0.0099651	0.00574131	0.00627059
a23	0.203065	0.169933	0.146389	0.098069	0.0498705	0.0269117	0.0236588	0.0178427	0.0181542	0.0192046	0.0182088	0.0180476	0.0178944	0.0195657	0.026445	0.0218454	0.0229792	0.0271475	0.0163023	0.0127438	0.00991409	0.00710513	0.00870224
a38	0.157301	0.121393	0.0891835	0.0504569	0.0273008	0.018995	0.0176659	0.0186596	0.0203259	0.0245809	0.0258381	0.0263678	0.0338214	0.0373967	0.0529738	0.0511292	0.0544702	0.049285	0.0309417	0.031167	0.0240902	0.0147208	0.0219362
a40	0.0753507	0.0833756	0.102582	0.0793575	0.0603774	0.0348	0.036161	0.035659	0.0351827	0.0387564	0.0389608	0.0389605	0.0371297	0.0315919	0.0364734	0.0370422	0.0318494	0.0233013	0.0202187	0.0253664	0.0288904	0.030289	0.0383244
a36	0.206078	0.181183	0.153657	0.0887928	0.0547567	0.0273887	0.0247731	0.0215537	0.0215119	0.0234601	0.0234847	0.026358	0.0231722	0.0218226	0.0212028	0.0186926	0.0115866	0.00570457	0.00683265	0.00890917	0.00958212	0.00910653	0.0103901
a96	0.165219	0.17173	0.177791	0.147673	0.0959154	0.0523509	0.0378278	0.0264712	0.0200564	0.0169482	0.0146429	0.0125615	0.0100551	0.00840232	0.0062828	0.00525181	0.00371667	0.00294421	0.00311048	0.00406545	0.00453024	0.00448664	0.0079671
a66	0.126975	0.116798	0.152133	0.14348	0.104294	0.0723603	0.0469413	0.03856	0.0321102	0.0309375	0.0291211	0.02519	0.0201241	0.0154376	0.00734159	0.00614906	0.00441282	0.00285027	0.00363762	0.00446723	0.0045392	0.00405127	0.00808857
a83	0.0786666	0.0943507	0.125517	0.129958	0.0967043	0.0824041	0.0522165	0.0437646	0.0375574	0.0364126	0.0362539	0.033043	0.0310524	0.0276103	0.016994	0.0135663	0.0111112	0.00850288	0.00909503	0.0102	0.00843867	0.00656157	0.0100193
a79	0.0521226	0.0621034	0.0939698	0.119407	0.0921663	0.0889853	0.0520884	0.0440524	0.038885	0.0381481	0.0399146	0.0373593	0.038614	0.0374595	0.0280334	0.0237514	0.0213145	0.017803	0.0178053	0.0187172	0.0143215	0.0103329	0.0126451
a15	0.0570784	0.0785622	0.103431	0.125587	0.0921165	0.0919654	0.0519228	0.0403487	0.0350165	0.0351129	0.0363337	0.0356081	0.0335472	0.0317049	0.0218362	0.0171758	0.0130167	0.00950343	0.011332	0.0152489	0.0156968	0.0166957	0.0311593
a79	0.0511106	0.0917085	0.115	0.136215	0.0912047	0.0919409	0.0541691	0.0421739	0.036269	0.0339733	0.0341906	0.0324694	0.0299122	0.0273296	0.0197292	0.0145031	0.0110182	0.00823389	0.0102645	0.0126223	0.012964	0.0153593	0.027638
a44	0.0359107	0.0487573	0.07783	0.1053	0.0803275	0.0845175	0.0465226	0.0376868	0.0346507	0.0338454	0.0372701	0.0371868	0.038195	0.0381995	0.0346679	0.0274643	0.0233424	0.0170759	0.0208526	0.0262915	0.0266404	0.031643	0.0558224
