 	ma	boucle	d'	oreille	est	tombée	</S>
a66	0.382203	0.168548	0.10636	0.100139	0.114186	0.0731462	0.0554179
a87	0.399254	0.124302	0.0852502	0.0868552	0.118281	0.0969433	0.0891147
a23	0.60099	0.148182	0.0663249	0.0572987	0.046134	0.0391588	0.0419118
a20	0.272328	0.123553	0.108285	0.150585	0.134303	0.11459	0.0963559
a44	0.390505	0.201192	0.118432	0.10497	0.0739944	0.0609396	0.0499657
a4	0.352981	0.255399	0.152853	0.101957	0.0695277	0.0405093	0.0267727
a44	0.173807	0.270606	0.219734	0.149998	0.0947129	0.0543203	0.0368221
a56	0.112727	0.226237	0.209501	0.165303	0.117857	0.0923218	0.0760544
a96	0.0812776	0.171203	0.160908	0.150653	0.136369	0.144668	0.154922
a88	0.0823414	0.17124	0.152511	0.149364	0.127262	0.145771	0.171512
a71	0.0842097	0.179665	0.159802	0.153194	0.115377	0.136823	0.170929
a38	0.0895061	0.17723	0.147729	0.148741	0.114591	0.140989	0.181215
a70	0.0575513	0.105688	0.10354	0.138506	0.145865	0.196647	0.252202
a13	0.0301521	0.0617128	0.0791708	0.123822	0.155951	0.237904	0.311287
a4	0.0172098	0.0358706	0.0572977	0.109433	0.158685	0.260585	0.360919
a13	0.0130336	0.0309113	0.0578726	0.1177	0.180813	0.271422	0.328247
a83	0.0101783	0.0226913	0.0476932	0.101482	0.181138	0.296726	0.340092
a9	0.00749698	0.0153131	0.0342292	0.0766174	0.155356	0.318416	0.392572
a54	0.018337	0.0182205	0.0305817	0.0713448	0.141258	0.314408	0.40585
a15	0.00429334	0.00851094	0.0170393	0.0400823	0.0906271	0.285121	0.554326
a0	0.00418504	0.00629565	0.0140157	0.0323154	0.0786536	0.262997	0.601537
a27	0.00599708	0.00732023	0.014752	0.0317062	0.0735154	0.264765	0.601944
a57	0.163386	0.100439	0.074368	0.0675886	0.0907409	0.179611	0.323867
a87	0.320126	0.134183	0.0711257	0.0528016	0.0666472	0.119342	0.235774
a23	0.376338	0.194448	0.0838835	0.0496391	0.0581123	0.0919589	0.14562
a87	0.399597	0.161506	0.0743372	0.052581	0.0658365	0.108382	0.137761
</S>	0.155208	0.0931584	0.0595638	0.0568737	0.100073	0.221781	0.313342
