 	mon	épouse	a	une	voix	claire	</S>
a87	0.178152	0.135733	0.14107	0.192216	0.191545	0.134962	0.0263219
a23	0.288151	0.10889	0.0802253	0.108396	0.153331	0.191075	0.0699323
a87	0.14785	0.135831	0.12644	0.182624	0.156729	0.153479	0.097048
a30	0.182361	0.162405	0.141877	0.144372	0.156992	0.141976	0.0700173
a10	0.171234	0.171375	0.154114	0.15835	0.146008	0.126025	0.0728926
a87	0.165881	0.152623	0.133552	0.154785	0.148847	0.134612	0.109699
a38	0.169704	0.129603	0.12125	0.168573	0.18702	0.151384	0.0724667
a98	0.206944	0.145705	0.101992	0.0862345	0.0833128	0.129945	0.245867
a85	0.391569	0.213015	0.117273	0.0758641	0.0409827	0.0495994	0.111696
a43	0.257084	0.262918	0.214211	0.134022	0.054647	0.0386496	0.0384679
a75	0.212898	0.249162	0.211862	0.119031	0.0697358	0.0692915	0.0680198
a5	0.235292	0.2388	0.235359	0.125794	0.0747688	0.055051	0.0349346
a61	0.253766	0.269828	0.255756	0.120402	0.0516286	0.031451	0.0171692
a85	0.21829	0.230807	0.262452	0.148283	0.0751131	0.0388294	0.0262249
a18	0.207755	0.208118	0.226035	0.156856	0.0926471	0.0630943	0.0454941
a61	0.112543	0.0898366	0.12646	0.148317	0.212703	0.169629	0.140512
a62	0.137034	0.119519	0.14385	0.153349	0.205196	0.16654	0.0745112
a88	0.0853575	0.0729	0.0910534	0.11886	0.224862	0.272853	0.134115
a38	0.0634421	0.0515593	0.0670864	0.094575	0.201731	0.324667	0.196939
a61	0.0364435	0.026357	0.0341153	0.0580996	0.190926	0.405311	0.248748
a93	0.0198103	0.016381	0.0259694	0.0456599	0.164985	0.393225	0.333969
a13	0.013083	0.00888241	0.0129128	0.0244051	0.100561	0.391643	0.448513
a9	0.00388788	0.00301372	0.00405501	0.00810116	0.0563388	0.383604	0.541
a53	0.00925048	0.00582546	0.00696978	0.012058	0.0585711	0.337754	0.569571
a90	0.000778185	0.000358095	0.00044987	0.00109628	0.0110057	0.169933	0.816379
a76	0.000810426	0.000444017	0.000650387	0.00164318	0.0132002	0.170077	0.813174
a73	0.00150185	0.00101483	0.00142876	0.00314235	0.0212709	0.200276	0.771365
a84	0.00280458	0.00201933	0.00274622	0.00522001	0.0265022	0.229771	0.730937
a57	0.0253049	0.0128707	0.0114687	0.0211364	0.0793091	0.327407	0.522503
a87	0.0293039	0.0214433	0.0176513	0.0216812	0.0594327	0.270669	0.579819
a23	0.0770275	0.0658735	0.0632483	0.0857008	0.198962	0.314518	0.19467
a87	0.0758109	0.0510313	0.0390445	0.0613122	0.155723	0.344609	0.272469
</S>	0.0330154	0.0265307	0.0280886	0.0463228	0.11063	0.261625	0.493788
