 	le	vin	qu'	il	m'	a	offert	est	trop	faible	</S>
a66	0.378368	0.176387	0.0704283	0.0615572	0.0716446	0.0655817	0.0494941	0.0357074	0.0311531	0.0295143	0.0301644
a87	0.342108	0.158076	0.0880282	0.0647344	0.0618643	0.0547874	0.0423417	0.0368821	0.0424989	0.0513048	0.0573741
a23	0.397765	0.184269	0.101502	0.0563132	0.0424406	0.0340827	0.0284292	0.0277994	0.0301419	0.0383565	0.0589
a40	0.206478	0.1106	0.0972233	0.0548825	0.0431153	0.0367717	0.0416553	0.0560535	0.0890769	0.120839	0.143305
a37	0.337316	0.135853	0.0728838	0.0602833	0.0634028	0.0664994	0.0604349	0.0539798	0.0528361	0.0492067	0.0473044
a5	0.297869	0.271098	0.150893	0.0770973	0.04638	0.0340029	0.0229876	0.020042	0.0248574	0.0270466	0.0277255
a37	0.177777	0.238882	0.244822	0.122342	0.0687207	0.0437834	0.0271985	0.0203189	0.0212217	0.018022	0.0169117
a47	0.136995	0.189034	0.253137	0.15888	0.0915188	0.0546452	0.0333287	0.0236147	0.021909	0.0181597	0.0187771
a36	0.109239	0.148189	0.221911	0.182584	0.12305	0.0704946	0.0432849	0.029959	0.0272999	0.0217564	0.0222314
a37	0.0741536	0.105824	0.187002	0.188214	0.139508	0.0883557	0.0599215	0.0457304	0.0405867	0.0332679	0.0374362
a92	0.0591658	0.0882058	0.169156	0.199926	0.151369	0.0940509	0.0626548	0.0487398	0.0440439	0.0387329	0.0439556
a25	0.0437243	0.0735053	0.14316	0.198212	0.164461	0.114538	0.080048	0.0545879	0.046033	0.0385927	0.0431376
a79	0.0283479	0.0527546	0.0972354	0.184048	0.177995	0.148325	0.103654	0.0630753	0.0505913	0.0422063	0.0517675
a56	0.0233051	0.0333785	0.0655118	0.136107	0.163475	0.16063	0.131948	0.086891	0.0692575	0.0596688	0.0698283
a44	0.0325509	0.0407468	0.0674906	0.14672	0.163201	0.155391	0.129578	0.0886228	0.0656947	0.0515025	0.0585016
a75	0.0150825	0.0170244	0.0284146	0.0833087	0.124122	0.153177	0.165849	0.136883	0.104733	0.0768427	0.0945626
a85	0.00507163	0.00645385	0.0131538	0.0461278	0.0848726	0.127288	0.170591	0.164427	0.147772	0.112272	0.121971
a36	0.00351008	0.00470365	0.00881962	0.0299581	0.05955	0.0963741	0.142401	0.154111	0.177938	0.155255	0.167379
a61	0.00766067	0.007076	0.00821332	0.016684	0.0273331	0.0467415	0.0885638	0.133935	0.176349	0.186658	0.300786
a34	0.00459019	0.00484886	0.00811458	0.0216029	0.033701	0.0519855	0.0916551	0.144767	0.205658	0.193628	0.239449
a75	0.00280788	0.00271075	0.00402688	0.0114576	0.0204191	0.0358847	0.0746529	0.129731	0.209537	0.23658	0.272193
a47	0.00116755	0.00122811	0.00252049	0.00870811	0.0180825	0.0349979	0.0745908	0.122552	0.192635	0.248854	0.294663
a7	0.000519084	0.000625452	0.00147764	0.00555134	0.0123612	0.0258706	0.0606209	0.108197	0.185265	0.256089	0.343423
a54	0.00232221	0.00202097	0.00217661	0.00428044	0.00623542	0.0112011	0.0268071	0.0561579	0.123318	0.244625	0.520855
a36	0.00194816	0.00185474	0.00239977	0.00517148	0.00819894	0.0158583	0.0361569	0.0735837	0.146471	0.269383	0.438974
a2	0.00700431	0.00626002	0.00543064	0.00791792	0.0103356	0.0183442	0.0359861	0.0695172	0.143919	0.251194	0.444091
a57	0.0887432	0.0701711	0.0496897	0.0583226	0.0539644	0.0614802	0.063318	0.0808262	0.108638	0.134065	0.230781
a87	0.273821	0.127051	0.0673029	0.0528797	0.0438274	0.0436901	0.0447336	0.0549184	0.0704559	0.0882581	0.133062
a23	0.238631	0.120521	0.0653404	0.0535524	0.0455648	0.0461854	0.0449781	0.0605792	0.0820611	0.110492	0.132095
a87	0.0794516	0.0358472	0.0202031	0.0210292	0.0223315	0.0331514	0.0473137	0.0792556	0.139067	0.215713	0.306637
</S>	0.0260606	0.0135562	0.0106182	0.0131698	0.0156676	0.0262101	0.0433549	0.0662716	0.122663	0.220425	0.442003
