 	elle	a	un	pagne	neuf	</S>
a23	0.269113	0.216428	0.152993	0.126043	0.10421	0.131212
a79	0.341668	0.189713	0.134337	0.137996	0.0921803	0.104106
a76	0.458653	0.255523	0.12357	0.0727869	0.0444247	0.0450428
a41	0.465668	0.295823	0.130607	0.0644443	0.0266663	0.0167912
a94	0.395782	0.333293	0.16781	0.0690286	0.0215988	0.0124866
a24	0.330094	0.327194	0.196527	0.0953651	0.0309673	0.0198535
a31	0.262967	0.283171	0.210189	0.140764	0.0636348	0.0392734
a24	0.271959	0.268061	0.211463	0.14168	0.0669119	0.0399259
a98	0.175863	0.198878	0.210358	0.197682	0.13013	0.0870897
a25	0.174076	0.199324	0.217165	0.213986	0.125612	0.0698371
a38	0.0959511	0.122173	0.174411	0.254323	0.218183	0.13496
a90	0.0820314	0.0976021	0.134056	0.207585	0.254238	0.224486
a38	0.100335	0.098104	0.115526	0.177849	0.252676	0.25551
a75	0.047722	0.0470786	0.0605831	0.12556	0.278372	0.440684
a41	0.0590292	0.0507872	0.0567141	0.093872	0.257799	0.481798
a98	0.0278652	0.0266264	0.0355264	0.0771664	0.253147	0.579669
a41	0.0337779	0.0294044	0.0365489	0.0631157	0.223697	0.613456
a32	0.0293211	0.0278841	0.0338233	0.0638361	0.220038	0.625097
a62	0.0197376	0.0177832	0.0212729	0.0451557	0.164429	0.731621
a98	0.0321559	0.0237181	0.0236679	0.0385115	0.140463	0.741484
a25	0.0299984	0.0211753	0.0220443	0.0370971	0.145137	0.744548
a38	0.0112821	0.00900976	0.012629	0.034991	0.160703	0.771385
a75	0.0132872	0.010066	0.0121458	0.030334	0.147065	0.787102
a20	0.0338276	0.0289639	0.0306496	0.0574308	0.181764	0.667364
a84	0.0290594	0.0248013	0.0272307	0.0598236	0.177408	0.681678
a87	0.0177084	0.0152664	0.022717	0.0524633	0.171342	0.720502
</S>	0.061355	0.0449416	0.0456794	0.0721657	0.173007	0.602852
