 	les	vagues	ont	fait	couler	le	bateau	à	pic	</S>
a66	0.234008	0.168394	0.126161	0.113302	0.0955455	0.0806469	0.074235	0.0474747	0.0361636	0.0240692
a87	0.179744	0.157175	0.130289	0.133286	0.126774	0.113786	0.0640296	0.0404059	0.0285469	0.0259612
a23	0.390454	0.257894	0.115185	0.0673919	0.0399862	0.0290027	0.0225911	0.0220526	0.0286987	0.0267438
a87	0.355376	0.271827	0.125351	0.0873189	0.0441566	0.019372	0.00866946	0.0134826	0.0238735	0.0505731
a23	0.369664	0.272317	0.132192	0.0910465	0.0523028	0.028732	0.0134236	0.011086	0.0118711	0.0173652
a99	0.332845	0.230278	0.107001	0.0803891	0.0500798	0.0316802	0.0188638	0.0297751	0.0453298	0.0737583
a38	0.136646	0.131062	0.0843499	0.0619293	0.0500422	0.0449289	0.038898	0.0848152	0.178423	0.188906
a12	0.141471	0.133196	0.109757	0.0819326	0.0745125	0.0726677	0.0583818	0.0752965	0.121874	0.130911
a24	0.179887	0.165303	0.156525	0.110525	0.103604	0.0795554	0.0441969	0.0391808	0.0566601	0.0645639
a21	0.120882	0.100927	0.101081	0.0874494	0.0845613	0.096686	0.0809403	0.0702122	0.128568	0.128692
a12	0.154757	0.118691	0.10491	0.0865911	0.0782748	0.0732596	0.0576507	0.0568454	0.127816	0.141205
a62	0.124131	0.095322	0.0923814	0.0903597	0.0917515	0.0882949	0.0665494	0.0616232	0.130732	0.158855
a88	0.0936755	0.0820468	0.0838183	0.104177	0.0854137	0.0787887	0.0758626	0.0638526	0.144409	0.187955
a0	0.0294213	0.027002	0.0295692	0.0528689	0.0417793	0.0469052	0.0692832	0.111079	0.279243	0.312849
a75	0.0239684	0.0216687	0.021302	0.0314311	0.0216129	0.0208552	0.0335376	0.0880618	0.330792	0.40677
a85	0.0171594	0.0138227	0.0129577	0.0146216	0.00994612	0.0122598	0.0417941	0.104813	0.27225	0.500376
a0	0.00441873	0.00382035	0.00385596	0.00463504	0.00319854	0.00514412	0.0334016	0.107915	0.349072	0.484539
a90	0.00381964	0.00352777	0.00278741	0.00267559	0.00150195	0.00183697	0.00921032	0.066518	0.331675	0.576447
a15	0.00418297	0.00322602	0.0026413	0.0029504	0.00174843	0.00241198	0.0118827	0.059087	0.235447	0.676422
a7	0.00130799	0.00102549	0.000825054	0.000882474	0.000702029	0.00150548	0.0114269	0.0624072	0.296432	0.623485
a84	0.00762473	0.00703518	0.00603281	0.00497184	0.00461793	0.00866668	0.0266706	0.0999681	0.292255	0.542157
a87	0.234189	0.184798	0.132144	0.0702756	0.0392546	0.0208756	0.0195258	0.0348483	0.0851882	0.178901
a23	0.262658	0.174992	0.132306	0.0816917	0.0683844	0.0555195	0.039708	0.0387618	0.0692938	0.0766855
a87	0.171048	0.116793	0.0744246	0.0519046	0.0369791	0.0267285	0.0313236	0.0795649	0.194924	0.216309
</S>	0.0487851	0.027876	0.018379	0.0118121	0.0117888	0.0143946	0.0307481	0.0813014	0.283433	0.471482
