 	nyaamvua	enfonce	le	manioc	dans	la	hotte	</S>
a57	0.218578	0.181946	0.191693	0.194719	0.0910132	0.0508622	0.0371694	0.0340195
a82	0.294852	0.215619	0.185122	0.113226	0.0674883	0.0489872	0.0369274	0.0377784
a38	0.490821	0.218352	0.118178	0.0597856	0.0344286	0.0277519	0.0243738	0.0263092
a34	0.441052	0.233208	0.142085	0.0742461	0.0383923	0.0266261	0.0222412	0.0221495
a21	0.366266	0.237648	0.149597	0.0873109	0.0450314	0.0357215	0.0364972	0.0419281
a85	0.427006	0.254096	0.125939	0.0612596	0.0330544	0.0283917	0.0305726	0.039681
a47	0.355878	0.252921	0.153187	0.089353	0.0403089	0.0309941	0.0338001	0.0435574
a76	0.301931	0.23206	0.127456	0.0803927	0.0458306	0.0475035	0.0645906	0.100236
a85	0.320937	0.244796	0.141501	0.091054	0.0435851	0.0402594	0.0479357	0.0699308
a36	0.22842	0.226827	0.151333	0.109771	0.0561371	0.0548367	0.069973	0.102702
a24	0.217198	0.204582	0.119947	0.0998131	0.0598361	0.066154	0.0959482	0.136521
a43	0.176598	0.176527	0.120306	0.117123	0.0829503	0.0868072	0.106359	0.133329
a66	0.144977	0.142526	0.102671	0.109842	0.0939075	0.113913	0.134511	0.157652
a76	0.0999231	0.0842235	0.0737478	0.0877131	0.0978515	0.139065	0.187191	0.230285
a15	0.0404202	0.0454685	0.0432281	0.0668034	0.0864157	0.129931	0.221068	0.366665
a56	0.028087	0.0282538	0.0245152	0.0376825	0.0679047	0.133777	0.254678	0.425103
a75	0.0172345	0.0163016	0.0138089	0.0230065	0.0536778	0.129638	0.288357	0.457976
a47	0.0112383	0.0108521	0.0096646	0.016026	0.0389551	0.104196	0.287217	0.521851
a37	0.00856696	0.00885362	0.00889813	0.0143404	0.0386714	0.110125	0.292997	0.517548
a94	0.00596172	0.00467105	0.0040953	0.0063732	0.0249077	0.0868225	0.286112	0.581056
a56	0.00679124	0.00553428	0.00537088	0.00865342	0.0313989	0.0964238	0.282509	0.563319
a7	0.00693799	0.00646157	0.00706421	0.0110154	0.0365633	0.104076	0.280501	0.54738
a26	0.00717826	0.00683951	0.00905558	0.0152022	0.0512145	0.12021	0.287421	0.502879
a82	0.0730683	0.0737847	0.0670807	0.0694862	0.0908804	0.123378	0.207634	0.294687
a9	0.205469	0.164373	0.108068	0.0835	0.0747769	0.0811799	0.117653	0.16498
a30	0.182189	0.162515	0.108977	0.09516	0.0897453	0.0979933	0.124066	0.139355
a27	0.162954	0.123968	0.0935974	0.0845187	0.0962483	0.116729	0.151348	0.170637
</S>	0.152154	0.107864	0.0804987	0.063353	0.0780163	0.114397	0.172151	0.231566
