 	les	routes	bifurquent	à	cet	endroit	</S>
a23	0.402015	0.288494	0.107502	0.0507452	0.0459132	0.0524692	0.0528611
a87	0.387662	0.143353	0.112354	0.116789	0.0879421	0.0711763	0.0807239
a23	0.230353	0.134688	0.125919	0.154766	0.133486	0.0990903	0.121697
a53	0.132775	0.0537727	0.0919279	0.146316	0.157529	0.180445	0.237234
a20	0.279208	0.148455	0.161447	0.109784	0.0867667	0.103808	0.110531
a94	0.365015	0.256141	0.159313	0.0763135	0.0508698	0.0469484	0.0453987
a20	0.358508	0.315809	0.141684	0.0564385	0.0403831	0.0391781	0.0479997
a73	0.293132	0.235961	0.148653	0.0897783	0.0746634	0.071453	0.086359
a27	0.314	0.263007	0.187947	0.0827796	0.0535518	0.0453435	0.0533714
a54	0.227347	0.210094	0.18818	0.0981105	0.0700147	0.0819444	0.12431
a73	0.178825	0.134033	0.0869144	0.0945688	0.112529	0.159459	0.233671
a94	0.200786	0.149354	0.134535	0.133993	0.12099	0.118025	0.142317
a73	0.155819	0.10024	0.0714544	0.106171	0.156384	0.188149	0.221782
a37	0.12792	0.09006	0.0702135	0.10541	0.150763	0.199135	0.256499
a75	0.0855218	0.052398	0.0477676	0.0670261	0.139667	0.254308	0.353312
a41	0.0852462	0.0593918	0.0608644	0.0712566	0.123691	0.246494	0.353056
a66	0.0344812	0.0240099	0.0417599	0.0797235	0.160046	0.301183	0.358797
a21	0.0183191	0.0112896	0.0193245	0.0271792	0.0710497	0.298288	0.55455
a12	0.0581623	0.0312163	0.0410431	0.0498869	0.0958849	0.262486	0.461321
a31	0.053216	0.0247247	0.0430408	0.0503827	0.0793092	0.251296	0.49803
a24	0.0627023	0.0296933	0.0517086	0.0619462	0.0953086	0.252398	0.446243
a9	0.0526621	0.0199087	0.0351428	0.0473403	0.0863421	0.251429	0.507175
a87	0.0230733	0.0114305	0.0318088	0.0492922	0.0898493	0.244625	0.549921
</S>	0.0117269	0.00581446	0.0161993	0.0328032	0.074154	0.257234	0.602068
