 	son	père	lui	a	défendu	de	boire	directement	de	la	bouteille	</S>
a87	0.09705	0.0693575	0.0507878	0.0491473	0.0670904	0.112725	0.162769	0.289512	0.0563636	0.0232924	0.0137157	0.00818955
a23	0.242104	0.10102	0.0650628	0.0619481	0.0908975	0.0943718	0.0904329	0.099007	0.0600126	0.0380058	0.0325865	0.0245505
a87	0.186187	0.0853171	0.0798864	0.0807143	0.107647	0.088471	0.0625113	0.0662088	0.062881	0.0509008	0.0594863	0.0697891
a23	0.225949	0.113768	0.112084	0.0939949	0.0806867	0.058689	0.0403835	0.0533212	0.0568563	0.0506156	0.0536794	0.0599728
a87	0.262791	0.136932	0.129213	0.0870882	0.0586037	0.0479995	0.0370782	0.0391092	0.0431653	0.0391098	0.0508533	0.0680569
a23	0.169932	0.100559	0.107541	0.0740196	0.0586703	0.0560667	0.0482997	0.07462	0.0796729	0.0704596	0.0752827	0.084876
a97	0.1814	0.0869454	0.0805418	0.0531362	0.0531983	0.0598405	0.0546432	0.0697719	0.0827089	0.0762545	0.0935252	0.108034
a99	0.137798	0.113816	0.120333	0.0864132	0.0524109	0.0488915	0.0451678	0.0370782	0.0536304	0.0623569	0.090635	0.151469
a87	0.207833	0.160015	0.142677	0.0864705	0.0528532	0.0436412	0.0319888	0.019663	0.0325978	0.04076	0.0643191	0.117181
a23	0.14531	0.0938563	0.081504	0.0525179	0.0443392	0.0496314	0.0424589	0.0462302	0.0630097	0.074854	0.117221	0.189067
a87	0.199898	0.112247	0.0918674	0.056064	0.0590816	0.0620666	0.0438819	0.0443498	0.0580138	0.0612828	0.0830486	0.128199
a79	0.127803	0.0800601	0.0718204	0.0506758	0.0596578	0.072017	0.0597176	0.0714152	0.0841691	0.088361	0.11031	0.123992
a47	0.290826	0.16512	0.12864	0.0741014	0.0557253	0.0482879	0.0348568	0.0246017	0.0274935	0.0277092	0.0415763	0.0810613
a41	0.252017	0.206412	0.174909	0.116949	0.0815425	0.0543195	0.0334409	0.0174098	0.0136859	0.0116755	0.0144303	0.0232079
a11	0.159599	0.147027	0.157986	0.139015	0.132207	0.0895481	0.0583443	0.0262127	0.0158332	0.0175951	0.0241575	0.0324747
a24	0.127986	0.143875	0.170056	0.151053	0.121999	0.0825003	0.0603872	0.0327078	0.0246535	0.0237336	0.0269506	0.0340984
a83	0.0972972	0.117432	0.161426	0.162679	0.150747	0.103512	0.072864	0.0362121	0.0238419	0.0228027	0.0233405	0.0278452
a70	0.103307	0.103627	0.143142	0.148617	0.132825	0.0909991	0.0723513	0.0335991	0.0395223	0.0398394	0.0410204	0.0511513
a61	0.104657	0.100773	0.136569	0.154684	0.152113	0.110764	0.0841363	0.0339981	0.0282895	0.0265887	0.0289481	0.0384786
a83	0.0990472	0.0874802	0.113001	0.139612	0.163574	0.1298	0.110451	0.0419806	0.0299187	0.025983	0.0261789	0.0329732
a71	0.0872297	0.0745249	0.0928865	0.125525	0.16577	0.148867	0.137228	0.0484734	0.0248946	0.0233989	0.0291712	0.0420308
a11	0.0654287	0.050234	0.068903	0.0993512	0.150938	0.130791	0.120673	0.0496947	0.046967	0.0515462	0.0658577	0.0996156
a93	0.0424232	0.0322135	0.0460689	0.0708349	0.107569	0.0995133	0.108099	0.0457643	0.0526598	0.0695458	0.114105	0.211203
a90	0.0687654	0.0574001	0.0705613	0.0946175	0.11875	0.124776	0.177318	0.0651968	0.0369827	0.0336026	0.050806	0.101224
a98	0.0660065	0.0600074	0.0717977	0.0882285	0.106697	0.114765	0.160305	0.0633076	0.0312243	0.0342273	0.0634367	0.139996
a47	0.0573686	0.0493761	0.0619157	0.0781414	0.0793476	0.0811227	0.137103	0.0573621	0.0338331	0.0432014	0.101361	0.219867
a98	0.0544103	0.0480398	0.0621727	0.0762889	0.0740654	0.0759997	0.130934	0.0692048	0.0382965	0.0415281	0.096718	0.232341
a15	0.0555885	0.0452098	0.0579825	0.0664506	0.0663783	0.0737483	0.120837	0.0759208	0.0431625	0.0410936	0.0956384	0.25799
a92	0.0643049	0.0520475	0.0639071	0.0704051	0.0636204	0.0711517	0.113857	0.0671034	0.0430815	0.0442177	0.100175	0.246129
a85	0.0552232	0.045921	0.0536118	0.0596719	0.0534146	0.0591701	0.0901268	0.0588541	0.0474176	0.0560658	0.123847	0.296676
a6	0.0356408	0.0339206	0.0388801	0.0428333	0.0363447	0.0401367	0.0630105	0.045629	0.0576285	0.082727	0.185869	0.33738
a37	0.0411221	0.0336903	0.0385455	0.0431457	0.037343	0.0418189	0.067144	0.044361	0.0489985	0.0683421	0.153559	0.38193
a83	0.0289534	0.021026	0.0269091	0.037138	0.0430793	0.0462407	0.0804965	0.0405767	0.0575233	0.0703958	0.159364	0.388297
a9	0.0232176	0.015903	0.0199067	0.0275115	0.0320473	0.033578	0.0545516	0.0295465	0.0508211	0.0719934	0.175666	0.465257
a10	0.0122438	0.00620564	0.00623875	0.00695565	0.0101181	0.0111845	0.0166576	0.0188233	0.0380335	0.0616509	0.202614	0.609274
a87	0.0267904	0.00993615	0.00770952	0.00850508	0.0153608	0.0179419	0.0289629	0.0502079	0.095637	0.121455	0.217	0.400493
a23	0.0524696	0.0238601	0.0163418	0.0161022	0.0324764	0.0414136	0.081161	0.109497	0.144504	0.142871	0.161655	0.177648
a87	0.0123744	0.00589953	0.00407521	0.00390705	0.00823469	0.0141301	0.0268036	0.0632605	0.152302	0.164076	0.21008	0.334857
</S>	0.00657901	0.00328137	0.00263484	0.0030725	0.00736519	0.0134272	0.031179	0.0587048	0.107955	0.134423	0.227947	0.403431
