 	la	tortue	a	double	carapace	</S>
a87	0.518261	0.210185	0.0816309	0.0654073	0.0595765	0.0649397
a23	0.304422	0.145911	0.148272	0.131623	0.126956	0.142815
a97	0.521069	0.188185	0.0923537	0.0444788	0.0533845	0.100529
a13	0.386519	0.184628	0.104175	0.0683193	0.0871137	0.169244
a11	0.312969	0.126543	0.0653809	0.0778116	0.140653	0.276643
a0	0.579939	0.239178	0.078057	0.0378163	0.0315009	0.0335088
a75	0.484458	0.275851	0.108756	0.0447051	0.0379807	0.0482494
a5	0.339739	0.211576	0.166967	0.100002	0.0783109	0.103406
a18	0.339697	0.278384	0.182544	0.0857236	0.0554004	0.0582511
a24	0.160861	0.246522	0.311351	0.112547	0.0783071	0.0904118
a9	0.163444	0.206517	0.30019	0.149355	0.0897696	0.0907241
a99	0.0726107	0.10896	0.290225	0.221273	0.143622	0.16331
a75	0.0511891	0.0604303	0.164837	0.212999	0.206473	0.304072
a5	0.0353028	0.0326834	0.0673091	0.203513	0.298767	0.362425
a18	0.0799874	0.084509	0.167658	0.2649	0.223507	0.179439
a82	0.033573	0.0362687	0.114101	0.291587	0.27233	0.25214
a54	0.0239104	0.0186679	0.0490985	0.167519	0.302423	0.438382
a47	0.0260358	0.0240585	0.0550309	0.201406	0.317345	0.376124
a2	0.0249138	0.0206973	0.0392256	0.184475	0.335849	0.394839
a75	0.0341776	0.0326263	0.0403148	0.0793311	0.221539	0.592011
a5	0.00195458	0.00248804	0.00672782	0.0675261	0.322928	0.598376
a66	0.00267845	0.00230293	0.00822635	0.0550177	0.281518	0.650257
a25	0.00288676	0.00230236	0.00804201	0.0494481	0.236751	0.70057
a54	0.00640166	0.00446091	0.0101224	0.0457992	0.233953	0.699263
a36	0.000957436	0.00131244	0.00454833	0.0286041	0.230021	0.734556
a2	0.00306936	0.00350749	0.0098497	0.0441734	0.228821	0.710579
a30	0.0286449	0.0271756	0.0361217	0.113674	0.246706	0.547677
a87	0.272346	0.110281	0.0848035	0.112698	0.184254	0.235617
a23	0.166996	0.0769704	0.0858006	0.176759	0.248412	0.245062
a87	0.103634	0.0481339	0.0472662	0.128404	0.291564	0.380998
a97	0.017827	0.0140972	0.0335336	0.106184	0.259876	0.568482
</S>	0.0525196	0.0299747	0.0471496	0.0989314	0.242152	0.529273
