 	les	élèves	parlent	à	propos	de	la	maladie	de	l'	enseignant	est-ce	le	sida	</S>
a66	0.126552	0.142589	0.164276	0.12027	0.0966855	0.0689217	0.0734109	0.0590036	0.0514992	0.0397821	0.0267045	0.0113636	0.00723569	0.00626273	0.00544328
a87	0.708685	0.116311	0.0132094	0.0129223	0.00900126	0.00881457	0.0105994	0.0132631	0.0158778	0.01468	0.0167495	0.0127951	0.0162295	0.0179853	0.0128759
a23	0.299729	0.207558	0.0934673	0.0690538	0.0482395	0.0311362	0.0388564	0.0280472	0.0273931	0.0289207	0.0337921	0.0266503	0.0241383	0.0248822	0.0181351
a87	0.188247	0.165603	0.113856	0.101058	0.0860769	0.0678526	0.0660389	0.0409602	0.0288377	0.0230872	0.0203154	0.0181164	0.0237627	0.031239	0.0249488
a23	0.158175	0.232327	0.203262	0.110396	0.0729847	0.0496868	0.0495107	0.0301251	0.0216665	0.0172055	0.0136272	0.00955724	0.0101024	0.0109587	0.0104145
a40	0.160701	0.227182	0.144499	0.0866913	0.0679242	0.0480526	0.0466385	0.0320564	0.0251933	0.0218888	0.021029	0.021399	0.029123	0.0372547	0.0303664
a6	0.339729	0.243479	0.0546016	0.0395167	0.0429903	0.0316222	0.0343303	0.0260722	0.024701	0.0277189	0.0264594	0.0271902	0.0271193	0.0312664	0.0232037
a36	0.277977	0.350297	0.0916866	0.0578896	0.0441425	0.0262706	0.0183068	0.0115415	0.0100107	0.00931003	0.00824759	0.0123205	0.0203294	0.0349462	0.0267235
a85	0.164101	0.318557	0.111212	0.0882758	0.065548	0.0422272	0.0283788	0.0188107	0.017284	0.0171594	0.0168447	0.0175015	0.023317	0.0405306	0.0302519
a5	0.124298	0.184576	0.0543784	0.0560156	0.0624071	0.0569856	0.0434206	0.0399213	0.0400373	0.0429814	0.0398756	0.0435666	0.053682	0.0797311	0.0781236
a36	0.21346	0.235	0.0894312	0.0814817	0.0816405	0.0637632	0.0580522	0.0413253	0.0319574	0.0277255	0.0199305	0.0109992	0.0113114	0.0180797	0.0158424
a90	0.119852	0.168876	0.112313	0.106102	0.105882	0.0900629	0.0777356	0.0546267	0.0405731	0.0340281	0.0247892	0.013996	0.0135936	0.0180504	0.0195197
a25	0.0785496	0.106226	0.101936	0.101948	0.103232	0.0938184	0.0851213	0.0654125	0.055922	0.0508511	0.035637	0.0199975	0.0247086	0.0363448	0.0402951
a92	0.0378703	0.0684679	0.125293	0.123787	0.102836	0.10157	0.0843102	0.0632986	0.0537857	0.0495417	0.0450199	0.0245377	0.0305545	0.0431243	0.0460037
a61	0.0166164	0.0327194	0.0990399	0.103846	0.103656	0.110279	0.10379	0.091066	0.0767605	0.0682055	0.0500032	0.0242622	0.0311097	0.041768	0.0468782
a18	0.0104068	0.0189847	0.101796	0.11773	0.1307	0.13183	0.131072	0.105391	0.0854892	0.0647533	0.0374941	0.0134007	0.0135667	0.0167168	0.0206678
a71	0.00398459	0.00866834	0.108577	0.15977	0.158936	0.166288	0.140937	0.0986058	0.0606719	0.0380479	0.0187289	0.00724349	0.00778835	0.0100946	0.0116592
a9	0.00348613	0.0088163	0.100806	0.15733	0.150709	0.167925	0.13784	0.103691	0.0644399	0.0413501	0.0229566	0.00995051	0.00919192	0.0110011	0.010505
a87	0.00918725	0.0186111	0.139418	0.171085	0.134351	0.146712	0.111912	0.0950773	0.0539576	0.0372765	0.0253309	0.0150641	0.0134922	0.0160185	0.0125064
a23	0.0514998	0.0522568	0.115239	0.0925991	0.0698395	0.0746024	0.0693735	0.0718946	0.0634876	0.0634531	0.0616699	0.062202	0.056072	0.0573461	0.0384643
a40	0.0128514	0.0244621	0.143227	0.118927	0.0922338	0.0968739	0.0744477	0.078463	0.080022	0.0661843	0.0635388	0.0315419	0.0354405	0.0420611	0.0397263
a6	0.0101211	0.0184664	0.0425698	0.0477887	0.0501677	0.0590042	0.0479323	0.0514895	0.0583365	0.0618746	0.0480637	0.06398	0.115405	0.151305	0.173496
a0	0.0091486	0.0150374	0.0223739	0.0259756	0.029111	0.0355473	0.035248	0.0445442	0.0571108	0.0723079	0.0670471	0.0955144	0.144512	0.173368	0.173154
a21	0.00825028	0.0130965	0.0369341	0.0428428	0.0501114	0.0525965	0.0503939	0.0492507	0.053492	0.0598659	0.0521638	0.0924056	0.135603	0.168834	0.13416
a85	0.00615538	0.00780082	0.0317862	0.0371013	0.0489853	0.0539517	0.0578092	0.0609249	0.064309	0.066764	0.053536	0.0935283	0.138184	0.155723	0.123442
a92	0.00201675	0.00326029	0.0167978	0.0231873	0.0247964	0.030691	0.0297633	0.0311716	0.0311844	0.036062	0.0420857	0.0869758	0.175103	0.258942	0.207962
a56	0.00243771	0.00410754	0.0222787	0.0280558	0.0368019	0.0419193	0.0444824	0.0463393	0.0433697	0.0435352	0.0436688	0.088869	0.16457	0.212787	0.176778
a75	0.00234805	0.0039391	0.0465629	0.065669	0.0718831	0.073998	0.06788	0.0602106	0.0540935	0.0467442	0.0403796	0.0674845	0.121009	0.13635	0.141448
a56	0.000786832	0.00129422	0.0217245	0.0324533	0.042388	0.0551199	0.0547181	0.0585342	0.0512504	0.0462454	0.0460675	0.0827916	0.163227	0.16689	0.176509
a93	0.00166739	0.00268693	0.0289149	0.0520052	0.0656586	0.0785123	0.0733951	0.0695	0.0582437	0.0477959	0.0416752	0.0674054	0.126545	0.141249	0.144745
