 	j'	ai	donné	un	drap	blanc	comme	contribution	à	l'	inhumation	de	ma	belle-mère	</S>
a66	0.0296129	0.0248023	0.0251772	0.0245341	0.0364423	0.0438988	0.0580477	0.0576693	0.139758	0.245047	0.239199	0.0511457	0.0151678	0.00544115	0.00405696
a87	0.313374	0.222149	0.123332	0.0573485	0.0276816	0.0144318	0.0128972	0.0196253	0.0369572	0.0525126	0.0548574	0.0202501	0.0162524	0.016164	0.0121677
a23	0.368731	0.178645	0.0881541	0.0391952	0.0281437	0.0175119	0.021623	0.0225248	0.035788	0.0474092	0.0482104	0.0290145	0.0305772	0.0291798	0.0152927
a99	0.371643	0.21946	0.0974617	0.0375568	0.0254809	0.0158201	0.0249737	0.0353121	0.0376935	0.0300383	0.0232284	0.0113135	0.0149078	0.0274763	0.0276339
a24	0.201996	0.145045	0.109703	0.0585837	0.0611831	0.0379297	0.0654327	0.0526321	0.0669063	0.0649481	0.0502751	0.0257064	0.027115	0.0199113	0.0126331
a88	0.180465	0.140344	0.115111	0.092489	0.109539	0.0626444	0.0612977	0.0291613	0.0311664	0.0366952	0.0423942	0.0309735	0.0354351	0.0209807	0.0113041
a9	0.136811	0.161872	0.139176	0.135735	0.133544	0.0770455	0.059648	0.0281688	0.0243606	0.023335	0.0299648	0.0236897	0.0191095	0.00535097	0.00218917
a38	0.0956778	0.118414	0.119124	0.136409	0.135313	0.079301	0.0630799	0.0397685	0.0327259	0.0294689	0.0366054	0.0330934	0.0504813	0.0221145	0.0084232
a70	0.0677783	0.0870734	0.102119	0.130527	0.12629	0.0820409	0.0832646	0.0662838	0.0468228	0.0350675	0.0383085	0.0282655	0.0524274	0.038364	0.0153674
a66	0.0530636	0.0775245	0.0921594	0.12123	0.124133	0.0896134	0.0958241	0.0818381	0.0522859	0.0363521	0.0362349	0.0251557	0.0430896	0.0460723	0.0254234
a70	0.0361647	0.0459807	0.0537323	0.0709281	0.102096	0.0854463	0.112929	0.105961	0.0875689	0.0655114	0.064049	0.0348647	0.0430302	0.0525914	0.0391455
a90	0.036376	0.0474443	0.0553486	0.0835777	0.11223	0.105982	0.122912	0.111012	0.0945962	0.0715249	0.0578917	0.0219898	0.0238825	0.0311024	0.0241314
a25	0.018609	0.026171	0.0359907	0.0718953	0.112373	0.111132	0.12567	0.11713	0.0923827	0.0743853	0.062395	0.0231767	0.0317685	0.0514582	0.0454622
a79	0.0112446	0.0158086	0.0266021	0.0630028	0.103814	0.108361	0.11785	0.11785	0.0911415	0.0780836	0.069169	0.0258275	0.0335014	0.0673473	0.0703972
a92	0.0145668	0.0185982	0.0255287	0.0513938	0.085111	0.109059	0.12815	0.127716	0.0934583	0.0784431	0.0729598	0.042259	0.0355589	0.0562051	0.0609918
a6	0.0114554	0.0137975	0.0172991	0.0381327	0.0738714	0.109245	0.133703	0.135106	0.105107	0.0864163	0.0752167	0.0446195	0.0376366	0.0534945	0.0648984
a0	0.00885201	0.0101826	0.0114861	0.0243929	0.0508194	0.098043	0.136888	0.145188	0.112343	0.0877471	0.0778506	0.0581317	0.0477654	0.0557554	0.0745555
a43	0.00630518	0.00598982	0.00625116	0.0104256	0.0235182	0.0494124	0.0683805	0.0983406	0.120446	0.102865	0.0931775	0.0484558	0.065732	0.143003	0.157697
a34	0.00366717	0.0032595	0.00378802	0.00575826	0.0139297	0.0255236	0.0390127	0.0787395	0.129921	0.123399	0.152414	0.0924895	0.0788022	0.121999	0.127296
a37	0.00265681	0.00269349	0.00289807	0.0054847	0.0105534	0.0238469	0.0294604	0.0491276	0.0653199	0.0591681	0.0742517	0.0929945	0.141982	0.221446	0.218116
a93	0.00152917	0.00143941	0.00169078	0.00298124	0.00753119	0.0131494	0.0189002	0.0370386	0.0687155	0.066368	0.0917568	0.1015	0.125089	0.202545	0.259766
a90	0.000957224	0.000908326	0.000962393	0.00166866	0.00327382	0.00731312	0.0101634	0.0183159	0.0284076	0.0257255	0.0333477	0.0586961	0.128655	0.303177	0.378428
a92	0.000521451	0.000461596	0.00040674	0.00061603	0.00109929	0.00260258	0.00430314	0.00810378	0.011921	0.0102172	0.0151684	0.0477069	0.122929	0.284865	0.489079
a21	0.000152937	0.000134216	0.000112986	0.000176666	0.000324718	0.000986579	0.00154449	0.0027335	0.003696	0.00256648	0.00389149	0.0239506	0.0939103	0.272059	0.59376
a92	0.000184003	0.00013086	0.000126631	0.000161018	0.000250235	0.000643732	0.000752549	0.00117878	0.00184676	0.00173069	0.00292767	0.0178301	0.0620377	0.213532	0.696668
a37	5.1135e-05	3.85824e-05	3.34477e-05	5.45911e-05	0.000111793	0.000339497	0.000418761	0.000728057	0.00113677	0.000677358	0.00109284	0.0103029	0.0492027	0.206023	0.729789
a12	0.000104925	8.0572e-05	7.78569e-05	0.000126782	0.000328129	0.000624626	0.000780631	0.00128671	0.00222774	0.00137093	0.00147701	0.008069	0.0295879	0.176433	0.777424
a96	9.18538e-05	6.72637e-05	5.87598e-05	7.68119e-05	0.000121697	0.000271897	0.000265866	0.000470494	0.00084045	0.000554496	0.000696827	0.00400304	0.0221282	0.151193	0.819159
a88	0.000241224	0.000189885	0.000161096	0.000247038	0.00046438	0.00077676	0.000749251	0.00110434	0.00143647	0.000920427	0.00122926	0.00962315	0.0309978	0.18651	0.765349
a27	0.00209545	0.00154393	0.00133928	0.00180942	0.00293133	0.00505395	0.00574145	0.00582473	0.00675724	0.00495025	0.00569765	0.028782	0.0538743	0.201416	0.672183
a57	0.044765	0.0275582	0.0210628	0.0214585	0.0230496	0.0360319	0.0441175	0.0265793	0.0306293	0.0238577	0.024157	0.0555906	0.0598794	0.132144	0.429119
a87	0.106851	0.0551069	0.0360283	0.0341821	0.031721	0.0386488	0.0309581	0.0318254	0.0444979	0.0522014	0.0896322	0.0976376	0.0750681	0.110617	0.165024
a23	0.152619	0.0789797	0.0434224	0.0294442	0.0231229	0.0228077	0.018247	0.0309444	0.0628152	0.0975382	0.157878	0.0865471	0.0579968	0.0690844	0.0685531
