 	cet	arbre	est	coupé	</S>
a87	0.611931	0.179058	0.0922308	0.063061	0.0537187
a23	0.322296	0.188039	0.137163	0.172355	0.180147
a83	0.417753	0.230529	0.141055	0.101332	0.109332
a34	0.52913	0.230516	0.119818	0.0599856	0.0605503
a75	0.598564	0.245568	0.0897797	0.0312474	0.0348411
a56	0.438957	0.282743	0.147207	0.0602706	0.0708224
a75	0.446281	0.268812	0.133882	0.0683981	0.0826267
a12	0.375264	0.241258	0.16106	0.100396	0.122022
a56	0.290714	0.21319	0.186477	0.151737	0.157883
a90	0.185484	0.166541	0.194035	0.218602	0.235337
a25	0.163622	0.157032	0.200741	0.227318	0.251286
a92	0.0670382	0.099069	0.178794	0.298038	0.357061
a25	0.0413637	0.0697108	0.151465	0.299749	0.437711
a92	0.0182469	0.0321332	0.0770792	0.307204	0.565337
a21	0.014211	0.025148	0.0619236	0.265479	0.633238
a12	0.0101363	0.0205255	0.0450303	0.235642	0.688666
a21	0.00595442	0.0131867	0.0316897	0.209676	0.739493
a47	0.00404807	0.00963195	0.0253242	0.188667	0.772329
a21	0.00511671	0.013449	0.0356718	0.230737	0.715025
a12	0.00439962	0.0111337	0.0299199	0.215819	0.738728
a18	0.00266367	0.0075253	0.0232191	0.216841	0.749751
a88	0.0155116	0.029426	0.0527618	0.23055	0.671751
a18	0.0168031	0.0258705	0.042417	0.209361	0.705548
a9	0.0679718	0.0664479	0.0746996	0.241767	0.549114
a10	0.123698	0.108341	0.1203	0.274654	0.373007
a87	0.0864088	0.0837731	0.101908	0.278002	0.449908
a23	0.0483588	0.0478946	0.0706402	0.286337	0.54677
a87	0.0148088	0.0240434	0.0446659	0.217794	0.698688
</S>	0.0110582	0.0257987	0.0557641	0.230877	0.676502
