 	les	feuilles	que	vous	avez	laissées	près	du	feu	se	sont	flétries	</S>
a23	0.21042	0.10985	0.0899384	0.0699514	0.0628602	0.0566867	0.0558907	0.0874649	0.0985424	0.067674	0.044109	0.0262037	0.0204086
a75	0.293453	0.143822	0.106285	0.0668607	0.0569202	0.073559	0.0840066	0.0638785	0.0430053	0.0213202	0.0151263	0.0120639	0.0196983
a6	0.289332	0.174434	0.145951	0.0985256	0.0729097	0.0340705	0.0488464	0.0374126	0.0229991	0.0224783	0.0233129	0.0191434	0.0105844
a43	0.310074	0.212431	0.163328	0.0886382	0.0464616	0.0246826	0.0365075	0.0368522	0.0205285	0.0187341	0.0178842	0.0146713	0.00920665
a11	0.167501	0.185133	0.167531	0.132844	0.107995	0.0569001	0.0702519	0.0464039	0.0226267	0.0147261	0.0124753	0.0100762	0.00553545
a0	0.113809	0.117257	0.113113	0.114946	0.169266	0.120265	0.116442	0.0628642	0.0301068	0.0163076	0.0129066	0.00840368	0.00431362
a31	0.0884355	0.0923737	0.105024	0.118848	0.195844	0.135547	0.124059	0.0637821	0.0303303	0.0162899	0.0134155	0.00995005	0.00610051
a47	0.0773816	0.087635	0.0974333	0.129309	0.209565	0.122687	0.125364	0.070213	0.0340722	0.0172911	0.0132052	0.00950801	0.00633504
a31	0.0571005	0.0737702	0.09788	0.119445	0.195027	0.146786	0.141789	0.0798261	0.03836	0.018028	0.0137065	0.010822	0.00746086
a0	0.0777048	0.0970139	0.111119	0.130817	0.177179	0.115642	0.122094	0.0768928	0.0409338	0.0197934	0.0137643	0.0101053	0.00694013
a31	0.0380354	0.0538049	0.0768631	0.0872357	0.133938	0.161352	0.155622	0.102165	0.0736006	0.0424125	0.0309766	0.0248601	0.0191347
a88	0.0609657	0.0727957	0.0889223	0.112331	0.127397	0.116085	0.131217	0.111364	0.0790293	0.0450358	0.02693	0.0164911	0.011435
a31	0.0375532	0.040917	0.0558262	0.0698126	0.106145	0.113208	0.114859	0.111761	0.124217	0.0947123	0.0680399	0.0379013	0.0250462
a61	0.041162	0.0437674	0.0588657	0.079921	0.0981456	0.106891	0.116573	0.112061	0.117183	0.0992594	0.070976	0.0339607	0.0212343
a66	0.0310152	0.0331998	0.0465667	0.0607776	0.0952226	0.114431	0.105398	0.096426	0.127626	0.119511	0.0941855	0.0465418	0.0290986
a21	0.0371757	0.0406716	0.0538511	0.0569692	0.0690315	0.0874998	0.0743485	0.0798806	0.104816	0.1022	0.103724	0.0933097	0.0965217
a18	0.0443074	0.0431002	0.0692314	0.0866546	0.0881918	0.0774872	0.0763106	0.0665867	0.0941766	0.122924	0.124463	0.0638913	0.0426748
a21	0.0262013	0.0277514	0.0419445	0.0526419	0.0738432	0.0969173	0.0706895	0.0514131	0.0718543	0.0986962	0.128431	0.124002	0.135613
a61	0.0334587	0.0357752	0.0582811	0.0754709	0.0832945	0.083488	0.0820102	0.0584741	0.0788126	0.111791	0.131553	0.0912152	0.0763755
a5	0.0150012	0.0170195	0.0293095	0.0454252	0.0684724	0.0895115	0.0740703	0.0487328	0.0692709	0.105374	0.161582	0.151957	0.124274
a61	0.0336513	0.0383154	0.0600882	0.068629	0.0697892	0.0689503	0.0720862	0.0529345	0.0688145	0.0975916	0.135637	0.12432	0.109193
a31	0.0107979	0.0134292	0.0227142	0.0356787	0.0494191	0.0679122	0.0561397	0.0386911	0.0563589	0.0887339	0.163409	0.218744	0.177973
a61	0.00777974	0.0105743	0.018768	0.0325109	0.0473065	0.0630898	0.0489578	0.0320756	0.0474657	0.0748389	0.146267	0.245441	0.224925
a62	0.00528293	0.00684475	0.0131126	0.0228764	0.0323111	0.0437232	0.0330718	0.0229814	0.0370547	0.062844	0.13301	0.267217	0.31967
a83	0.00234207	0.00272794	0.00436218	0.00918808	0.021508	0.0371732	0.0239253	0.0138208	0.0229021	0.0374407	0.0914346	0.246206	0.486968
a66	0.00163009	0.00174851	0.00310242	0.00572654	0.0113502	0.0183282	0.0131162	0.0106032	0.0205823	0.0410212	0.103675	0.263345	0.505771
a90	0.00246888	0.00226252	0.00237008	0.00291901	0.0049865	0.00934826	0.00582811	0.00504416	0.010633	0.0251473	0.0877281	0.270545	0.570719
a25	0.00118844	0.0014391	0.00265828	0.00391936	0.00587079	0.00981124	0.00841098	0.0081265	0.0156836	0.0317293	0.0864128	0.262336	0.562414
a90	0.0021835	0.00241158	0.00337772	0.00505828	0.00684348	0.0103535	0.00971652	0.00739433	0.0121843	0.0275574	0.0818448	0.287821	0.543254
a4	0.00130495	0.00159938	0.00229005	0.00376851	0.00642722	0.0102262	0.00699929	0.00554485	0.00921215	0.0190424	0.0662306	0.233851	0.633503
a90	0.00227024	0.00268307	0.00405269	0.00681262	0.00928467	0.0142915	0.0121318	0.00895836	0.0129825	0.0220332	0.0576636	0.185427	0.661408
a58	0.00375189	0.00478301	0.00755755	0.0109759	0.0121068	0.0192883	0.0159763	0.010693	0.0159572	0.0284593	0.0722747	0.200769	0.597407
a82	0.00153464	0.00143003	0.00174301	0.00289849	0.00571136	0.0167032	0.00914636	0.00574626	0.00887701	0.0154631	0.0447023	0.143811	0.742234
a87	0.0142117	0.0113036	0.012067	0.0107402	0.0104384	0.0185159	0.0134653	0.0108905	0.0170608	0.0233572	0.0575329	0.145349	0.655067
a23	0.262862	0.144335	0.0881119	0.0586824	0.0293258	0.0340488	0.0319163	0.0284981	0.0290864	0.0300404	0.0498297	0.0595017	0.153761
a87	0.0896551	0.0590247	0.0319701	0.027721	0.013145	0.0275263	0.030492	0.0292292	0.0382908	0.0551692	0.116979	0.191425	0.289373
</S>	0.0250487	0.0202234	0.0146657	0.018354	0.0137485	0.0386952	0.0346449	0.0278006	0.0448615	0.0693675	0.123007	0.190298	0.379284
