 	cet	homme	est	en	train	de	se	raser	la	barbe	</S>
a66	0.180517	0.128179	0.12359	0.118327	0.132516	0.117609	0.0759054	0.0472463	0.0346372	0.0239538	0.0175209
a87	0.132874	0.0799861	0.0698278	0.0807831	0.0834686	0.11538	0.120078	0.104861	0.0977138	0.0623132	0.052714
a10	0.215795	0.126974	0.0824459	0.0745212	0.0752796	0.0829936	0.0713242	0.0821281	0.0726994	0.053596	0.0622432
a62	0.321655	0.174161	0.0943828	0.0752743	0.0646693	0.0653744	0.0458922	0.0460929	0.0390974	0.0328779	0.0405222
a96	0.296147	0.164803	0.118997	0.115	0.113359	0.0914564	0.0478199	0.0256115	0.011587	0.00550868	0.0097114
a44	0.260481	0.196724	0.129286	0.110716	0.0880114	0.0952109	0.057562	0.032626	0.0154278	0.00643169	0.00752289
a98	0.16377	0.167291	0.126924	0.120675	0.095854	0.12849	0.100288	0.049209	0.0244874	0.00987784	0.0131339
a85	0.120187	0.14212	0.126463	0.133922	0.11615	0.129206	0.104113	0.0575312	0.0317984	0.0148449	0.0236648
a0	0.0975358	0.12723	0.132145	0.144394	0.123476	0.146522	0.10545	0.0535563	0.0313336	0.0170726	0.0212834
a75	0.0802896	0.0989085	0.106432	0.117437	0.0918901	0.110606	0.103537	0.0900316	0.0797959	0.0572205	0.0638527
a37	0.0808021	0.104931	0.12508	0.133784	0.111338	0.132715	0.0971488	0.0678906	0.0592893	0.0413963	0.0456245
a75	0.0634861	0.0783392	0.106427	0.123895	0.115761	0.121337	0.0989479	0.0807539	0.0854663	0.0660333	0.0595537
a47	0.03859	0.0445315	0.0673548	0.0770702	0.089411	0.105087	0.108072	0.108465	0.140768	0.108995	0.111656
a61	0.0256632	0.0233711	0.0336738	0.0389713	0.0502738	0.0436162	0.0533876	0.0794926	0.210096	0.212158	0.229297
a21	0.0201386	0.0185501	0.0227989	0.0248532	0.0315413	0.0358706	0.0588322	0.0768482	0.186914	0.268214	0.25544
a12	0.0139839	0.012173	0.0131716	0.0136515	0.0187445	0.022778	0.0440373	0.055868	0.165543	0.334244	0.305804
a61	0.0077669	0.00666106	0.00729007	0.00774259	0.0102553	0.0137775	0.0291771	0.0419579	0.12584	0.337333	0.412198
a21	0.0036558	0.00300852	0.00339287	0.00418701	0.00597353	0.00808006	0.017478	0.0260509	0.0838304	0.311518	0.532825
a61	0.00313262	0.00248995	0.00297399	0.00389952	0.00668079	0.0098371	0.0223729	0.0378841	0.115785	0.346172	0.448772
a18	0.000387309	0.000314482	0.000398384	0.000607028	0.00114545	0.00231593	0.00702352	0.0180155	0.0807614	0.301314	0.587717
a21	0.00283898	0.00228989	0.00321276	0.00667451	0.017871	0.0237657	0.0328467	0.0289789	0.0874837	0.222796	0.571241
a47	0.00237521	0.00187701	0.00217053	0.00314151	0.00519456	0.00680037	0.0154105	0.0308361	0.102857	0.306518	0.522819
a88	0.00107492	0.000989041	0.00141521	0.00247423	0.00469725	0.00841795	0.0170316	0.0283649	0.104517	0.265104	0.565913
a71	0.000772872	0.000736855	0.00116436	0.00258161	0.00659872	0.0100392	0.0187134	0.0228612	0.0836818	0.249486	0.603364
a9	0.0148294	0.0119986	0.0163621	0.0273927	0.0569002	0.0611761	0.070663	0.0575732	0.115962	0.179543	0.3876
a3	0.125787	0.0745963	0.0617182	0.0626948	0.0926483	0.100988	0.102985	0.0742877	0.0778834	0.0831451	0.143267
a97	0.113044	0.0665516	0.0475952	0.0447615	0.0617051	0.094061	0.116113	0.0851521	0.088216	0.118476	0.164324
a27	0.0696746	0.0417166	0.0301491	0.0329802	0.0490576	0.0697467	0.079944	0.0553046	0.0829728	0.220449	0.268004
</S>	0.0190708	0.0125983	0.00982029	0.0111261	0.0154943	0.0245618	0.04661	0.0544286	0.118962	0.291251	0.396077
