 	cette	nourriture	ira	chez	ngala	celle-ci	ira	chez	apendi	</S>
a23	0.141463	0.0784247	0.103291	0.132016	0.152001	0.162649	0.123971	0.0540238	0.0299455	0.0222149
a87	0.312892	0.164617	0.0880961	0.089099	0.0876143	0.0673859	0.05593	0.0535158	0.0471585	0.0336909
a23	0.175206	0.162382	0.110229	0.117471	0.0936347	0.0684119	0.0613457	0.0558646	0.0805519	0.0749031
a99	0.317863	0.258109	0.130953	0.0726532	0.0488324	0.0330354	0.0279189	0.0283326	0.0400936	0.0422089
a62	0.399237	0.249429	0.0939676	0.0493721	0.0425102	0.0311433	0.0230256	0.0265464	0.0377629	0.047006
a5	0.526948	0.280369	0.0642512	0.0255803	0.0287306	0.0274775	0.0126552	0.00860207	0.0137409	0.0116453
a18	0.407969	0.294465	0.113419	0.0470961	0.0430879	0.0370573	0.0174838	0.0126583	0.014459	0.0123049
a61	0.362195	0.288101	0.14888	0.0594675	0.0491622	0.0368571	0.0179251	0.012966	0.0136383	0.0108084
a88	0.234653	0.259166	0.194542	0.0907648	0.0719056	0.0564446	0.0281797	0.0209256	0.0237345	0.0196853
a61	0.124196	0.199726	0.252461	0.129994	0.102509	0.0871031	0.0375886	0.0243772	0.0226872	0.0193575
a12	0.102	0.171202	0.237327	0.150169	0.118257	0.112146	0.0426962	0.0226352	0.0212663	0.0223005
a88	0.0929799	0.141597	0.219081	0.161567	0.139475	0.135093	0.0539661	0.0221441	0.016174	0.0179243
a75	0.0553674	0.0950163	0.207165	0.195978	0.162754	0.150738	0.0678098	0.0300359	0.0179912	0.0171451
a25	0.0642715	0.0869251	0.206485	0.173027	0.173342	0.150688	0.0774193	0.0316578	0.0180235	0.0181616
a90	0.030386	0.0383179	0.128587	0.187556	0.195172	0.194225	0.124409	0.0512719	0.026104	0.0239711
a94	0.0375079	0.0512243	0.120662	0.1851	0.175663	0.158779	0.123908	0.0650435	0.0351238	0.046989
a76	0.0340834	0.040981	0.0899344	0.182032	0.171922	0.169736	0.137465	0.0706108	0.0428285	0.0604058
a73	0.0430718	0.0455063	0.0916094	0.141799	0.140948	0.113087	0.154127	0.109779	0.071064	0.0890081
a47	0.0425365	0.0423019	0.083311	0.141661	0.14069	0.116667	0.163345	0.108343	0.066371	0.0947737
a56	0.0671452	0.0581812	0.0913455	0.132192	0.133297	0.0985143	0.154129	0.103911	0.0678082	0.0934762
a96	0.064292	0.0632767	0.099632	0.141305	0.131872	0.096463	0.142417	0.108673	0.0692065	0.0828632
a75	0.0447854	0.0456389	0.0818155	0.150665	0.126915	0.101961	0.155264	0.118349	0.0773407	0.0972652
a85	0.0683483	0.0586745	0.0860907	0.1207	0.120422	0.0878744	0.128928	0.128914	0.0956332	0.104415
a37	0.0771246	0.0602031	0.078607	0.104357	0.112892	0.0863601	0.134182	0.125383	0.101344	0.119547
