 	c'	est	une	région	brûlée	par	le	soleil	</S>
a79	0.295913	0.147747	0.0783025	0.0622193	0.0817508	0.0684356	0.0694285	0.0867192	0.109484
a21	0.257979	0.136494	0.131141	0.118361	0.0566553	0.043588	0.0573098	0.0788716	0.1196
a61	0.4433	0.22406	0.120733	0.0909745	0.0716677	0.026954	0.0110522	0.00638824	0.00486995
a62	0.467595	0.228325	0.143614	0.0951926	0.0433234	0.0123932	0.00435235	0.00273467	0.00246963
a88	0.497896	0.226692	0.129785	0.0819322	0.0354137	0.0155122	0.00648723	0.00351509	0.00276671
a0	0.329574	0.254312	0.170483	0.117688	0.0599938	0.0311984	0.0162044	0.0107951	0.00975243
a21	0.171008	0.191231	0.177596	0.160314	0.103032	0.0759142	0.0499854	0.0362562	0.0346624
a61	0.377757	0.26376	0.134176	0.0772848	0.06578	0.0377749	0.0199842	0.0124	0.0110822
a75	0.143518	0.150396	0.132129	0.134334	0.126079	0.11759	0.0865481	0.057677	0.0517287
a85	0.14431	0.117724	0.0991184	0.109897	0.142674	0.153703	0.104316	0.0687201	0.059538
a37	0.0648309	0.0575294	0.0577779	0.0827933	0.137415	0.223562	0.180131	0.111043	0.0849174
a27	0.0471738	0.0431305	0.0465694	0.0742659	0.0982487	0.20661	0.206452	0.156766	0.120784
a90	0.0219457	0.0196462	0.0223762	0.0349066	0.0408859	0.0831929	0.140847	0.251416	0.384783
a25	0.0159867	0.014639	0.0152518	0.0274344	0.0511093	0.171311	0.243393	0.242462	0.218413
a56	0.00304955	0.00308259	0.00421332	0.0121522	0.0227799	0.0873053	0.162081	0.307537	0.397799
a75	0.00346346	0.0030842	0.00361168	0.00832152	0.0205535	0.0899322	0.175785	0.314505	0.380743
a0	0.00549218	0.00465734	0.00439649	0.00870639	0.018903	0.0566531	0.116529	0.287639	0.497023
a75	0.00070685	0.000744162	0.00116252	0.00409336	0.0125453	0.0516813	0.114042	0.293316	0.521709
a56	0.0015998	0.00146536	0.00175477	0.00443337	0.0108646	0.0379497	0.0844462	0.264301	0.593185
a25	0.000652307	0.000621646	0.0008555	0.00216258	0.00522191	0.0202395	0.0627516	0.250257	0.657238
a56	0.000246389	0.000215884	0.000287306	0.00104138	0.00396304	0.0182945	0.0641509	0.255197	0.656603
a75	0.000476365	0.000486429	0.000668743	0.00200483	0.00546625	0.0177518	0.0515582	0.232456	0.689131
a61	0.000339962	0.000295373	0.000397401	0.00177227	0.00612842	0.0223757	0.0685576	0.247439	0.652694
a83	0.000436143	0.000411633	0.000554032	0.00195735	0.007041	0.0209772	0.0558766	0.229954	0.682792
a9	0.000702824	0.00070457	0.000939404	0.00256734	0.0119311	0.0329718	0.0686613	0.223765	0.657756
a10	0.00682357	0.00495649	0.00471061	0.00767636	0.0257552	0.0533243	0.110213	0.277377	0.509163
a87	0.0716646	0.0517811	0.0385494	0.0394716	0.058209	0.0722363	0.107434	0.210186	0.350468
a23	0.0907038	0.0611307	0.0422942	0.0401438	0.0530474	0.0649689	0.10398	0.214559	0.329171
a87	0.0481526	0.0323857	0.0203792	0.0222303	0.0379025	0.0620242	0.128545	0.26787	0.380511
</S>	0.016372	0.0113403	0.00881773	0.0163957	0.0273575	0.0617928	0.126214	0.275079	0.456631
