 	le	cabri	qu'	ils	ont	vendu	était	mâle	</S>
a15	0.346101	0.165258	0.10014	0.101752	0.0882912	0.0908478	0.0533961	0.0281279	0.0260857
a66	0.224055	0.172197	0.152981	0.113265	0.0727682	0.0755317	0.0619106	0.0584867	0.0688049
a87	0.493804	0.176792	0.0990214	0.0503016	0.0327609	0.0297145	0.0289472	0.037058	0.0516009
a97	0.47986	0.198322	0.105482	0.0461093	0.0277223	0.0271272	0.0291389	0.0392738	0.0469654
a38	0.40781	0.203728	0.118148	0.0514927	0.0318116	0.030596	0.0361116	0.0546705	0.0656314
a53	0.471479	0.227848	0.118694	0.0457946	0.0240587	0.0235232	0.0197057	0.028338	0.040558
a56	0.364454	0.244387	0.131917	0.0673245	0.0510903	0.0459111	0.0320578	0.0297479	0.0331096
a11	0.246508	0.276524	0.203724	0.101941	0.0591217	0.0415682	0.0266895	0.0204862	0.0234379
a0	0.192177	0.253749	0.221092	0.122233	0.0728208	0.0504234	0.0346665	0.0252195	0.0276196
a62	0.1704	0.23536	0.225854	0.125199	0.0759483	0.0540151	0.0406308	0.0336302	0.038962
a47	0.153388	0.218266	0.221485	0.134387	0.0883756	0.0605145	0.045313	0.0361745	0.042097
a88	0.126444	0.179923	0.195426	0.14091	0.10993	0.0795751	0.0641676	0.0504318	0.0531917
a62	0.0860907	0.132535	0.171655	0.164088	0.143459	0.104546	0.0799265	0.0576895	0.0600093
a96	0.0673057	0.0901129	0.118933	0.153542	0.164866	0.132891	0.10835	0.0810117	0.0829881
a98	0.0479558	0.0637284	0.0921572	0.150857	0.175025	0.146627	0.128873	0.095543	0.0992336
a47	0.0219752	0.0306724	0.0507421	0.109379	0.168768	0.16292	0.166956	0.138495	0.150093
a6	0.0141423	0.015722	0.0230487	0.0633876	0.135355	0.13997	0.155568	0.187744	0.265063
a44	0.0104345	0.0112812	0.0163445	0.0480876	0.107189	0.131926	0.17107	0.211447	0.29222
a93	0.00830456	0.00764599	0.00955209	0.0260704	0.0667385	0.0996135	0.160872	0.25436	0.366842
a13	0.00588601	0.00540239	0.00658667	0.0175522	0.0460118	0.0751093	0.137617	0.271864	0.433971
a9	0.00452557	0.00379955	0.00401524	0.00882259	0.0206006	0.0364938	0.0864261	0.265386	0.569931
a99	0.00907256	0.00686657	0.00680905	0.0126946	0.0254891	0.0388481	0.085259	0.243012	0.571949
a87	0.0625959	0.0407407	0.0399937	0.0532365	0.0690112	0.0758147	0.117223	0.198752	0.342633
a23	0.270442	0.117946	0.0810336	0.0713819	0.065175	0.065335	0.0825768	0.101249	0.144861
a87	0.0871447	0.039031	0.0349314	0.046934	0.0623443	0.0687056	0.123162	0.217585	0.320163
</S>	0.024876	0.0196532	0.0263646	0.047973	0.0698532	0.0792757	0.124692	0.233888	0.373424
