 	les	enfants	sont	en	train	de	cueillir	les	mangues	</S>
a66	0.354464	0.166058	0.116138	0.0958484	0.0802345	0.0614277	0.0510534	0.0339074	0.0251298	0.0157389
a10	0.260679	0.13618	0.103467	0.093229	0.0873094	0.0830614	0.0771768	0.0581288	0.0580023	0.0427662
a38	0.149308	0.103921	0.0891881	0.088984	0.123766	0.110735	0.129468	0.0817094	0.0679623	0.0549578
a98	0.21419	0.147164	0.125446	0.106393	0.12386	0.088265	0.0776125	0.0512154	0.0420027	0.0238522
a85	0.193852	0.155918	0.126344	0.0978737	0.0857277	0.0715114	0.0846588	0.0653577	0.0675891	0.0511675
a47	0.170743	0.181618	0.181227	0.151749	0.0997075	0.0620565	0.0465861	0.0389222	0.0369313	0.0304595
a79	0.189589	0.212081	0.207443	0.159262	0.0805792	0.0453544	0.0336427	0.0267367	0.024712	0.0206002
a98	0.203726	0.220388	0.194613	0.148188	0.0740214	0.0452236	0.0340996	0.0273694	0.0241853	0.028186
a47	0.19639	0.229763	0.192489	0.14287	0.0732335	0.0506327	0.0354124	0.0275898	0.0239685	0.0276502
a36	0.123134	0.152989	0.154516	0.143088	0.0857884	0.0864804	0.0773433	0.0590446	0.0559822	0.0616344
a56	0.086424	0.100009	0.131186	0.15135	0.113118	0.108175	0.09301	0.0639866	0.0665822	0.0861603
a43	0.123818	0.108629	0.107737	0.121837	0.108055	0.112164	0.106647	0.0720561	0.0629479	0.0761085
a75	0.0569281	0.0547101	0.0649005	0.0925376	0.10324	0.124984	0.142824	0.116289	0.106149	0.137437
a85	0.014688	0.0160281	0.0218773	0.0388107	0.0537641	0.0855508	0.128683	0.155769	0.200596	0.284233
a47	0.0143994	0.0183962	0.0266769	0.0480646	0.0643246	0.0987911	0.132055	0.146292	0.178338	0.272662
a7	0.00804232	0.0100072	0.014743	0.0271143	0.0423221	0.0723469	0.114146	0.162101	0.216017	0.33316
a98	0.00427784	0.00443705	0.00584439	0.00987363	0.0211908	0.0422893	0.0943792	0.173321	0.261288	0.383098
a47	0.00180276	0.00238158	0.00332926	0.00573291	0.0116526	0.0254159	0.0636125	0.145467	0.27596	0.464645
a37	0.00163224	0.00218236	0.00327399	0.00604819	0.012006	0.027004	0.0762112	0.156284	0.27293	0.442428
a94	0.00299945	0.00366299	0.00477529	0.00720059	0.0136795	0.0272129	0.0713917	0.140351	0.235254	0.493472
a38	0.00291275	0.00353587	0.00452149	0.00669817	0.0118126	0.0230501	0.0598824	0.126879	0.244721	0.515987
a82	0.00643259	0.00693477	0.00833802	0.011215	0.0181851	0.0359636	0.0885722	0.150087	0.253561	0.420711
a10	0.0285967	0.0236722	0.0235798	0.0277895	0.0411882	0.0673574	0.136227	0.168262	0.208803	0.274524
a97	0.0468264	0.0303799	0.0255319	0.0291834	0.0426657	0.0619913	0.114547	0.160444	0.210974	0.277456
a82	0.0464113	0.0312365	0.0257001	0.0280774	0.0374823	0.0533501	0.113101	0.171315	0.223696	0.26963
a10	0.0309108	0.0198562	0.0174021	0.0224402	0.0420061	0.0671292	0.138788	0.167797	0.216432	0.277238
a97	0.0270959	0.0208025	0.0207162	0.0276493	0.0522615	0.0781526	0.141972	0.169736	0.205545	0.256069
</S>	0.0276623	0.020504	0.0221732	0.0337397	0.0689057	0.0953896	0.15608	0.172259	0.192974	0.210312
