 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
a10	0.234982	0.138291	0.056447	0.0402062	0.0311777	0.0405799	0.0692633	0.132437	0.13198	0.124636
a87	0.125717	0.0937483	0.0669586	0.0755217	0.076381	0.101358	0.106853	0.14884	0.10509	0.0995314
a23	0.157059	0.10242	0.0824254	0.078312	0.0850036	0.108609	0.118776	0.112408	0.0786833	0.0763039
a79	0.146134	0.129269	0.112968	0.113856	0.0838045	0.0863607	0.0744992	0.0850515	0.0763067	0.0917499
a20	0.339404	0.261542	0.133229	0.0829598	0.0332352	0.0318484	0.0279728	0.0231187	0.0275408	0.0391487
a73	0.248334	0.22045	0.209688	0.146895	0.0728938	0.0411425	0.0284675	0.0130269	0.00929826	0.00980366
a44	0.165501	0.181301	0.240127	0.185708	0.101733	0.056858	0.0353735	0.0157589	0.00945417	0.0081849
a84	0.144292	0.165479	0.23572	0.193056	0.114914	0.0650171	0.0403692	0.0189714	0.0119236	0.0102568
a11	0.132894	0.131921	0.197422	0.179216	0.127111	0.0902525	0.0637602	0.0319779	0.0238462	0.0215997
a62	0.117264	0.119466	0.187917	0.183255	0.128321	0.0974359	0.0699003	0.0380931	0.0305846	0.0277628
a83	0.108713	0.0984245	0.116805	0.128235	0.143067	0.118737	0.0991939	0.0829388	0.0610625	0.0428226
a9	0.119003	0.107664	0.115741	0.131674	0.158149	0.116347	0.083122	0.0682352	0.0556878	0.0443783
a99	0.108079	0.0947572	0.0947573	0.1138	0.129585	0.116738	0.0932214	0.0893401	0.0888909	0.0708314
a87	0.107291	0.083485	0.0749583	0.0885724	0.0983488	0.107594	0.0963357	0.105298	0.125965	0.112152
a23	0.0921906	0.0803117	0.0955751	0.118766	0.112602	0.0992408	0.0988456	0.0941421	0.10422	0.104106
a62	0.0670209	0.0638217	0.0869936	0.120191	0.142854	0.121741	0.119721	0.105598	0.0874175	0.0846415
a83	0.0574677	0.0454528	0.0626834	0.0764648	0.0807387	0.0941923	0.108132	0.116094	0.165992	0.192783
a71	0.0499181	0.0433603	0.0500769	0.0561518	0.0617498	0.0786983	0.0882587	0.120062	0.207087	0.244637
a38	0.0473232	0.0387339	0.040248	0.043461	0.0432916	0.059767	0.075216	0.123146	0.230559	0.298254
a70	0.0493714	0.0389644	0.0373814	0.0381133	0.0363584	0.0465783	0.060077	0.113126	0.239229	0.340801
a98	0.0389126	0.0305277	0.031751	0.0352136	0.0334749	0.0419413	0.0553804	0.10991	0.240549	0.38234
a13	0.0243819	0.0195692	0.0186665	0.0176327	0.0172179	0.0217075	0.0321128	0.0869633	0.279309	0.482439
a9	0.0174442	0.0150324	0.0171447	0.0189621	0.0174893	0.0230544	0.034663	0.0893733	0.262147	0.50469
a3	0.011966	0.00949357	0.0113097	0.0127325	0.0118961	0.0142225	0.0246481	0.0772792	0.260429	0.566023
a97	0.00398291	0.00306833	0.00388184	0.00547473	0.00854346	0.00934887	0.0199907	0.074449	0.255518	0.615743
a83	0.00581358	0.00471007	0.00591948	0.0062753	0.00984461	0.010472	0.023475	0.0888093	0.242847	0.601834
a25	0.0158685	0.0118949	0.0125591	0.0137599	0.0138625	0.0148508	0.027432	0.0860388	0.259451	0.544282
a53	0.00406668	0.0033771	0.00421085	0.00537209	0.00578098	0.00741216	0.0172554	0.0678252	0.255478	0.629221
a90	0.00847474	0.00715445	0.00959612	0.00934207	0.00854879	0.00976734	0.018059	0.0593506	0.262197	0.60751
a98	0.00759982	0.00703628	0.00996689	0.0107048	0.0102027	0.0121776	0.021426	0.0645243	0.256301	0.60006
a9	0.00664189	0.00582095	0.00680331	0.00737691	0.00764839	0.00777313	0.013116	0.0446556	0.21804	0.682123
a38	0.00179959	0.00183487	0.00272248	0.00433916	0.00600738	0.00688312	0.0133942	0.0523201	0.223119	0.68758
a90	0.0038287	0.00361731	0.00464106	0.00664187	0.00867558	0.00970588	0.0182512	0.0646336	0.22737	0.652635
a20	0.007257	0.00639038	0.00689242	0.00782971	0.00858783	0.0087128	0.0150985	0.0508679	0.221125	0.667239
a44	0.00854518	0.00795233	0.00731103	0.0085206	0.0086987	0.00975631	0.0161986	0.0529591	0.211931	0.668127
a57	0.00609373	0.00521535	0.00502984	0.00598326	0.00684497	0.00815552	0.0149778	0.0552078	0.22512	0.667372
a87	0.00897034	0.00867852	0.00909585	0.0111294	0.0147801	0.0166148	0.0294112	0.0886644	0.240234	0.572421
</S>	0.0132458	0.0133281	0.016018	0.0205269	0.0262745	0.0268164	0.0440604	0.108799	0.237305	0.493626
