 	il	se	fit	blâmer	par	son	chef	</S>
a85	0.416319	0.267487	0.112978	0.0628653	0.0365815	0.0383414	0.0329308	0.0324972
a87	0.419711	0.164622	0.0834953	0.068652	0.0525993	0.0593557	0.064785	0.0867794
a23	0.191043	0.123618	0.1468	0.135952	0.102015	0.0954677	0.0932183	0.111886
a79	0.264996	0.124397	0.113776	0.0990063	0.0812972	0.0798472	0.09618	0.1405
a4	0.436664	0.219821	0.0777877	0.0386196	0.0334853	0.0360126	0.0544203	0.103189
a57	0.279258	0.243251	0.128108	0.101318	0.0804963	0.0554847	0.049515	0.0625683
a82	0.136208	0.160655	0.130209	0.139879	0.138611	0.0985522	0.0925008	0.103385
a53	0.0511307	0.0593893	0.088787	0.0888534	0.110469	0.122276	0.18174	0.297354
a4	0.0710786	0.0918995	0.0970141	0.100256	0.115975	0.118161	0.160999	0.244617
a38	0.0858016	0.111366	0.0969811	0.113631	0.136254	0.131475	0.144988	0.179503
a75	0.0986907	0.127807	0.124468	0.120943	0.142267	0.131327	0.124394	0.130104
a73	0.0782144	0.108194	0.130348	0.126156	0.156511	0.142291	0.13072	0.127567
a94	0.0787742	0.0971135	0.127099	0.135659	0.164456	0.145344	0.129547	0.122008
a38	0.0556216	0.0671394	0.10035	0.124008	0.166553	0.16539	0.16367	0.157269
a73	0.0486352	0.0564133	0.0780438	0.111654	0.158001	0.169905	0.191412	0.185935
a94	0.0686144	0.0682417	0.0702559	0.0954513	0.141495	0.16842	0.195121	0.1924
a73	0.0421223	0.0439817	0.0519153	0.0741133	0.122395	0.169273	0.244118	0.252081
a76	0.0390267	0.0298672	0.0299799	0.0449356	0.0871741	0.151609	0.28131	0.336098
a20	0.0450121	0.0327182	0.0277721	0.0368598	0.0740895	0.149983	0.280076	0.353489
a84	0.034866	0.0273466	0.0282709	0.0344425	0.0640232	0.131759	0.279512	0.39978
a87	0.00755198	0.00579844	0.00969783	0.0138635	0.0293332	0.0743683	0.256989	0.602398
</S>	0.0153606	0.0098113	0.0115725	0.0196096	0.0361156	0.100686	0.26626	0.540585
