 	c'	est	encore	toi	qui	te	plaint	</S>
a66	0.25858	0.254683	0.168293	0.133408	0.0791057	0.0565196	0.0289045	0.0205072
a87	0.17349	0.19184	0.172443	0.17517	0.141621	0.0928269	0.0326115	0.0199981
a23	0.34148	0.259746	0.160727	0.0997411	0.0598642	0.0356796	0.0245883	0.0181742
a79	0.28047	0.247513	0.170637	0.128957	0.0867591	0.0332392	0.0249435	0.0274807
a20	0.214143	0.207052	0.187838	0.152271	0.0954851	0.0732848	0.0403972	0.0295288
a94	0.169616	0.182214	0.171571	0.136439	0.0905729	0.114567	0.0801732	0.0548468
a41	0.168278	0.211494	0.219948	0.1423	0.0734679	0.0730958	0.0607252	0.0506902
a5	0.11353	0.141441	0.16134	0.150126	0.113959	0.146768	0.0950211	0.0778147
a85	0.162376	0.16822	0.175606	0.144927	0.101935	0.109245	0.0774553	0.0602358
a47	0.0739776	0.0845522	0.109788	0.125761	0.108347	0.144817	0.154339	0.198419
a54	0.0566233	0.0645519	0.0781277	0.0896915	0.0901072	0.12531	0.197079	0.29851
a98	0.0350589	0.0394163	0.0534806	0.0694246	0.0869977	0.156085	0.238079	0.321457
a85	0.0206884	0.0264652	0.0405998	0.0563598	0.0858886	0.160796	0.252397	0.356805
a6	0.00651397	0.00711906	0.00988727	0.013227	0.0251708	0.0896575	0.321314	0.52711
a85	0.00307116	0.00310688	0.0046699	0.00678776	0.0175756	0.0624581	0.297603	0.604728
a6	0.00351201	0.00378822	0.00506174	0.00652879	0.0133818	0.059681	0.326817	0.58123
a37	0.00182251	0.00173443	0.0024181	0.00314137	0.00870165	0.032431	0.243896	0.705855
a36	0.00733081	0.00515394	0.00406992	0.00392728	0.00714876	0.0264273	0.175241	0.770702
a26	0.00967778	0.00678282	0.00543687	0.00576867	0.0125297	0.0389306	0.166336	0.754537
a82	0.0325964	0.0194416	0.0120605	0.0143289	0.0259254	0.0625053	0.196681	0.636461
a97	0.231577	0.152936	0.106268	0.0961299	0.0838745	0.0549319	0.065269	0.209014
a87	0.269958	0.191232	0.145	0.126763	0.109927	0.0586514	0.0378074	0.0606605
a23	0.273545	0.192884	0.133259	0.102004	0.0879129	0.0632825	0.054749	0.0923625
a87	0.144279	0.104041	0.0737358	0.0691094	0.0651976	0.0595443	0.136325	0.347768
a23	0.0890061	0.0563168	0.0421279	0.0317444	0.0337998	0.052241	0.203011	0.491753
a87	0.0766018	0.0601483	0.0579134	0.0583153	0.0656959	0.0870137	0.21257	0.381742
a23	0.090568	0.0717383	0.0688451	0.0582662	0.0645511	0.0825414	0.197196	0.366294
a87	0.104497	0.0926647	0.094933	0.0858376	0.0907106	0.0964846	0.168095	0.266778
</S>	0.101759	0.0836488	0.0726202	0.0591361	0.0695371	0.0824888	0.175926	0.354885
