 	la	plaie	de	mvounga	s'	est	déjà	cicatrisée	</S>
a66	0.227936	0.245364	0.207392	0.132039	0.0862068	0.0561403	0.0235976	0.0143759	0.006949
a87	0.36134	0.225772	0.118422	0.106972	0.0647928	0.0428111	0.0369561	0.0274626	0.0154717
a97	0.145105	0.123663	0.135834	0.16421	0.149565	0.123197	0.082464	0.041718	0.0342447
a38	0.161147	0.150796	0.162996	0.164905	0.144718	0.102242	0.0597987	0.0279262	0.0254707
a53	0.178644	0.191268	0.213236	0.184454	0.116682	0.066817	0.0286695	0.0129101	0.00732013
a93	0.179873	0.16921	0.211739	0.250485	0.125907	0.0456821	0.0122679	0.00364363	0.00119307
a96	0.167182	0.164088	0.200859	0.236367	0.152784	0.059491	0.0153965	0.00284871	0.000984147
a98	0.127833	0.124318	0.14967	0.281082	0.190273	0.0883817	0.0321168	0.00473363	0.00159256
a15	0.0876122	0.0964631	0.135189	0.316482	0.210243	0.0989344	0.039602	0.0101808	0.00529366
a7	0.0986398	0.121378	0.150147	0.279354	0.178908	0.0930371	0.0478308	0.019066	0.0116392
a44	0.0786277	0.0904744	0.112701	0.262592	0.181928	0.105264	0.0851998	0.0501582	0.0330544
a56	0.07395	0.0922265	0.114823	0.20033	0.148471	0.0922037	0.110631	0.103939	0.0634249
a75	0.0659222	0.0835868	0.0875299	0.126066	0.109617	0.0936918	0.14207	0.174518	0.116998
a21	0.0452427	0.0676099	0.0719573	0.0991196	0.0895722	0.107757	0.177172	0.198779	0.142791
a12	0.0255409	0.0367405	0.0416319	0.0539418	0.0466247	0.0675979	0.14085	0.274934	0.312138
a96	0.0095774	0.0156316	0.0173969	0.0196409	0.022939	0.0624897	0.141825	0.292164	0.418335
a62	0.00294966	0.00448624	0.00532416	0.00678625	0.00896915	0.0353692	0.106736	0.295624	0.533755
a0	0.00158806	0.00199759	0.00226896	0.00379153	0.0053929	0.0207927	0.0619109	0.248994	0.653263
a90	0.000825638	0.00112329	0.0012522	0.00270344	0.00364253	0.013314	0.0366198	0.192082	0.748437
a93	0.000159467	0.000259064	0.000302709	0.000724043	0.0010977	0.00636462	0.0246109	0.148539	0.817943
a94	0.000199807	0.000307724	0.000319269	0.000823473	0.00123909	0.00609256	0.0211383	0.135504	0.834376
a44	0.000314626	0.000487321	0.000455271	0.00110721	0.00164477	0.00701791	0.027614	0.167842	0.793517
a26	0.000319485	0.000482102	0.000428993	0.00108689	0.00164404	0.00726004	0.0266623	0.140743	0.821373
a3	0.0168754	0.0183357	0.015091	0.0239767	0.0299344	0.0577345	0.0953491	0.189401	0.553302
a97	0.144954	0.119107	0.0894491	0.0821648	0.0934448	0.105803	0.107503	0.112865	0.144709
a99	0.081087	0.0711901	0.0520414	0.0530727	0.0559188	0.0694186	0.0957306	0.187596	0.333944
a97	0.00786583	0.0061021	0.00456991	0.00437078	0.00511951	0.00982054	0.0305294	0.20526	0.726362
a99	0.00270083	0.00223673	0.00179088	0.00200929	0.00235014	0.00663628	0.0253216	0.173723	0.783231
a97	0.00182874	0.0017466	0.001412	0.00251911	0.00310585	0.011316	0.0367853	0.143952	0.797335
</S>	0.00238051	0.00261434	0.00200781	0.00246799	0.00329318	0.0105984	0.0351932	0.145848	0.795596
