 	cette	année	les	régimes	de	bananes	sont	gros	</S>
a23	0.237221	0.126117	0.114793	0.125743	0.135549	0.0966007	0.064379	0.0508688	0.0487295
a35	0.461656	0.170385	0.090509	0.0789032	0.0544608	0.0335214	0.0309236	0.03424	0.0454012
a94	0.437596	0.173525	0.108553	0.0600352	0.0360961	0.0320137	0.0394112	0.0469946	0.0657755
a56	0.461907	0.168195	0.160756	0.0818303	0.0422541	0.0284442	0.0203679	0.0183431	0.0179022
a35	0.458313	0.216152	0.162288	0.067812	0.026351	0.0171369	0.0146232	0.0164036	0.0209201
a14	0.316776	0.202287	0.210291	0.1083	0.049813	0.0307818	0.0257049	0.0255118	0.0305344
a73	0.196182	0.253868	0.232421	0.136534	0.0680758	0.0371533	0.0271499	0.0227837	0.0258327
a76	0.12117	0.241982	0.235207	0.142702	0.0681854	0.0394655	0.0397945	0.0453556	0.0661378
a41	0.060953	0.163851	0.197465	0.165153	0.109365	0.0764309	0.0734886	0.0704638	0.0828296
a20	0.103719	0.21292	0.208477	0.151342	0.0957915	0.058978	0.0506302	0.051825	0.0663174
a84	0.0705641	0.15088	0.186653	0.188662	0.127312	0.0761835	0.0617086	0.0628883	0.0751487
a40	0.0707655	0.108052	0.161472	0.181428	0.117813	0.0655474	0.0616085	0.0842592	0.149054
a41	0.064162	0.106281	0.128698	0.151062	0.118908	0.0918535	0.0979593	0.107072	0.134005
a26	0.0630094	0.0915836	0.125976	0.159699	0.156608	0.125521	0.100632	0.086058	0.0909117
a82	0.0727492	0.0713796	0.0998035	0.136459	0.133177	0.105957	0.097379	0.111268	0.171827
a38	0.0523645	0.0448784	0.0797836	0.127574	0.130199	0.106156	0.113687	0.139144	0.206214
a25	0.0539542	0.0546166	0.0968493	0.143298	0.136391	0.116722	0.122357	0.122797	0.153014
a76	0.0366484	0.0401231	0.0729748	0.111269	0.115571	0.112294	0.142453	0.167646	0.20102
a41	0.0323864	0.029676	0.0415032	0.064781	0.0905343	0.114698	0.170554	0.211537	0.24433
a44	0.0285467	0.0219442	0.0317825	0.0515665	0.0824973	0.111368	0.174546	0.233151	0.264598
a75	0.0283505	0.0159783	0.019228	0.0259648	0.0369717	0.0559179	0.120707	0.252868	0.444013
a41	0.0559145	0.0272383	0.0269368	0.0331073	0.0513899	0.0785105	0.147795	0.242363	0.336745
a35	0.029923	0.0125874	0.0137417	0.0192041	0.0348686	0.0585464	0.13128	0.269972	0.429877
a41	0.0423163	0.0171384	0.017133	0.0223122	0.038698	0.062015	0.132088	0.260989	0.40731
a96	0.0423874	0.0180445	0.0171632	0.0207714	0.0380238	0.0646083	0.140415	0.278057	0.380529
a61	0.0463743	0.0185427	0.0160162	0.0187005	0.0258273	0.0384175	0.0901359	0.235597	0.510389
a12	0.0484093	0.0175484	0.0151526	0.0165663	0.0219641	0.032603	0.0823936	0.233807	0.531555
a18	0.0358313	0.0145054	0.0131549	0.0150824	0.0218751	0.0341596	0.0875397	0.24488	0.532972
a82	0.0585699	0.0277268	0.0228063	0.0235269	0.0271191	0.0352686	0.0844355	0.215635	0.504912
a87	0.0222659	0.0172828	0.0125105	0.0107501	0.0170234	0.0286705	0.0852808	0.212786	0.59343
</S>	0.00827228	0.00810923	0.00679068	0.00709208	0.0169074	0.037508	0.105539	0.247166	0.562615
