 	la	co-épouse	de	ma	mère	m'	a	adressé	une	mauvaise	parole	</S>
a87	0.192259	0.102289	0.0799312	0.0923889	0.0887633	0.110649	0.0887722	0.102677	0.0662998	0.0439343	0.0183035	0.0137315
a10	0.259468	0.0685796	0.0508223	0.0494289	0.0499173	0.059275	0.074801	0.0759229	0.113995	0.0908265	0.041468	0.0654957
a38	0.168988	0.0852711	0.080218	0.0879863	0.0858498	0.0884069	0.069293	0.0644469	0.0685011	0.0804495	0.0568287	0.0637603
a83	0.156955	0.115061	0.102895	0.0754075	0.056731	0.05505	0.04548	0.0447431	0.0569029	0.0761048	0.0929113	0.121758
a70	0.241873	0.202444	0.167825	0.108572	0.0637415	0.0417488	0.0331433	0.0204097	0.0227035	0.0226171	0.0335927	0.0413293
a54	0.347518	0.250646	0.160555	0.0705896	0.0399459	0.0278366	0.019511	0.0148256	0.0146332	0.0161328	0.0188714	0.0189354
a47	0.222177	0.165897	0.13559	0.0885665	0.0686502	0.0539518	0.0447568	0.0319911	0.0305832	0.0437935	0.0549931	0.0590498
a41	0.191293	0.170793	0.16102	0.112739	0.0836303	0.0635008	0.046529	0.0323292	0.0273394	0.0314266	0.0381454	0.0412542
a85	0.143337	0.152892	0.172851	0.148587	0.117423	0.0849393	0.0506214	0.0308574	0.0248394	0.0265556	0.0247926	0.0223048
a94	0.123918	0.151075	0.182746	0.169465	0.125542	0.0912656	0.0562345	0.0340227	0.0185136	0.0164143	0.0153331	0.0154707
a90	0.0656778	0.0880931	0.145316	0.205189	0.195668	0.13867	0.0706791	0.0262622	0.0170978	0.016505	0.0154658	0.0153759
a98	0.0577237	0.0821674	0.134199	0.200083	0.201205	0.146944	0.0805573	0.0280654	0.0168275	0.0162261	0.0172089	0.0187927
a44	0.0523805	0.0671616	0.0991262	0.170123	0.170421	0.131694	0.0875142	0.0624251	0.0370764	0.0395678	0.0394894	0.0430207
a11	0.0377589	0.0492416	0.0749386	0.15347	0.211569	0.182267	0.113821	0.0534479	0.0291097	0.028423	0.0292589	0.0366944
a75	0.0206069	0.0276865	0.0446137	0.107158	0.186769	0.200178	0.151856	0.0721045	0.0363619	0.0367088	0.0464436	0.0695132
a5	0.0290661	0.0351566	0.0468755	0.0813924	0.128469	0.126565	0.0998256	0.0813649	0.0599963	0.0789926	0.100033	0.132264
a27	0.0279763	0.0342898	0.0450528	0.0620964	0.0826261	0.100266	0.106914	0.115959	0.0808913	0.0978537	0.105589	0.140486
a11	0.00759251	0.0081898	0.0129378	0.0306665	0.070812	0.117144	0.135	0.106497	0.0702358	0.100935	0.13496	0.20503
a47	0.0119717	0.0120174	0.0150033	0.0267256	0.0563713	0.0887513	0.113249	0.114804	0.0717086	0.0975359	0.129569	0.262293
a62	0.0125092	0.0160145	0.0221628	0.0438354	0.0853919	0.112099	0.127626	0.128449	0.0984214	0.109983	0.095135	0.148372
a75	0.00776677	0.00889264	0.0114959	0.0193968	0.0348056	0.0541338	0.0731369	0.100082	0.08198	0.141001	0.197242	0.270067
a85	0.00932984	0.0113946	0.0178316	0.028816	0.046626	0.0502449	0.053227	0.061717	0.0823717	0.16579	0.204388	0.268264
