 	je	l'	ai	attendu	un	bout	de	temps	</S>
a23	0.18002	0.14532	0.125498	0.118882	0.120795	0.11415	0.0865259	0.0611757	0.0476341
a87	0.26904	0.178044	0.154343	0.121016	0.109025	0.0776991	0.0397659	0.0292763	0.0217915
a23	0.220779	0.18	0.184303	0.140372	0.0904968	0.0589234	0.0363909	0.0392419	0.0494918
a38	0.2062	0.21735	0.24665	0.175712	0.0814388	0.0284943	0.0121149	0.0144364	0.0176033
a26	0.265203	0.235955	0.21652	0.153129	0.0819532	0.030117	0.0078255	0.00464747	0.00465004
a24	0.203881	0.211738	0.240953	0.171179	0.102919	0.0428908	0.0118318	0.00761444	0.00699413
a25	0.213917	0.223654	0.239363	0.167326	0.0846064	0.0363891	0.0146074	0.0106477	0.00948883
a38	0.165928	0.193018	0.211484	0.184258	0.122456	0.0643921	0.0256598	0.0177802	0.0150238
a94	0.175239	0.184183	0.179194	0.172414	0.129932	0.0760836	0.035103	0.0262709	0.0215812
a24	0.162672	0.159503	0.144093	0.151901	0.139008	0.103338	0.0593866	0.0450491	0.0350501
a94	0.153018	0.148542	0.127338	0.123289	0.110948	0.0918302	0.078238	0.0876496	0.0791468
a76	0.0941659	0.114173	0.1145	0.139235	0.142967	0.11884	0.0975261	0.0992734	0.0793192
a25	0.104729	0.113764	0.104012	0.135856	0.146144	0.126496	0.116548	0.090331	0.0621184
a94	0.0352777	0.03995	0.0420955	0.0760137	0.110378	0.129359	0.192701	0.216135	0.15809
a32	0.0226802	0.0306177	0.0361106	0.061642	0.0955844	0.11403	0.184415	0.24268	0.21224
a26	0.0154104	0.0187334	0.0206247	0.0355052	0.0622386	0.0925302	0.185595	0.28776	0.281603
a43	0.0179536	0.0232445	0.0255521	0.0433262	0.0781047	0.110784	0.177593	0.249061	0.27438
a24	0.00955948	0.0123149	0.0144142	0.0226223	0.0394734	0.06701	0.156075	0.284512	0.394018
a26	0.00867169	0.0116236	0.0137421	0.019732	0.0335283	0.0561036	0.149945	0.309903	0.396751
a24	0.0101002	0.0133867	0.0170121	0.0264622	0.0416566	0.0580026	0.126468	0.263823	0.443088
a25	0.00938889	0.0116162	0.01348	0.0182671	0.0258257	0.0417747	0.117313	0.280098	0.482237
a87	0.00928984	0.00854153	0.00808468	0.0112369	0.0172873	0.0328722	0.113321	0.306667	0.4927
a23	0.01559	0.0101921	0.00831344	0.0111076	0.0219528	0.0519047	0.145812	0.309468	0.425659
a87	0.0481562	0.034032	0.0285038	0.03377	0.048071	0.0788549	0.166986	0.291414	0.270212
</S>	0.0252075	0.0204949	0.0181012	0.0209603	0.034178	0.0603887	0.139384	0.3175	0.363786
