 	le	toit	de	ce	hangar	est	incliné	</S>
a66	0.416655	0.353218	0.116635	0.0267725	0.018394	0.0236222	0.0216511	0.0230524
a87	0.54607	0.341537	0.0817243	0.0137839	0.00914267	0.00257258	0.00245788	0.00271212
a23	0.632762	0.233454	0.0559217	0.0164546	0.0168912	0.0140219	0.0145995	0.0158951
a40	0.401219	0.236362	0.0666423	0.0317645	0.0447049	0.0373376	0.062767	0.119202
a36	0.564543	0.263011	0.0800051	0.0172087	0.0153961	0.012123	0.0199827	0.0277298
a5	0.315031	0.26239	0.239595	0.0897702	0.0410779	0.0153357	0.0188573	0.0179428
a18	0.18216	0.220633	0.278505	0.187787	0.0820864	0.0190288	0.0168399	0.01296
a88	0.0602007	0.0746543	0.125373	0.2224	0.210309	0.125174	0.109125	0.0727637
a62	0.0174387	0.019803	0.0400442	0.117382	0.18886	0.225603	0.225593	0.165275
a96	0.00906735	0.0107781	0.0112966	0.0444573	0.144185	0.242105	0.285143	0.252967
a90	0.00241328	0.00254099	0.00327833	0.0169424	0.0707126	0.216676	0.334113	0.353324
a69	0.000780013	0.000762958	0.00155599	0.0100943	0.0469649	0.184867	0.324515	0.43046
a53	0.000375992	0.000385041	0.00105022	0.00787023	0.0335285	0.138382	0.319215	0.499193
a94	0.000290234	0.00030189	0.0010094	0.00526187	0.0192127	0.092186	0.292646	0.589092
a57	0.000702146	0.000639317	0.00164645	0.00561299	0.0177557	0.0889325	0.276421	0.60829
a82	0.0485225	0.0211991	0.0122861	0.0168325	0.0367697	0.102307	0.285828	0.476255
a87	0.326657	0.150432	0.0457083	0.0382783	0.0464654	0.0742489	0.138155	0.180056
a23	0.338557	0.264418	0.122273	0.0712126	0.0544044	0.0456513	0.0512541	0.0522298
a87	0.0440006	0.039003	0.0336632	0.043883	0.0923084	0.194526	0.294756	0.257859
</S>	0.00591437	0.00433801	0.0048371	0.0148996	0.0451499	0.173727	0.380906	0.370228
