 	les	ananas	qu'	il	vend	sont	restés	seuls	</S>
a23	0.216457	0.163161	0.240522	0.153873	0.119641	0.0696291	0.0180574	0.0108306	0.00782871
a83	0.23359	0.173488	0.224734	0.125367	0.0977056	0.0575927	0.0301742	0.0323151	0.0250331
a9	0.290456	0.200622	0.121784	0.0536982	0.0415611	0.0381466	0.0565464	0.0928774	0.104309
a38	0.247624	0.181817	0.15851	0.116097	0.0908908	0.060778	0.0361914	0.0479428	0.0601491
a93	0.383621	0.227291	0.124684	0.0835832	0.048168	0.0286206	0.0238025	0.0353628	0.0448672
a13	0.429488	0.246813	0.133273	0.0750443	0.0352871	0.0184944	0.0165875	0.0194061	0.0256059
a62	0.308758	0.238053	0.16939	0.107406	0.0556227	0.0320322	0.0246555	0.0274763	0.0366048
a31	0.284458	0.242017	0.176969	0.114514	0.0650179	0.03709	0.0255267	0.0237532	0.0306542
a24	0.194282	0.189318	0.187575	0.160126	0.11065	0.0626113	0.0334012	0.0281169	0.0339186
a9	0.135028	0.137249	0.165678	0.151459	0.131645	0.0864628	0.0602534	0.0577541	0.0744704
a38	0.0572478	0.0681432	0.104512	0.110321	0.130435	0.128107	0.11315	0.117082	0.171003
a62	0.06439	0.0757403	0.179189	0.194179	0.16572	0.0927579	0.0661003	0.0647821	0.0971412
a21	0.106077	0.120703	0.179006	0.176677	0.147644	0.102316	0.0577642	0.0471627	0.0626505
a92	0.12004	0.115708	0.184748	0.155409	0.124749	0.106473	0.0832121	0.056709	0.0529524
a93	0.0551039	0.0498528	0.108232	0.140866	0.138797	0.132131	0.136085	0.11056	0.128372
a62	0.037245	0.0400553	0.111422	0.168756	0.185506	0.172048	0.123786	0.0766237	0.0845591
a70	0.0384957	0.0355635	0.0946396	0.164511	0.176814	0.17218	0.150141	0.0867249	0.0809301
a11	0.0278212	0.0229432	0.0639002	0.133672	0.165911	0.180215	0.184175	0.116907	0.104456
a70	0.0158645	0.0129138	0.0356717	0.0958408	0.145416	0.183316	0.216914	0.152996	0.141066
a83	0.0143296	0.0104147	0.029198	0.0777199	0.121353	0.160939	0.247669	0.182135	0.156243
a13	0.00896209	0.00616809	0.0163539	0.0477361	0.0896427	0.139991	0.252162	0.236199	0.202786
a62	0.00566128	0.0036192	0.00837994	0.0272418	0.0614528	0.115225	0.257552	0.270015	0.250853
a21	0.0115468	0.00658065	0.0146923	0.0341908	0.0560533	0.0886817	0.275241	0.27848	0.234534
a92	0.0176249	0.00906379	0.0159683	0.0281064	0.0467538	0.0740068	0.227954	0.27952	0.301002
a34	0.00538933	0.0028004	0.00574539	0.0113094	0.0238137	0.0477451	0.181196	0.306147	0.415854
a75	0.00289055	0.00166315	0.00347543	0.00858407	0.0180458	0.0353653	0.148978	0.311102	0.469896
a21	0.00301157	0.00186421	0.00365581	0.0080357	0.0179187	0.0398906	0.132798	0.273729	0.519096
a62	0.00747167	0.0047285	0.0102137	0.0225094	0.0484386	0.0766175	0.167005	0.302335	0.36068
a96	0.00195701	0.00117831	0.00222698	0.00538348	0.0128248	0.0308131	0.14197	0.282649	0.520997
a18	0.000698539	0.000464265	0.00116422	0.00349094	0.00857312	0.0198425	0.0877854	0.242316	0.635665
a9	0.000312351	0.000252682	0.000828315	0.00263272	0.00865254	0.0246383	0.0868255	0.272356	0.603502
a10	0.00234124	0.00141266	0.0021894	0.00595106	0.0175626	0.0500639	0.179888	0.283315	0.457275
a97	0.0222417	0.0121717	0.0119295	0.0185442	0.041166	0.0854657	0.181154	0.285046	0.342281
a87	0.042103	0.0265925	0.03043	0.0414162	0.0761066	0.118524	0.144116	0.243244	0.277467
a23	0.0385136	0.023001	0.0291905	0.0414224	0.0778151	0.126314	0.141799	0.238024	0.28392
a87	0.0305596	0.0130328	0.00978857	0.017002	0.0269158	0.0434656	0.0879557	0.25981	0.51147
</S>	0.0120599	0.00591658	0.00599816	0.00950283	0.0138318	0.0266166	0.0651709	0.205828	0.655076
