 	qui	est	le	caissier	de	cette	association	</S>
a66	0.345452	0.244512	0.198866	0.113743	0.0390028	0.0244265	0.0178959	0.0161013
a87	0.412193	0.244418	0.138307	0.0578976	0.029873	0.0323871	0.0410027	0.0439211
a23	0.474724	0.27092	0.124968	0.0347317	0.0178397	0.0185187	0.0256015	0.0326966
a79	0.399892	0.237103	0.121241	0.0251466	0.0217351	0.0415923	0.0672236	0.0860664
a69	0.36004	0.176696	0.112163	0.0761572	0.0552358	0.0702067	0.0837027	0.0657975
a58	0.352525	0.30163	0.179133	0.0738616	0.028276	0.0248389	0.0224315	0.0173031
a54	0.271013	0.303898	0.246248	0.0917451	0.0297693	0.0222134	0.0186945	0.0164178
a85	0.152634	0.163562	0.155626	0.227797	0.125527	0.0769302	0.0558426	0.0420815
a47	0.151009	0.183693	0.178522	0.235279	0.112303	0.0633254	0.0430098	0.0328581
a15	0.110591	0.153605	0.173562	0.307875	0.101647	0.0575232	0.0466009	0.0485963
a25	0.0921137	0.124979	0.155398	0.306085	0.13012	0.0737256	0.057831	0.0597476
a79	0.0790517	0.101177	0.135023	0.35099	0.1419	0.0717152	0.0557288	0.0644146
a15	0.107919	0.134934	0.173886	0.289013	0.106131	0.0601815	0.0575435	0.0703925
a85	0.0497534	0.0722297	0.125959	0.29542	0.151542	0.102596	0.0941311	0.108369
a6	0.0430808	0.0615936	0.120475	0.263368	0.164198	0.129048	0.114289	0.103947
a43	0.0453397	0.0582361	0.127922	0.282871	0.164286	0.112097	0.0953131	0.113935
a21	0.0233177	0.023431	0.0460903	0.146989	0.216181	0.169967	0.152975	0.22105
a61	0.0129134	0.0121906	0.0183226	0.0666244	0.162964	0.202533	0.229439	0.295012
a18	0.00954516	0.00928168	0.0138899	0.0527604	0.135694	0.188996	0.257128	0.332704
a94	0.00779031	0.00720062	0.00985145	0.0312315	0.0667973	0.113908	0.244684	0.518536
a56	0.00750547	0.00726202	0.011396	0.0416286	0.0910622	0.146111	0.24716	0.447875
a24	0.00336091	0.00304909	0.00511947	0.0255125	0.0667461	0.116939	0.250379	0.528894
a31	0.00139375	0.00131715	0.00180427	0.0101821	0.0263679	0.0699316	0.232778	0.656225
a21	0.00125535	0.00125362	0.00168429	0.00924721	0.0253006	0.0701322	0.243209	0.647917
a47	0.00073257	0.000780385	0.00130496	0.00823427	0.0232435	0.0697301	0.243685	0.652289
a96	0.000819665	0.000867944	0.00146341	0.00851479	0.0266877	0.0849832	0.270749	0.605914
a75	0.000814367	0.000806719	0.00133099	0.00887102	0.0303953	0.0814816	0.249905	0.626395
a0	0.000357021	0.000320058	0.000528622	0.00477638	0.016833	0.0547532	0.228874	0.693558
a27	0.000754888	0.000596144	0.000915731	0.00814429	0.0356978	0.0962098	0.265925	0.591756
a30	0.0468531	0.0295808	0.0350489	0.11867	0.18242	0.170316	0.187633	0.229477
a87	0.251819	0.122511	0.100495	0.112176	0.106985	0.100988	0.101811	0.103216
a23	0.381744	0.214977	0.143232	0.0718669	0.0483863	0.0427288	0.0445108	0.0525537
a87	0.142506	0.0666834	0.042212	0.059124	0.0932222	0.106522	0.161157	0.328572
</S>	0.0081365	0.00437967	0.00413829	0.0257461	0.0710583	0.117906	0.243798	0.524838
