 	des	sangliers	pataugent	au	bord	du	marais	</S>
a87	0.194247	0.133844	0.14749	0.157475	0.153099	0.149746	0.0471617	0.016936
a23	0.209682	0.0888026	0.139137	0.135203	0.155896	0.167557	0.0605595	0.0431632
a10	0.217764	0.141004	0.156513	0.132282	0.102435	0.110261	0.0678948	0.0718449
a87	0.202589	0.152785	0.165898	0.145266	0.106135	0.10643	0.0613095	0.0595878
a23	0.206398	0.155719	0.146559	0.127418	0.101813	0.109918	0.0842219	0.0679529
a87	0.303427	0.161319	0.134693	0.104561	0.0684431	0.0892437	0.073093	0.0652208
a40	0.211657	0.133516	0.116697	0.101754	0.0838685	0.118245	0.123756	0.110508
a36	0.514009	0.207337	0.0705327	0.056966	0.0327808	0.0351157	0.0369352	0.0463228
a26	0.414581	0.244061	0.111837	0.0871016	0.0447408	0.0373487	0.0304033	0.0299273
a10	0.347443	0.218173	0.148307	0.114441	0.0563685	0.0434751	0.0392599	0.0325326
a62	0.255182	0.202312	0.174832	0.132832	0.0704671	0.0559453	0.0590242	0.0494059
a93	0.214642	0.218793	0.186968	0.137161	0.0676672	0.053022	0.0625201	0.0592279
a70	0.167297	0.215959	0.193685	0.145397	0.073549	0.0564471	0.0685157	0.0791506
a83	0.143992	0.198409	0.204751	0.160244	0.0890989	0.0636872	0.062954	0.0768644
a13	0.121519	0.172108	0.212658	0.170792	0.113873	0.0829175	0.0601575	0.0659746
a90	0.0930578	0.141236	0.22209	0.180261	0.135571	0.0954898	0.0628092	0.0694857
a98	0.0876522	0.144928	0.234333	0.184909	0.11502	0.0863362	0.0709073	0.0759142
a47	0.070077	0.113983	0.188688	0.152608	0.110825	0.0943865	0.113137	0.156296
a7	0.06552	0.0983814	0.225712	0.172947	0.1365	0.10565	0.0785663	0.116723
a84	0.0418931	0.0508531	0.214423	0.210373	0.201003	0.143135	0.0597089	0.0786107
a11	0.0292625	0.0387346	0.18472	0.177876	0.170477	0.168249	0.110797	0.119883
a66	0.0346174	0.0365886	0.160239	0.163125	0.159518	0.173271	0.124993	0.147649
a93	0.0301382	0.0328128	0.163487	0.167803	0.172659	0.173261	0.117853	0.141986
a90	0.0352832	0.0482056	0.193444	0.162437	0.156713	0.134526	0.115346	0.154046
a37	0.0327685	0.0411063	0.11944	0.0938579	0.104874	0.104464	0.145805	0.357683
a75	0.0361759	0.0471037	0.134126	0.112336	0.136358	0.142722	0.153892	0.237286
a25	0.043437	0.0464966	0.0678119	0.0518559	0.0691135	0.0852827	0.158242	0.477761
a69	0.0488835	0.0558407	0.0732169	0.0585551	0.0833855	0.106068	0.190832	0.383218
a57	0.0361347	0.0364614	0.0782068	0.0628178	0.086202	0.113521	0.21534	0.371316
a75	0.0140739	0.0146502	0.0479891	0.0388089	0.0554889	0.0862974	0.242175	0.500517
a5	0.0386497	0.0386273	0.0655615	0.0487009	0.0633447	0.087393	0.179418	0.478305
a47	0.0368335	0.0321579	0.0614344	0.0459902	0.0547632	0.0732072	0.208283	0.487331
a96	0.0218238	0.0261136	0.0598823	0.0458623	0.060352	0.0765389	0.233919	0.475508
a75	0.011724	0.0137625	0.0375727	0.0266693	0.0394195	0.0537329	0.194249	0.62287
a85	0.0149884	0.0154158	0.0342552	0.0244555	0.0312572	0.0448892	0.179588	0.655151
a37	0.0280696	0.0291457	0.0509723	0.0421413	0.0522241	0.0639343	0.174132	0.559381
a66	0.00457107	0.00552735	0.0207643	0.0134795	0.0211365	0.0295833	0.13931	0.765628
a75	0.00203724	0.00148423	0.00530494	0.0042689	0.00829931	0.0154137	0.174094	0.789097
a6	0.00243285	0.00252713	0.00944965	0.00649622	0.0119005	0.0192763	0.130612	0.817306
a37	0.00139127	0.00145392	0.00606693	0.00432701	0.00806176	0.0136683	0.120721	0.84431
a66	0.00107491	0.000858526	0.00259162	0.00232826	0.00491522	0.0100455	0.157648	0.820538
a36	0.00547371	0.00275919	0.00518129	0.0053699	0.00965522	0.0186482	0.199255	0.753657
a26	0.0141481	0.00690323	0.0114011	0.0104565	0.0159119	0.0261403	0.206047	0.708992
a82	0.0519622	0.0287555	0.0421816	0.0343432	0.0491595	0.0836034	0.261875	0.44812
a9	0.0578532	0.0449792	0.0507853	0.0533789	0.0940149	0.14623	0.249832	0.302926
a87	0.0733723	0.0498603	0.065029	0.0721725	0.131301	0.171277	0.206775	0.230212
a23	0.0524637	0.0385636	0.0793757	0.0947432	0.158499	0.188435	0.181925	0.205995
a87	0.0511994	0.0372774	0.0519877	0.0442071	0.060944	0.0791984	0.176678	0.498508
</S>	0.0135483	0.0154628	0.0257109	0.018272	0.0249628	0.0381776	0.137118	0.726747
