 	il	m'	a	blessé	</S>
a85	0.417682	0.25813	0.126221	0.106473	0.0914933
a87	0.431923	0.236417	0.128264	0.109742	0.0936541
a23	0.437809	0.287283	0.136641	0.0747556	0.0635106
a79	0.44948	0.248955	0.108941	0.082577	0.110048
a20	0.450628	0.235251	0.119359	0.0857627	0.109
a73	0.453886	0.325697	0.135424	0.0534127	0.0315803
a37	0.423626	0.349391	0.146868	0.0513054	0.028809
a94	0.371887	0.33661	0.171198	0.0737811	0.0465243
a32	0.369261	0.305724	0.172534	0.0898786	0.0626022
a25	0.25945	0.265072	0.227879	0.150073	0.0975249
a53	0.204845	0.248361	0.245707	0.17642	0.124667
a20	0.211307	0.229047	0.243692	0.185628	0.130327
a94	0.174944	0.193676	0.236055	0.219658	0.175667
a32	0.0653433	0.0792871	0.170041	0.307993	0.377336
a76	0.0329535	0.0341549	0.0922227	0.281775	0.558894
a94	0.0198889	0.024573	0.080635	0.285056	0.589847
a20	0.0147724	0.0151817	0.0459041	0.224062	0.70008
a94	0.0196499	0.0213595	0.0590528	0.221268	0.67867
a98	0.0105537	0.0106705	0.035181	0.188338	0.755257
a73	0.016665	0.0170106	0.051929	0.223787	0.690609
a84	0.0124343	0.0119167	0.0379634	0.201007	0.736679
a57	0.0258511	0.0242823	0.0446286	0.162048	0.74319
a87	0.0388049	0.0383512	0.0566461	0.189286	0.676912
</S>	0.0288876	0.0369066	0.0768701	0.243597	0.613738
