 	le	forgeron	polit	le	manche	de	la	houe	</S>
a66	0.213116	0.131196	0.120979	0.203567	0.125485	0.104318	0.0559052	0.0264202	0.0190129
a82	0.172785	0.124429	0.165835	0.169975	0.106046	0.091944	0.0622675	0.0497362	0.0569818
a9	0.154568	0.121291	0.184941	0.153388	0.0971301	0.0852833	0.0604291	0.0595241	0.0834452
a10	0.137642	0.113731	0.186366	0.16906	0.121085	0.0953153	0.062194	0.0520036	0.0626025
a97	0.116734	0.101394	0.177701	0.164733	0.127618	0.105266	0.0722538	0.061053	0.0732473
a99	0.0896428	0.0806488	0.15473	0.17068	0.147284	0.130857	0.0887834	0.0679507	0.0694221
a97	0.120658	0.0961209	0.144	0.191465	0.127798	0.124234	0.0859059	0.0569554	0.0528631
a53	0.107704	0.0879562	0.132471	0.18371	0.135504	0.132892	0.0952665	0.0649957	0.0595015
a90	0.195424	0.141921	0.107158	0.122861	0.0778537	0.0923171	0.0963073	0.084507	0.0816496
a4	0.30578	0.207079	0.104784	0.102054	0.0547405	0.0593685	0.0629663	0.0553745	0.0478526
a13	0.322787	0.218976	0.102609	0.0934202	0.0505316	0.0540794	0.0560733	0.0516482	0.0498752
a53	0.250369	0.175276	0.0964568	0.088469	0.0594563	0.0702387	0.0818313	0.0872835	0.0906201
a93	0.257932	0.178679	0.0875476	0.0780907	0.0509712	0.0647488	0.0836497	0.0940262	0.104355
a98	0.29064	0.174041	0.0858059	0.0772443	0.0529486	0.0606537	0.0712369	0.0853584	0.102071
a85	0.243458	0.206141	0.125536	0.112458	0.0748818	0.0676839	0.0560374	0.0507772	0.0630277
a47	0.14203	0.156234	0.156891	0.133388	0.120767	0.105565	0.0714462	0.0511236	0.0625543
a36	0.0742814	0.0959193	0.108719	0.0986428	0.0874199	0.0892349	0.0959513	0.129471	0.22036
a75	0.0459438	0.0698182	0.0949019	0.0804196	0.0813613	0.0859652	0.10446	0.157418	0.279712
a5	0.0308365	0.0574771	0.105897	0.1008	0.131225	0.134487	0.122007	0.1253	0.191971
a56	0.02693	0.0482611	0.10928	0.0946773	0.147177	0.140162	0.129544	0.128685	0.175285
a18	0.0201896	0.0369768	0.0861275	0.0708222	0.132017	0.141	0.141989	0.159426	0.211453
a21	0.0103882	0.0182288	0.0388182	0.0231332	0.0446914	0.0523435	0.0799833	0.219737	0.512677
a5	0.0107453	0.0180141	0.041484	0.0305426	0.0727775	0.0847908	0.122416	0.229013	0.390217
a18	0.00954411	0.0166739	0.0333444	0.0213386	0.0476011	0.0619291	0.104023	0.225495	0.48005
a47	0.00649679	0.00926526	0.0152655	0.00909513	0.014646	0.0210879	0.0468044	0.183765	0.693574
a6	0.00775937	0.0124029	0.0234873	0.015226	0.0289389	0.0468461	0.0850575	0.204208	0.576074
a37	0.00415314	0.00712686	0.0128371	0.00823384	0.018986	0.0339	0.0734116	0.195105	0.646246
a21	0.0033253	0.00487254	0.00880517	0.00615874	0.0139268	0.02893	0.0730328	0.215644	0.645305
a5	0.00382942	0.00569613	0.00874401	0.00599776	0.0153802	0.0295225	0.0715401	0.230093	0.629196
a61	0.00472741	0.00714521	0.01054	0.0077332	0.0184652	0.0350593	0.0799843	0.227928	0.608418
a43	0.00391702	0.0054935	0.00858182	0.00633173	0.0140143	0.0288306	0.0734484	0.237072	0.622311
a21	0.0144479	0.0140391	0.0193912	0.0168431	0.0259144	0.0436535	0.094273	0.234133	0.537305
a12	0.0166387	0.0165352	0.0228814	0.0189708	0.0285171	0.0476426	0.098676	0.232486	0.517652
a88	0.00484042	0.00608589	0.00970434	0.00782835	0.014767	0.0263555	0.0669047	0.229209	0.634305
a71	0.0361862	0.0346448	0.0368985	0.0352716	0.0502339	0.0690442	0.11092	0.219425	0.407375
a9	0.0740879	0.0698132	0.0667294	0.0614404	0.0800041	0.0934807	0.113849	0.168551	0.272044
a3	0.0444028	0.0402216	0.0807563	0.093008	0.132829	0.15234	0.13494	0.13934	0.182163
a97	0.0363955	0.0303873	0.052757	0.0593835	0.0889762	0.113847	0.137425	0.192576	0.288252
</S>	0.0207639	0.0180157	0.0337172	0.0384674	0.0674054	0.0902397	0.12287	0.221702	0.386819
