 	tout	le	monde	est	mortel	</S>
a66	0.525767	0.254377	0.11994	0.0586973	0.0242674	0.0169509
a87	0.390316	0.240286	0.149736	0.0993198	0.0733301	0.0470124
a23	0.352602	0.232685	0.179277	0.121952	0.0894934	0.0239906
a40	0.243912	0.166471	0.190275	0.132577	0.19892	0.0678444
a26	0.424049	0.276811	0.179192	0.0683529	0.0365178	0.0150771
a90	0.239893	0.192239	0.238219	0.165546	0.129063	0.0350393
a56	0.265157	0.228723	0.194533	0.158792	0.105846	0.0469487
a21	0.235807	0.191868	0.168817	0.157757	0.152357	0.0933937
a37	0.124666	0.0857318	0.104325	0.152961	0.243711	0.288605
a85	0.107686	0.0656827	0.0754583	0.116274	0.2248	0.4101
a47	0.0380686	0.0265487	0.0440318	0.0933278	0.272367	0.525656
a79	0.0130331	0.0107575	0.028925	0.0703941	0.264859	0.612032
a44	0.00811091	0.00796517	0.0248278	0.0659244	0.294607	0.598564
a56	0.00818352	0.01041	0.0323723	0.0555795	0.238972	0.654483
a35	0.00855531	0.0128622	0.0394601	0.0652698	0.225302	0.648551
a18	0.00950382	0.0161088	0.0516644	0.0829962	0.219568	0.620158
a71	0.0123516	0.0205596	0.0446676	0.0640114	0.198061	0.660349
a25	0.108148	0.096821	0.134549	0.118038	0.185428	0.357016
a87	0.163298	0.125671	0.1368	0.117593	0.194559	0.26208
</S>	0.174476	0.148154	0.157891	0.133817	0.165629	0.220033
