 	c'	est	une	tête	brûlée	</S>
a23	0.463745	0.221805	0.102212	0.0696748	0.0725772	0.0699856
a87	0.396515	0.193513	0.102521	0.113408	0.0906921	0.103351
a23	0.364778	0.216354	0.123015	0.119182	0.0858589	0.0908114
a20	0.288699	0.179847	0.103454	0.131704	0.158838	0.137459
a73	0.366023	0.207878	0.138839	0.0962269	0.130081	0.0609525
a26	0.393065	0.291591	0.185756	0.0667923	0.0399616	0.0228333
a35	0.31911	0.259144	0.199233	0.103245	0.0700409	0.049228
a90	0.329549	0.26263	0.198356	0.0941947	0.065067	0.0502035
a38	0.295648	0.254367	0.212614	0.114305	0.0667458	0.0563205
a75	0.225646	0.194343	0.18668	0.155717	0.127148	0.110465
a41	0.152555	0.141551	0.160418	0.17821	0.186699	0.180566
a61	0.0701941	0.0779711	0.116454	0.181482	0.263607	0.290293
a32	0.0314127	0.0354627	0.061959	0.143288	0.290595	0.437283
a25	0.0163536	0.0169106	0.0294589	0.0900744	0.279186	0.568016
a87	0.00958845	0.0103972	0.0213133	0.0772713	0.252779	0.628651
</S>	0.00602157	0.00739866	0.0161477	0.0656727	0.256554	0.648205
