 	la	mère	fait	pisser	l'	enfant	avant	de	le	mettre	au	lit	</S>
a66	0.10424	0.131505	0.203412	0.208699	0.114401	0.0739325	0.0492634	0.043033	0.0309737	0.0154649	0.00892891	0.00806271	0.00808472
a87	0.416808	0.24568	0.141545	0.0552218	0.024864	0.0165499	0.0116374	0.0141197	0.0150049	0.0132331	0.0136579	0.0158384	0.0158406
a23	0.453326	0.264136	0.138501	0.0548596	0.0207976	0.0119191	0.00741235	0.00779583	0.00767764	0.00622642	0.00573037	0.00874635	0.0128722
a99	0.464797	0.198962	0.11317	0.0425542	0.0265207	0.0213092	0.0173768	0.0196895	0.019204	0.0160433	0.0149403	0.0190836	0.02635
a97	0.33931	0.146729	0.0973264	0.0760524	0.0530006	0.0413428	0.0397625	0.0387479	0.0362336	0.0299577	0.0281706	0.0327067	0.0406599
a99	0.262519	0.172552	0.124811	0.100061	0.062004	0.0412727	0.0378579	0.0400903	0.0407245	0.03436	0.0283181	0.027227	0.0282021
a97	0.353479	0.17567	0.113511	0.0660934	0.0410706	0.0292967	0.0277972	0.0311522	0.0350478	0.0334419	0.0300533	0.0307318	0.0326551
a99	0.325174	0.173144	0.110876	0.0815377	0.0515281	0.0345606	0.030732	0.0340213	0.0373934	0.0348688	0.0292894	0.0281053	0.02877
a97	0.329894	0.150705	0.104194	0.0792691	0.0534474	0.0378711	0.03289	0.0354883	0.0393267	0.039132	0.0330308	0.0324024	0.0323488
a87	0.359077	0.177485	0.105243	0.0641466	0.0422624	0.0304201	0.0288441	0.030976	0.0345201	0.034365	0.0305546	0.0301846	0.0319205
a97	0.423029	0.194547	0.0971315	0.0425276	0.0322882	0.0248715	0.0237708	0.0264366	0.0292762	0.0277791	0.0243167	0.0252116	0.0288138
a87	0.371311	0.181925	0.0965758	0.0573064	0.0424325	0.0302816	0.0266071	0.0283257	0.0318791	0.0328006	0.0308162	0.0328026	0.0369361
a23	0.382529	0.180127	0.088694	0.050136	0.0423532	0.0323748	0.0287794	0.0307534	0.0332416	0.0324584	0.029517	0.0317931	0.0372434
