 	la	nourriture	que	tu	as	laissée	au	feu	s'	est	entièrement	calcinée	</S>
a66	0.224263	0.142559	0.110331	0.10771	0.111131	0.0857936	0.0582913	0.0370851	0.0306975	0.0251134	0.0249364	0.025349	0.016741
a87	0.275454	0.152341	0.0954141	0.0755605	0.0659118	0.0456143	0.0476921	0.0465455	0.0449889	0.041079	0.0409133	0.0392679	0.0292177
a23	0.417928	0.21214	0.110006	0.0580344	0.0383774	0.0267836	0.0244239	0.0203667	0.0219929	0.0211441	0.0164532	0.0148335	0.0175163
a87	0.28507	0.1968	0.126685	0.0865963	0.0723438	0.0492744	0.0325762	0.0281245	0.0298904	0.0279585	0.0188539	0.019026	0.0268011
a23	0.278681	0.188163	0.122677	0.095907	0.0749791	0.0497251	0.0340305	0.0292006	0.032345	0.0320957	0.0209501	0.0194812	0.0217643
a99	0.225384	0.161828	0.116659	0.0900024	0.070801	0.059079	0.042535	0.0371598	0.0440864	0.0471541	0.0307654	0.0329486	0.0415969
a50	0.194808	0.17146	0.15084	0.106733	0.0742272	0.0439186	0.0353712	0.0289503	0.0368221	0.0462986	0.033814	0.0367248	0.0400325
a12	0.236404	0.269468	0.208337	0.107051	0.0489231	0.0206134	0.0165682	0.0114033	0.0139998	0.0187565	0.0180019	0.0154867	0.0149881
a5	0.189943	0.253828	0.201957	0.126663	0.0717636	0.0305415	0.0220886	0.0142098	0.0133962	0.0169054	0.0194274	0.0223554	0.0169214
a23	0.120607	0.175722	0.170614	0.141147	0.0979256	0.0551712	0.0421645	0.0254438	0.0215671	0.026319	0.0345174	0.0478085	0.0409933
a24	0.0658863	0.126275	0.147714	0.143007	0.105901	0.0637885	0.0571611	0.0379399	0.0296182	0.0315736	0.0443656	0.0694047	0.0773652
a31	0.0462962	0.0839163	0.108449	0.160839	0.163534	0.113622	0.0817557	0.0451071	0.0349265	0.036107	0.039859	0.043159	0.0424294
a47	0.0422111	0.0718199	0.0961531	0.146664	0.154795	0.112986	0.0942883	0.0538351	0.0400356	0.0406499	0.0462218	0.0490014	0.051339
a56	0.0210923	0.0377919	0.064984	0.124756	0.154857	0.142793	0.142205	0.0866863	0.0605829	0.0491976	0.0441813	0.0387197	0.0321535
a34	0.0214648	0.0408234	0.068488	0.132283	0.162571	0.1307	0.122684	0.0806871	0.056811	0.0468807	0.0453621	0.0453039	0.0459404
a61	0.0173132	0.0316393	0.0512256	0.107903	0.153895	0.156494	0.149249	0.0875405	0.0600009	0.0476362	0.0455733	0.0456536	0.0458766
a21	0.0131481	0.0250516	0.0389811	0.0776449	0.119157	0.166654	0.170421	0.111177	0.0761412	0.0565038	0.0525516	0.0496447	0.0429236
