 	orateur	tu	as	bien	parlé	</S>
a66	0.595033	0.158114	0.088604	0.0550617	0.0535521	0.0496357
a87	0.655181	0.141898	0.0707705	0.0463895	0.0454801	0.0402812
a23	0.611421	0.161929	0.0838174	0.0503228	0.0466124	0.0458978
a79	0.287296	0.184449	0.155942	0.134037	0.112586	0.125689
a4	0.445791	0.219064	0.131434	0.0854112	0.0594782	0.0588221
a53	0.370353	0.298443	0.167187	0.0754436	0.0470549	0.0415185
a15	0.228976	0.298372	0.219939	0.132698	0.0710972	0.0489182
a79	0.255496	0.314332	0.2048	0.111143	0.067757	0.0464709
a56	0.17496	0.260089	0.199239	0.150897	0.115334	0.0994814
a12	0.123293	0.164794	0.161842	0.190949	0.177424	0.181699
a47	0.100856	0.131017	0.139027	0.186284	0.20838	0.234436
a31	0.0738645	0.107317	0.109567	0.162584	0.239991	0.306677
a0	0.0231286	0.0443344	0.0637903	0.143538	0.300783	0.424426
a54	0.0162548	0.0398464	0.0577639	0.112652	0.27767	0.495812
a73	0.00766548	0.0262149	0.0421341	0.097595	0.260391	0.566
a2	0.00884263	0.0243727	0.0349527	0.0752656	0.218877	0.637689
a57	0.04458	0.0556063	0.0620821	0.10402	0.265351	0.46836
a87	0.189175	0.116905	0.0862793	0.106996	0.187238	0.313407
a23	0.392996	0.186268	0.114968	0.0933193	0.0970468	0.115402
a87	0.273656	0.133442	0.100295	0.102267	0.161249	0.229091
</S>	0.029203	0.0417253	0.0526557	0.0938353	0.251946	0.530635
