 	les	eaux	ont	commencé	à	baisser	</S>
a23	0.571586	0.218735	0.0802395	0.0253998	0.0243789	0.0368386	0.0428227
a93	0.454422	0.247257	0.139225	0.0567541	0.0324043	0.0337252	0.036213
a76	0.391708	0.272707	0.16729	0.0606587	0.0343106	0.0340011	0.0393243
a73	0.454372	0.259293	0.157386	0.0566799	0.0284517	0.0243795	0.019438
a94	0.393386	0.293219	0.188083	0.0672775	0.0269557	0.0173672	0.0137106
a18	0.305383	0.278102	0.206176	0.0959181	0.0491847	0.0350822	0.0301545
a88	0.247055	0.25291	0.217309	0.114767	0.0655963	0.053168	0.0491938
a94	0.208977	0.211158	0.196428	0.124593	0.0920342	0.0848702	0.081939
a76	0.160645	0.180125	0.208182	0.170816	0.10772	0.0885386	0.0839731
a73	0.174035	0.159284	0.152195	0.128968	0.127945	0.127737	0.129837
a32	0.153919	0.142669	0.142121	0.125829	0.130062	0.146036	0.159365
a90	0.106693	0.114099	0.118067	0.122539	0.14031	0.179316	0.218976
a98	0.102832	0.097854	0.0943715	0.0942529	0.133778	0.198243	0.278669
a94	0.0649418	0.0519392	0.0499578	0.0770438	0.157048	0.251437	0.347633
a20	0.0529715	0.0435371	0.0408809	0.0624506	0.146033	0.259595	0.394532
a84	0.0666143	0.0502926	0.045679	0.0669067	0.1356	0.239191	0.395717
a57	0.0347684	0.0341718	0.0390953	0.061875	0.124725	0.243183	0.462182
a87	0.0329253	0.0203129	0.0220091	0.0444683	0.113619	0.234481	0.532184
</S>	0.014341	0.00811259	0.00972098	0.0276851	0.0924009	0.254466	0.593274
