 	il	presse	l'	abcès	</S>
a23	0.560757	0.225777	0.0894347	0.0615841	0.0624471
a53	0.355274	0.217335	0.155001	0.135558	0.136832
a20	0.469991	0.239931	0.111632	0.0968229	0.0816224
a30	0.690151	0.199445	0.0579723	0.0341707	0.0182609
a14	0.540827	0.277679	0.0982958	0.0530905	0.0301072
a35	0.429342	0.301721	0.14087	0.0815748	0.0464922
a30	0.358146	0.30963	0.169106	0.102094	0.061025
a14	0.32241	0.318836	0.187927	0.106807	0.0640189
a35	0.264667	0.303732	0.204276	0.136899	0.0904259
a26	0.187518	0.264643	0.237014	0.182701	0.128124
a83	0.203349	0.256333	0.221381	0.180758	0.138179
a26	0.133674	0.202202	0.217505	0.224976	0.221642
a24	0.0967436	0.167532	0.20891	0.256466	0.270348
a25	0.0405324	0.0876892	0.162282	0.296325	0.413172
a87	0.019011	0.0469187	0.120162	0.291551	0.522357
a38	0.0129067	0.0328355	0.0924326	0.261041	0.600784
a26	0.013254	0.0355713	0.102999	0.274877	0.573298
a21	0.0191497	0.0425489	0.110023	0.274637	0.553642
a41	0.00991898	0.0278592	0.0931137	0.272206	0.596902
a30	0.0144932	0.0348174	0.111459	0.276941	0.562289
a2	0.0225917	0.0434006	0.120648	0.265428	0.547931
a57	0.0272758	0.0413924	0.109598	0.252498	0.569236
a87	0.0861155	0.123522	0.167264	0.242289	0.380809
</S>	0.0593793	0.114093	0.177504	0.25696	0.392064
