 	il	est	mélancolique	parce	qu'	il	a	perdu	sa	mère	</S>
a66	0.375293	0.233055	0.106951	0.0709307	0.0655387	0.0430693	0.0347998	0.024365	0.0183829	0.0140025	0.0136129
a87	0.276904	0.1486	0.0573533	0.0433085	0.0607606	0.0616566	0.0738833	0.0651793	0.0675307	0.0738499	0.0709733
a97	0.291277	0.159899	0.100683	0.0875786	0.0981901	0.0532033	0.0505047	0.0397369	0.0359212	0.0384185	0.0445873
a99	0.177248	0.144058	0.121853	0.105523	0.113573	0.0693949	0.0721562	0.0576059	0.0496346	0.0448849	0.0440685
a13	0.294274	0.205294	0.124287	0.0564602	0.0549031	0.0443456	0.0459158	0.0428479	0.0400251	0.0436506	0.0479973
a53	0.240414	0.170042	0.142789	0.049973	0.0434474	0.0447235	0.0505313	0.0586807	0.0538843	0.0649527	0.0805625
a79	0.244879	0.192677	0.21748	0.0698543	0.0485812	0.0378797	0.0332319	0.0316624	0.0279516	0.0393474	0.0564555
a44	0.241294	0.219154	0.179723	0.0889979	0.0659278	0.0500461	0.0368082	0.0297567	0.0242563	0.0286972	0.0353391
a96	0.139749	0.177312	0.165665	0.12113	0.0999684	0.0685238	0.0500573	0.0410059	0.0362494	0.0420694	0.0582702
a34	0.102145	0.144426	0.16303	0.127958	0.103245	0.0710098	0.0547983	0.0481857	0.0461214	0.0564888	0.0825921
a93	0.0766735	0.10445	0.144094	0.145401	0.125391	0.0846855	0.061169	0.0537728	0.0521378	0.0632086	0.0890159
a70	0.0742398	0.101601	0.13145	0.140538	0.123845	0.0861758	0.0609827	0.0529513	0.0525568	0.0700269	0.105634
a53	0.0427056	0.0645261	0.119474	0.149908	0.139387	0.101979	0.0725845	0.0627432	0.0619242	0.0762243	0.108544
a4	0.0569746	0.0801464	0.11242	0.136169	0.129692	0.109174	0.0879557	0.072673	0.0631625	0.0676457	0.083986
a70	0.0357592	0.0517613	0.0935432	0.12356	0.121257	0.104879	0.0905781	0.0808579	0.0767133	0.0934924	0.127598
a93	0.0195587	0.0358898	0.0921138	0.138342	0.138265	0.108464	0.089477	0.0786771	0.0753771	0.0915906	0.132244
a44	0.020442	0.033402	0.0772566	0.113147	0.119368	0.106079	0.0976439	0.0917222	0.0913313	0.105137	0.144472
a11	0.0151014	0.0261825	0.0703274	0.110984	0.118765	0.111695	0.10918	0.104314	0.0995863	0.102848	0.131016
a66	0.00711213	0.0115034	0.0446559	0.0860457	0.102545	0.101128	0.104713	0.101817	0.104004	0.134095	0.202382
a70	0.00316172	0.00441949	0.0143912	0.0428659	0.0640201	0.0740136	0.101079	0.117776	0.132989	0.173969	0.271315
a34	0.00257082	0.00363177	0.0104393	0.0330218	0.0511111	0.0597667	0.0957523	0.12775	0.159602	0.19183	0.264524
a70	0.00176052	0.00254978	0.0087045	0.0276095	0.0430313	0.0543318	0.0921522	0.131273	0.184426	0.208229	0.245932
a53	0.00126961	0.00191894	0.00587602	0.0196239	0.0318112	0.0426027	0.0807598	0.127926	0.194009	0.226922	0.26728
a69	0.00145324	0.00227682	0.00835321	0.0255018	0.0409198	0.0542245	0.0899772	0.127557	0.18957	0.212753	0.247413
a4	0.00200811	0.00301978	0.00747481	0.0181098	0.0296608	0.0441035	0.0766679	0.120158	0.185578	0.232336	0.280883
a70	0.00088442	0.00136665	0.00422503	0.0113849	0.0192519	0.0311529	0.064868	0.120932	0.207655	0.253725	0.284555
a53	0.000726938	0.00107319	0.00275288	0.00652232	0.0108911	0.0191569	0.0460837	0.0992381	0.199067	0.280407	0.334081
a20	0.00080705	0.00119374	0.00337463	0.00922734	0.0159026	0.0259625	0.0533132	0.0997596	0.18815	0.265216	0.337094
a44	0.00108703	0.00167261	0.00410607	0.00620925	0.00885907	0.0151966	0.0341702	0.0740886	0.168759	0.287723	0.398128
a84	0.000324004	0.000484667	0.00117157	0.00227605	0.00370978	0.00776262	0.022685	0.0642062	0.176578	0.308252	0.412551
a82	0.000526288	0.00109171	0.00249715	0.00470625	0.00736475	0.0156188	0.0373313	0.0826618	0.176769	0.29413	0.377303
a97	0.0218433	0.0204293	0.0246943	0.0225984	0.0295207	0.0440382	0.0718625	0.108984	0.1739	0.217949	0.264179
a87	0.101896	0.0567114	0.0413195	0.0260389	0.0325261	0.0425832	0.0750801	0.102392	0.145621	0.181248	0.194585
a97	0.0854811	0.0538733	0.0451778	0.0358216	0.0472475	0.0560822	0.097524	0.118146	0.139488	0.159439	0.161718
a87	0.0598676	0.0521031	0.0637818	0.0518595	0.0603254	0.0656523	0.10102	0.111281	0.127047	0.148309	0.158752
</S>	0.0666392	0.0663813	0.0812184	0.0611293	0.0635116	0.0606646	0.0882349	0.0932352	0.108718	0.141871	0.168396
