 	on	a	démi	cet	homme	du	poste	de	chef	de	village	</S>
a66	0.320106	0.138685	0.0884462	0.0875422	0.0890025	0.0862358	0.0600808	0.0380439	0.0291174	0.0219099	0.0204434	0.0203871
a87	0.380274	0.199526	0.108904	0.064981	0.0417803	0.0288084	0.0178797	0.0172569	0.0251606	0.0266887	0.0355322	0.0532075
a40	0.352349	0.273348	0.137274	0.0435509	0.026787	0.0199386	0.0200253	0.0197191	0.0247496	0.0225046	0.0275947	0.032159
a6	0.345989	0.25577	0.133224	0.0373875	0.0238293	0.021196	0.0190002	0.0229264	0.0288411	0.0315011	0.0358909	0.044444
a36	0.243412	0.238898	0.198769	0.0583037	0.0395156	0.0342921	0.0286972	0.0315493	0.0317636	0.0284438	0.0296711	0.0366856
a21	0.275091	0.290862	0.266335	0.0586359	0.0301391	0.0151138	0.00997358	0.00725788	0.00695929	0.0089348	0.0116744	0.0190237
a5	0.279769	0.290368	0.246582	0.0589477	0.039943	0.0222815	0.0150576	0.00901272	0.00698121	0.00719191	0.0099704	0.0138947
a61	0.274809	0.211331	0.18624	0.0806704	0.0673684	0.0476203	0.0366998	0.0240331	0.0174861	0.0140953	0.0174118	0.0222345
a0	0.309474	0.243597	0.185309	0.0702509	0.0574955	0.0361224	0.0252759	0.0174164	0.0133901	0.0115663	0.0137415	0.016361
a24	0.113397	0.129018	0.193464	0.135387	0.13089	0.0894286	0.0602577	0.038369	0.0280749	0.023581	0.0250496	0.0330828
a50	0.0822833	0.0995292	0.161567	0.149853	0.153449	0.103684	0.0720034	0.0486809	0.0339279	0.0259612	0.0295902	0.0394702
a75	0.0675864	0.0845216	0.155397	0.172237	0.179337	0.11919	0.0751828	0.0441066	0.0286293	0.0202947	0.0225985	0.0309184
a85	0.0517866	0.0481851	0.0938704	0.131811	0.138285	0.110323	0.0999318	0.0800499	0.0610947	0.051048	0.0602206	0.0733937
a6	0.0131183	0.0172472	0.0641133	0.100568	0.102331	0.09247	0.0886454	0.10513	0.097306	0.0868764	0.111396	0.120799
a37	0.00777183	0.0126966	0.0465082	0.12454	0.152676	0.159727	0.133821	0.0964632	0.0657006	0.0516565	0.0674365	0.0810027
a79	0.006668	0.0108137	0.0337202	0.0871075	0.112246	0.156332	0.151666	0.117936	0.0769796	0.0578296	0.0809138	0.107787
a44	0.00260219	0.00432712	0.0131751	0.046579	0.066699	0.120088	0.141703	0.136627	0.104116	0.0873771	0.122032	0.154673
a98	0.00225182	0.00362551	0.00995028	0.0325277	0.0428817	0.0774554	0.123817	0.149039	0.119834	0.098151	0.149196	0.19127
a85	0.00123888	0.00220557	0.00727282	0.0263711	0.0335819	0.0699581	0.0990532	0.113684	0.103231	0.112812	0.180614	0.249978
a92	0.000730653	0.00145431	0.00339194	0.014079	0.0213224	0.0572083	0.0882444	0.117419	0.11633	0.133396	0.199407	0.247016
a56	0.000558518	0.000985801	0.00334294	0.01408	0.0225328	0.0566002	0.0958643	0.120103	0.129122	0.152081	0.202616	0.202114
a94	0.000767657	0.00108563	0.00298932	0.0107165	0.0158483	0.0337493	0.0686819	0.111542	0.134746	0.163612	0.233982	0.22228
a93	0.000381753	0.00068242	0.00200704	0.00892458	0.0120704	0.0217005	0.0415431	0.0726906	0.1032	0.156477	0.283415	0.296908
a44	0.000522007	0.000853154	0.00222675	0.00977867	0.014139	0.0267949	0.0546784	0.0888702	0.115956	0.154495	0.263101	0.268585
a75	0.000304242	0.000523374	0.00130183	0.00564043	0.00781274	0.014683	0.0321338	0.0555978	0.0887133	0.148308	0.300078	0.344903
a79	0.000168311	0.000302782	0.000743375	0.00429725	0.00633956	0.0134956	0.0254536	0.045701	0.0719474	0.137909	0.312686	0.380956
a7	0.000130204	0.000273322	0.000773598	0.0044065	0.00623463	0.0122831	0.023297	0.0419588	0.0653709	0.1258	0.31052	0.408952
a26	0.000186895	0.000326015	0.000976945	0.00415831	0.00551475	0.0100612	0.0212624	0.0377878	0.0609047	0.124055	0.316442	0.418323
a13	0.00172586	0.0016322	0.00246462	0.00745659	0.00940717	0.0138956	0.0350721	0.0690305	0.112769	0.157151	0.28389	0.305505
a57	0.00139726	0.00186854	0.00282277	0.00978519	0.0129839	0.019103	0.0390349	0.0701989	0.109847	0.161402	0.281277	0.290279
a3	0.00642149	0.00649409	0.00748494	0.0191033	0.0240558	0.0328567	0.0506114	0.0905486	0.131061	0.148686	0.242204	0.240473
a87	0.105667	0.0673508	0.0438024	0.0608793	0.0503684	0.0475987	0.0508979	0.0642412	0.0878012	0.108429	0.156185	0.156778
a23	0.169089	0.102051	0.0553643	0.0671606	0.0459464	0.0334027	0.0304978	0.0361747	0.0564836	0.0849076	0.149704	0.169219
a87	0.0819161	0.0607436	0.0338214	0.057619	0.046611	0.0422621	0.0447859	0.0544291	0.0724429	0.114062	0.179623	0.211684
</S>	0.0223068	0.0184284	0.0220524	0.0491008	0.046265	0.0535648	0.0570234	0.0683495	0.078014	0.112171	0.207024	0.2657
