 	le	forgeron	est	en	train	de	fabriquer	une	houe	</S>
a85	0.219421	0.168934	0.136709	0.117944	0.139171	0.108047	0.0660297	0.0274079	0.00967033	0.00666513
a87	0.220557	0.149877	0.1081	0.0874031	0.0913635	0.10388	0.093806	0.063402	0.0432408	0.03837
a79	0.18369	0.145618	0.108848	0.0967687	0.0808852	0.0875507	0.0883028	0.0688647	0.05795	0.0815223
a90	0.193956	0.180386	0.141879	0.109759	0.111225	0.0898189	0.0690502	0.0391435	0.0300686	0.0347146
a13	0.2416	0.216842	0.175602	0.114098	0.10217	0.0626795	0.040684	0.0241972	0.0133067	0.00882027
a53	0.215262	0.207238	0.188862	0.135134	0.10219	0.0564836	0.0358788	0.023368	0.0186115	0.016972
a90	0.191127	0.169834	0.139315	0.110978	0.0913082	0.0659831	0.0577763	0.0480314	0.0533069	0.0723397
a25	0.125641	0.115673	0.108779	0.112306	0.108299	0.0920161	0.0764389	0.0641748	0.0780259	0.118646
a44	0.151238	0.146208	0.138366	0.128481	0.10003	0.0761394	0.060925	0.0514738	0.0618091	0.0853307
a90	0.122495	0.119216	0.118993	0.118838	0.10716	0.0860804	0.0697804	0.0609524	0.0775803	0.118904
a25	0.0996742	0.0934367	0.0940687	0.10305	0.0939039	0.0926941	0.0880472	0.0884374	0.0994393	0.147248
a98	0.104335	0.103941	0.104597	0.110345	0.0974528	0.0988215	0.0884798	0.0818412	0.0879459	0.122242
a44	0.0669346	0.0630749	0.0629409	0.0743713	0.0743205	0.0853447	0.0851827	0.103578	0.153985	0.230267
a15	0.0473792	0.0425494	0.0444121	0.0643243	0.0890768	0.142544	0.168421	0.136953	0.118242	0.146099
a94	0.0397116	0.0374024	0.0373367	0.0493312	0.0731245	0.106454	0.135105	0.130156	0.151183	0.240196
a96	0.0281452	0.0229293	0.0213363	0.0264089	0.0377084	0.0675012	0.125273	0.164988	0.2004	0.30531
a21	0.0177045	0.015094	0.0137469	0.0172072	0.0209731	0.037823	0.0784191	0.145595	0.248107	0.40533
a18	0.0207227	0.0177299	0.0165064	0.0186788	0.0237266	0.0377344	0.0700133	0.135464	0.256688	0.402735
a11	0.00359947	0.00246596	0.00202773	0.00267071	0.00368021	0.00823584	0.0240418	0.0653673	0.240499	0.647412
a21	0.00137794	0.000978387	0.000768737	0.000926888	0.00142355	0.00377248	0.014497	0.0524373	0.260309	0.663509
a12	0.00101888	0.000727863	0.000578563	0.000748485	0.00118061	0.00320271	0.0117821	0.0481767	0.255116	0.677468
a88	0.0018116	0.00124755	0.000914839	0.000965757	0.00114895	0.00215778	0.00643409	0.0293931	0.210857	0.745069
a25	0.00184649	0.00143094	0.00105435	0.00118162	0.00156276	0.00334928	0.00937941	0.0432302	0.246608	0.690357
a87	0.00325304	0.00238641	0.00191889	0.0023436	0.00316191	0.00644947	0.0134637	0.0416818	0.216347	0.708994
a23	0.0669001	0.0455204	0.0350163	0.0332205	0.0373747	0.0559949	0.0854987	0.135177	0.249131	0.256166
a87	0.0188048	0.0122655	0.00918858	0.00895525	0.00973442	0.0170894	0.0353186	0.108356	0.330534	0.449754
a23	0.00834643	0.00681728	0.00598505	0.00722866	0.00792294	0.0150343	0.0370344	0.0885693	0.300079	0.522983
a87	0.0228162	0.0161696	0.0135653	0.0140883	0.0141947	0.0215481	0.0408452	0.0911638	0.271963	0.493646
</S>	0.0102925	0.00809635	0.00697436	0.00803146	0.00781152	0.0143979	0.0324732	0.0819178	0.284503	0.545502
