 	il	est	très	brun	</S>
a23	0.268658	0.237307	0.142606	0.159515	0.191914
a30	0.412853	0.292912	0.127796	0.0822936	0.0841449
a54	0.389775	0.298414	0.126419	0.0845031	0.100889
a47	0.300324	0.245592	0.162116	0.161083	0.130884
a37	0.34406	0.311857	0.139541	0.106656	0.0978857
a98	0.33889	0.303182	0.148531	0.111455	0.0979413
a73	0.276965	0.263393	0.178715	0.143246	0.137682
a44	0.235081	0.23098	0.197267	0.171471	0.165201
a75	0.250149	0.218429	0.182602	0.175666	0.173153
a61	0.180571	0.179258	0.206195	0.21185	0.222126
a75	0.138618	0.144431	0.236648	0.255849	0.224454
a85	0.0807382	0.0811779	0.148575	0.291938	0.397571
a37	0.0627149	0.0700764	0.155	0.311047	0.401162
a75	0.0788171	0.0800618	0.156955	0.328036	0.35613
a61	0.0388917	0.0380217	0.0956274	0.322204	0.505255
a83	0.0326569	0.0339751	0.0962811	0.299198	0.537889
a25	0.0110801	0.0134065	0.0524382	0.234915	0.68816
a87	0.00679018	0.0103653	0.0384227	0.183615	0.760807
a23	0.100176	0.0962613	0.129106	0.244771	0.429685
a87	0.0712449	0.0670334	0.109337	0.276557	0.475827
a23	0.0409038	0.0445754	0.104185	0.320061	0.490275
a87	0.0576253	0.0560587	0.122881	0.321647	0.441787
</S>	0.0454757	0.049457	0.108025	0.317685	0.479357
