 	c'	est	un	enfant	avancé	pour	son	âge	</S>
a23	0.228517	0.180188	0.120192	0.0875397	0.107512	0.076521	0.0531507	0.0598719	0.0865088
a87	0.175751	0.126702	0.123454	0.097069	0.103027	0.0839691	0.0782182	0.0818784	0.129931
a23	0.152513	0.145142	0.186812	0.133204	0.133672	0.0703412	0.0590828	0.0530771	0.0661557
a53	0.228992	0.204564	0.232937	0.0958493	0.0987848	0.0421153	0.0324797	0.0290259	0.0352517
a20	0.434414	0.325755	0.156766	0.0298536	0.024492	0.0114819	0.0055451	0.00498046	0.0067112
a73	0.387655	0.278794	0.168248	0.0579665	0.0582528	0.0261135	0.011126	0.00636163	0.005482
a84	0.240135	0.238628	0.205745	0.118916	0.109985	0.0481293	0.0200549	0.0103612	0.00804491
a38	0.119454	0.130617	0.135319	0.138451	0.187041	0.109502	0.0734628	0.0525859	0.0535677
a56	0.101189	0.126121	0.154537	0.17068	0.199881	0.109373	0.0648543	0.0388937	0.0344706
a54	0.117887	0.150109	0.191546	0.182488	0.160195	0.091784	0.0539843	0.0283448	0.0236617
a73	0.0947514	0.117567	0.143952	0.163414	0.17775	0.122954	0.0865486	0.0525097	0.0405535
a44	0.104319	0.137783	0.164854	0.180513	0.171348	0.104645	0.0657855	0.0393969	0.0313559
a84	0.0849712	0.103413	0.129164	0.180404	0.192661	0.12642	0.0856523	0.0536132	0.0437014
a38	0.0825422	0.086639	0.103377	0.157404	0.181499	0.146876	0.108201	0.0686428	0.0648191
a90	0.0408694	0.043854	0.0582773	0.116866	0.17552	0.170321	0.157067	0.114515	0.12271
a25	0.0517509	0.0648502	0.0858108	0.140431	0.202127	0.16468	0.120874	0.0889896	0.0804858
a44	0.0643627	0.0773106	0.0977076	0.155014	0.205815	0.156816	0.101409	0.0732688	0.0682971
a15	0.0515983	0.0570564	0.0665767	0.0861012	0.153792	0.177122	0.15151	0.125277	0.130967
a73	0.0353054	0.0431696	0.0513204	0.0591488	0.107876	0.140821	0.167199	0.182545	0.212615
a44	0.0359512	0.0438094	0.0503434	0.0521524	0.107082	0.145184	0.164348	0.186437	0.214692
a11	0.0373578	0.0377933	0.0449099	0.0454494	0.0967516	0.139118	0.192646	0.19783	0.208144
a9	0.0513612	0.0451453	0.0507003	0.0425958	0.0655381	0.115963	0.164518	0.200359	0.26382
a87	0.0338388	0.0253104	0.0306642	0.0284525	0.0602374	0.142562	0.194124	0.206858	0.277953
a79	0.0244242	0.0212675	0.020061	0.0148253	0.02593	0.0621336	0.106693	0.225082	0.499583
a25	0.0906344	0.0631624	0.0495773	0.0234762	0.0327482	0.0540211	0.0781191	0.165676	0.442585
a94	0.0397021	0.035962	0.0335168	0.0254486	0.0606679	0.112356	0.11977	0.168603	0.403974
a11	0.0677765	0.0607505	0.0582603	0.0463067	0.0608949	0.112549	0.124667	0.150235	0.318561
a75	0.0496028	0.0425173	0.0458233	0.0414036	0.0531987	0.1195	0.156329	0.173387	0.318238
a73	0.0508524	0.051802	0.0566156	0.0541196	0.0754175	0.124856	0.151509	0.165399	0.269429
a44	0.022406	0.02215	0.0244235	0.0245218	0.0476945	0.0997373	0.153498	0.202822	0.402747
a57	0.0305303	0.0277237	0.0319961	0.0320313	0.049861	0.0944093	0.162677	0.198985	0.371786
a53	0.0201098	0.0153971	0.0177035	0.0168758	0.0236929	0.0767247	0.158815	0.228995	0.441687
a44	0.0193198	0.0159202	0.0206676	0.0248735	0.0419558	0.0848682	0.170192	0.223221	0.398982
a20	0.0191213	0.0168848	0.0210905	0.0239163	0.0333558	0.0628761	0.1393	0.230121	0.453334
a73	0.0337804	0.0324585	0.0356069	0.0345036	0.0532909	0.058682	0.0937345	0.177255	0.480688
a69	0.0190721	0.0176516	0.0197878	0.0217745	0.0346992	0.0473322	0.0964819	0.211431	0.53177
a84	0.0137774	0.013145	0.0180675	0.020989	0.0350174	0.0505317	0.123727	0.233433	0.491312
a87	0.0020408	0.00173564	0.00245212	0.00265602	0.00429243	0.0106921	0.0477973	0.225696	0.702637
</S>	0.00377417	0.00280422	0.00314694	0.00234882	0.00339833	0.00826086	0.0435857	0.24227	0.69041
